macro_segment_id, macro_label             , tag_dimension, tag_type  , tag             , count, total_duration_sec , mean_duration_sec  , first_start_time_sec, last_end_time_sec , speed_mean          , distance_min      , macro_duration_sec, percent_of_macro_segment
               0, pre_movement_low_motion , motion       , inferred  , mixed_motion    ,     2, 1.9165030000000005 , 0.9582515000000003 ,    2.187743999999999,  4.323729999999999, 0.16266616528100078 , 63.518242223920815, 7.828856999999999 ,      24.47998475384083
               0, pre_movement_low_motion , car_context  , observable, neutral         ,     6, 7.609373999999999  , 1.2682289999999998 ,    0.0              ,  7.828856999999999, 0.10283487584482397 , 38.005296563780185, 7.828856999999999 ,      97.19648730331899
               0, pre_movement_low_motion , head         , observable, head_active     ,     6, 7.609373999999999  , 1.2682289999999998 ,    0.0              ,  7.828856999999999, 0.10283487584482397 , 38.005296563780185, 7.828856999999999 ,      97.19648730331899
               0, pre_movement_low_motion , motion       , observable, pausing         ,     3, 4.304931           , 1.434977           ,    0.0              ,  7.828856999999999, 0.055964967775486825, 38.005296563780185, 7.828856999999999 ,      54.9879886680776
               0, pre_movement_low_motion , motion       , observable, near_stationary ,     1, 1.3879399999999995 , 1.3879399999999995 ,    4.323729999999999,  5.711669999999999, 0.1237820211804817  , 54.51680867704391 , 7.828856999999999 ,      17.728513881400563
               1, acceleration            , car_context  , observable, neutral         ,     2, 2.9619139999999984 , 1.4809569999999992 ,    7.828856999999999, 10.790770999999998, 0.3382072997067186  , 18.44817708368012 , 2.9619139999999984,      99.99999999999999
               1, acceleration            , head         , observable, head_still      ,     1, 0.5031739999999996 , 0.5031739999999996 ,    7.828856999999999,  8.332030999999999, 0.024051174622553472, 33.85109303809277 , 2.9619139999999984,      16.9881367251041
               1, acceleration            , head         , observable, head_active     ,     1, 2.458739999999999  , 2.458739999999999  ,    8.332030999999999, 10.790770999999998, 0.6523634247908837  , 18.44817708368012 , 2.9619139999999984,      83.0118632748959
               1, acceleration            , motion       , observable, pausing         ,     1, 0.5031739999999996 , 0.5031739999999996 ,    7.828856999999999,  8.332030999999999, 0.024051174622553472, 33.85109303809277 , 2.9619139999999984,      16.9881367251041
               1, acceleration            , motion       , observable, speed_increasing,     1, 2.458739999999999  , 2.458739999999999  ,    8.332030999999999, 10.790770999999998, 0.6523634247908837  , 18.44817708368012 , 2.9619139999999984,      83.0118632748959
               2, main_movement           , car_context  , inferred  , yielding        ,     3, 2.560546999999996  , 0.8535156666666653 ,   13.920653999999999, 19.019286999999995, 1.3286404398888463  , 11.297610024753189, 9.708252          ,      26.374954008198348
               2, main_movement           , car_context  , inferred  , proceeding      ,     3, 4.0178220000000024 , 1.3392740000000007 ,   14.592528999999999, 20.499022999999998, 1.308833973874367   , 11.288937676887809, 9.708252          ,      41.385637702853224
               2, main_movement           , head         , inferred  , head_checking   ,     1, 0.45092799999999755, 0.45092799999999755,   16.312987999999997, 16.763915999999995, 1.4274214856367895  , 11.297610024753189, 9.708252          ,       4.6447908439129675
               2, main_movement           , motion       , inferred  , hesitating      ,     3, 3.197265999999999  , 1.065755333333333  ,   10.790770999999998, 19.019286999999995, 1.1689872939443828  , 11.395750772851423, 9.708252          ,      32.933487923469634
               2, main_movement           , car_context  , observable, neutral         ,     4, 2.946289           , 0.73657225         ,   10.790770999999998, 13.920653999999999, 0.931102827786112   , 12.108568924376698, 9.708252          ,      30.34829545009751
               2, main_movement           , head         , observable, head_still      ,     5, 5.438232000000001  , 1.0876464000000001 ,   10.790770999999998, 20.499022999999998, 1.0493195397198831  , 11.391793651873984, 9.708252          ,      56.016592894374824
               2, main_movement           , head         , observable, head_active     ,     4, 3.635498           , 0.9088745          ,   13.212401999999999, 19.019286999999995, 1.240703842049471   , 11.288937676887809, 9.708252          ,      37.447503422861296
               2, main_movement           , motion       , observable, speed_decreasing,     2, 1.2753909999999973 , 0.6376954999999986 ,   11.878417999999998, 16.763915999999995, 1.1828091562287804  , 11.297610024753189, 9.708252          ,      13.137184737272966
               2, main_movement           , motion       , observable, speed_steady    ,     4, 4.3437490000000025 , 1.0859372500000006 ,   12.886474999999999, 20.499022999999998, 1.1727123278136338  , 11.288937676887809, 9.708252          ,      44.742853811376165
               2, main_movement           , motion       , observable, speed_increasing,     1, 0.7082519999999999 , 0.7082519999999999 ,   13.212401999999999, 13.920653999999999, 1.0734050468888439  , 12.108568924376698, 9.708252          ,       7.295360689030321
               3, deceleration            , car_context  , inferred  , yielding        ,     2, 2.8125             , 1.40625            ,   20.499022999999998, 23.311522999999998, 0.8453609223678824  ,  7.056893778653934, 7.847168          ,      35.84095561608978
               3, deceleration            , car_context  , inferred  , proceeding      ,     1, 0.8393559999999987 , 0.8393559999999987 ,   23.311522999999998, 24.150878999999996, 0.289658035096246   ,  7.052963392445637, 7.847168          ,      10.69629196163506
               3, deceleration            , motion       , inferred  , mixed_motion    ,     2, 1.0478510000000014 , 0.5239255000000007 ,   24.150878999999996, 25.379882999999996, 0.2338474042483369  ,  8.443344202428879, 7.847168          ,      13.353237754053454
               3, deceleration            , car_context  , observable, neutral         ,     6, 4.014159000000003  , 0.6690265000000005 ,   24.150878999999996, 28.346190999999997, 0.23384312021789097 ,  8.443344202428879, 7.847168          ,      51.154238063974205
               3, deceleration            , head         , observable, head_still      ,     3, 2.973876999999998  , 0.9912923333333327 ,   20.499022999999998, 27.511962999999998, 0.5295703887641238  ,  9.749993773921542, 7.847168          ,      37.897455489674726
               3, deceleration            , head         , observable, head_active     ,     6, 4.6921380000000035 , 0.7820230000000006 ,   21.894286999999995, 28.346190999999997, 0.29912123914116423 ,  7.052963392445637, 7.847168          ,      59.79403015202431
               3, deceleration            , motion       , observable, speed_decreasing,     4, 4.417969000000003  , 1.1044922500000007 ,   20.499022999999998, 27.511962999999998, 0.5646089436704832  ,  7.056893778653934, 7.847168          ,      56.30017096613712
               3, deceleration            , motion       , observable, speed_steady    ,     1, 0.8393559999999987 , 0.8393559999999987 ,   23.311522999999998, 24.150878999999996, 0.289658035096246   ,  7.052963392445637, 7.847168          ,      10.69629196163506
               3, deceleration            , motion       , observable, speed_increasing,     1, 0.526610999999999  , 0.526610999999999  ,   25.933349999999997, 26.459960999999996, 0.3056418317259491  , 14.3550652751545  , 7.847168          ,       6.71084141438031
               3, deceleration            , motion       , observable, pausing         ,     1, 0.8342279999999995 , 0.8342279999999995 ,   27.511962999999998, 28.346190999999997, 0.06200815113855491 , 22.839825548701928, 7.847168          ,      10.630943545493095
               4, post_movement_low_motion, car_context  , observable, neutral         ,     2, 2.656738999999998  , 1.328369499999999  ,   28.346190999999997, 31.002929999999996, 0.03236209302628017 , 28.55490071491833 , 2.656738999999998 ,     100.0
               4, post_movement_low_motion, head         , observable, head_active     ,     1, 1.3117680000000007 , 1.3117680000000007 ,   28.346190999999997, 29.657958999999998, 0.046408327323571176, 28.55490071491833 , 2.656738999999998 ,      49.37511739015393
               4, post_movement_low_motion, head         , observable, head_still      ,     1, 1.3449709999999975 , 1.3449709999999975 ,   29.657958999999998, 31.002929999999996, 0.01831585872898915 , 35.88401535955144 , 2.656738999999998 ,      50.624882609846075
               4, post_movement_low_motion, motion       , observable, pausing         ,     2, 2.656738999999998  , 1.328369499999999  ,   28.346190999999997, 31.002929999999996, 0.03236209302628017 , 28.55490071491833 , 2.656738999999998 ,     100.0
