segment_id,start_time,end_time,phase_label,start_idx,end_idx,pednyc_number,scenario_number
0,0.0,0.975403,low_motion,0,18,4,7
1,0.975403,1.712189,acceleration,18,32,4,7
2,1.712189,23.275787,crossing,32,511,4,7
3,23.275787,28.85141,deceleration,511,641,4,7
4,28.85141,30.212891,post_motion,641,673,4,7
