segment_id,start_time,end_time,phase_label,start_idx,end_idx,pednyc_number,scenario_number
0,0.0,0.049316,low_motion,0,1,25,7
1,0.049316,3.382813,acceleration,1,81,25,7
2,3.382813,18.800049,crossing,81,451,25,7
3,18.800049,29.550537,deceleration,451,709,25,7
4,29.550537,36.983887,post_motion,709,887,25,7
