macro_segment_id,boundary_idx,boundary_time_sec,change_score
0,0,0.0,0.1553187917580262
0,40,1.859618999999999,1.6886589094254658
0,54,2.520995999999999,2.0052340761754675
0,71,3.256347999999999,1.518996278338647
0,79,3.6083979999999993,1.1547699586376123
0,166,7.828856999999999,0.10012490471637948
1,166,7.828856999999999,0.09210519628936883
1,176,8.332030999999999,0.7086702041703391
1,196,9.304442999999997,0.765434620111769
1,207,9.817382999999998,1.004305819366626
1,227,10.744384999999998,0.8392289357662676
1,228,10.790770999999998,0.8115144669881014
2,228,10.790770999999998,0.23503479426846707
2,285,13.390624999999998,1.1021784753729673
2,296,13.872802999999998,2.303391009079609
2,305,14.301757999999998,1.244668278269351
2,343,16.122802999999998,1.1938202321555633
2,353,16.591063999999996,1.9110801368785089
2,365,17.114745999999997,1.8069729331178261
2,374,17.535399999999996,1.4817528558090656
2,383,17.944823999999997,1.20393878708528
2,391,18.316405999999997,1.1645931407191485
2,436,20.499022999999998,0.2735144615020611
3,436,20.499022999999998,0.18536880658923713
3,486,23.032714999999996,0.9202440745875453
3,494,23.400145999999996,0.7527158802119808
3,504,23.845946999999995,0.6886679288998199
3,512,24.193847999999996,0.8849418798584101
3,529,24.930175999999996,0.7245048924136638
3,538,25.335448999999997,1.3402651899819324
3,552,26.038085999999996,0.7441075213091497
3,596,28.346190999999997,0.19483327635570846
4,596,28.346190999999997,0.5250474363944291
4,600,28.555907999999995,1.309388749184329
4,612,29.183349999999997,1.3368582326212504
4,647,31.002929999999996,0.18237388413853195
