macro_segment_id,macro_label,event_group,count,total_duration_sec,mean_duration_sec,first_start_time_sec,last_end_time_sec,speed_mean,distance_min,macro_duration_sec,percent_of_macro_segment
0,pre_movement_low_motion,near_stationary+pausing+head_active,3,4.304931,1.434977,0.0,7.828856999999999,0.055964967775486825,38.005296563780185,7.828856999999999,54.9879886680776
0,pre_movement_low_motion,head_active,2,1.9165030000000005,0.9582515000000003,2.187743999999999,4.323729999999999,0.16266616528100078,63.518242223920815,7.828856999999999,24.47998475384083
0,pre_movement_low_motion,near_stationary+head_active,1,1.3879399999999995,1.3879399999999995,4.323729999999999,5.711669999999999,0.1237820211804817,54.51680867704391,7.828856999999999,17.728513881400563
1,acceleration,near_stationary+pausing,1,0.5031739999999996,0.5031739999999996,7.828856999999999,8.332030999999999,0.024051174622553472,33.85109303809277,2.9619139999999984,16.9881367251041
1,acceleration,speed_increasing+head_active,1,2.458739999999999,2.458739999999999,8.332030999999999,10.790770999999998,0.6523634247908837,18.44817708368012,2.9619139999999984,83.0118632748959
2,main_movement,hesitating+speed_steady,1,1.0876470000000005,1.0876470000000005,10.790770999999998,11.878417999999998,0.9484620478033985,13.931054540360543,9.708252,11.203324759184254
2,main_movement,speed_decreasing+speed_steady,1,0.8244629999999997,0.8244629999999997,11.878417999999998,12.702880999999998,0.9381968268207711,12.37444589777516,9.708252,8.492393893359997
2,main_movement,speed_steady,1,0.3259270000000001,0.3259270000000001,12.886474999999999,13.212401999999999,0.7643473896314342,12.232065193831517,9.708252,3.3572161085229357
2,main_movement,speed_increasing+speed_steady+head_active,1,0.7082519999999999,0.7082519999999999,13.212401999999999,13.920653999999999,1.0734050468888439,12.108568924376698,9.708252,7.295360689030321
2,main_movement,hesitating+speed_steady+head_active+yielding,2,2.1096189999999986,1.0548094999999993,13.920653999999999,19.019286999999995,1.2792499170148748,11.395750772851423,9.708252,21.73016316428538
2,main_movement,speed_steady+proceeding,2,3.200195000000001,1.6000975000000004,14.592528999999999,20.499022999999998,1.2977957171719057,11.391793651873984,9.708252,32.96365813330763
2,main_movement,speed_decreasing+speed_steady+head_checking+head_active+yielding,1,0.45092799999999755,0.45092799999999755,16.312987999999997,16.763915999999995,1.4274214856367895,11.297610024753189,9.708252,4.6447908439129675
2,main_movement,speed_steady+head_active+proceeding,1,0.8176270000000017,0.8176270000000017,16.763915999999995,17.581542999999996,1.3309104872792898,11.288937676887809,9.708252,8.421979569545595
3,deceleration,speed_decreasing+speed_steady+yielding,1,1.3952639999999974,1.3952639999999974,20.499022999999998,21.894286999999995,1.0165563285798727,9.749993773921542,7.847168,17.780478256614327
3,deceleration,speed_decreasing+head_active+yielding,1,1.4172360000000026,1.4172360000000026,21.894286999999995,23.311522999999998,0.6741655161558922,7.056893778653934,7.847168,18.060477359475453
3,deceleration,speed_steady+head_active+proceeding,1,0.8393559999999987,0.8393559999999987,23.311522999999998,24.150878999999996,0.289658035096246,7.052963392445637,7.847168,10.69629196163506
3,deceleration,head_active,2,1.0478510000000014,0.5239255000000007,24.150878999999996,25.379882999999996,0.2338474042483369,8.443344202428879,7.847168,13.353237754053454
3,deceleration,speed_decreasing+head_active,1,0.5534670000000013,0.5534670000000013,25.379882999999996,25.933349999999997,0.3012009239596185,12.243470173437425,7.847168,7.053079531367256
3,deceleration,speed_increasing,1,0.526610999999999,0.526610999999999,25.933349999999997,26.459960999999996,0.3056418317259491,14.3550652751545,7.847168,6.71084141438031
3,deceleration,speed_decreasing,1,1.0520020000000017,1.0520020000000017,26.459960999999996,27.511962999999998,0.2665130059865495,16.82622129667895,7.847168,13.406135818680085
3,deceleration,near_stationary+pausing+head_active,1,0.8342279999999995,0.8342279999999995,27.511962999999998,28.346190999999997,0.06200815113855491,22.839825548701928,7.847168,10.630943545493095
4,post_movement_low_motion,near_stationary+pausing+head_active,1,1.3117680000000007,1.3117680000000007,28.346190999999997,29.657958999999998,0.046408327323571176,28.55490071491833,2.656738999999998,49.37511739015393
4,post_movement_low_motion,near_stationary+pausing,1,1.3449709999999975,1.3449709999999975,29.657958999999998,31.002929999999996,0.01831585872898915,35.88401535955144,2.656738999999998,50.624882609846075
