macro_segment_id,macro_label,event_label,count,total_duration_sec,mean_duration_sec,mean_confidence,first_start_time_sec,last_end_time_sec,distance_min,distance_closing_max,ped_speed_mean,macro_duration_sec,percent_of_macro_segment
0,pre_movement_low_motion,stopped_low_motion,2,6.270995999999999,3.1354979999999997,0.925,0.0,7.828856999999999,38.005296563780185,0.4133306606812602,0.061542457041441984,7.828856999999999,80.10104156966975
0,pre_movement_low_motion,head_direction_check,3,2.0273439999999994,0.6757813333333331,0.82,2.3305659999999992,6.440673999999999,49.14256888718169,0.3704551991903047,0.1559924638021957,7.828856999999999,25.89578529790491
0,pre_movement_low_motion,possible_noise_artifact,1,0.35449200000000003,0.35449200000000003,0.74,2.859374999999999,3.213866999999999,68.80834341267672,0.1622548265336879,0.1491869830385342,7.828856999999999,4.528017308273737
1,acceleration,stopped_low_motion,1,0.5988769999999981,0.5988769999999981,0.9400000000000001,7.828856999999999,8.427733999999997,33.048438991736674,0.4168701533695914,0.04467303515368241,2.9619139999999984,20.219256872414203
1,acceleration,acceleration_commitment,1,2.111571999999999,2.111571999999999,0.95,8.679198999999999,10.790770999999998,18.44817708368012,0.3795150543730727,0.7222927349614219,2.9619139999999984,71.29079372324787
1,acceleration,head_direction_check,1,0.28222599999999964,0.28222599999999964,0.88,8.976562999999999,9.258788999999998,27.04257112335646,0.3419540594178289,0.5173941498741282,2.9619139999999984,9.52850082750545
2,main_movement,possible_noise_artifact,1,0.4396979999999999,0.4396979999999999,0.74,10.790770999999998,11.230468999999998,16.3889663344862,0.218421217677845,0.9855485603716201,9.708252,4.52911605508386
2,main_movement,acceleration_burst,1,1.7124029999999983,1.7124029999999983,0.8999999999999999,13.212401999999999,14.924804999999997,11.763453084989798,0.0192773750251337,1.2201414141431293,9.708252,17.63863360778025
2,main_movement,head_direction_check,2,1.452636,0.726318,0.76,13.738036999999998,17.535399999999996,11.288937676887809,0.012884681417228,1.3425772145756922,9.708252,14.96289960334775
2,main_movement,crossing_movement,3,3.4267579999999978,1.142252666666666,0.7399999999999999,14.688231999999998,19.688964999999996,11.288937676887809,0.0192773750251337,1.3247453691320603,9.708252,35.297373821775516
3,deceleration,close_interaction,1,2.8242189999999994,2.8242189999999994,0.95,21.793456999999997,24.617675999999996,7.052963392445637,0.1318003129876959,0.47658188189396283,7.847168,35.99029611701953
3,deceleration,yielding_slowing,1,0.9235840000000017,0.9235840000000017,0.92,22.562011999999996,23.485595999999997,7.052963392445637,0.117115275871948,0.5116087061820671,7.847168,11.76964734283759
3,deceleration,head_direction_check,3,1.5822749999999992,0.5274249999999997,0.7999999999999999,22.874755999999998,25.727538999999997,7.052963392445637,0.0839792828673085,0.3464193027953808,7.847168,20.163643750203885
3,deceleration,deceleration,1,0.5742189999999994,0.5742189999999994,0.68,26.833495999999997,27.407714999999996,18.80869332487078,-0.2908615311103635,0.2242121725759194,7.847168,7.31753162414771
3,deceleration,stopped_low_motion,1,0.9904779999999995,0.9904779999999995,0.7600000000000001,27.355712999999998,28.346190999999997,21.85775007102076,-0.3199974291779656,0.07246457350929723,7.847168,12.622107746386972
3,deceleration,possible_noise_artifact,1,0.4184570000000001,0.4184570000000001,0.5599999999999999,27.460204999999995,27.878661999999995,22.50925969952331,-0.3266159160990223,0.08547837946798817,7.847168,5.3325862272860745
4,post_movement_low_motion,stopped_low_motion,1,2.656738999999998,2.656738999999998,0.8200000000000001,28.346190999999997,31.002929999999996,28.55490071491833,-0.002292382591213,0.03243334897469522,2.656738999999998,100.0
