micro_event_id,macro_segment_id,macro_label,event_label,start_idx,end_idx,start_frame,end_frame,ScenarioTime_start,ScenarioTime_end,time_start_sec,time_end_sec,duration_sec,confidence,evidence_flags,rule_reason,mean_ped_speed,min_ped_speed,max_ped_speed,mean_ped_accel,min_ped_accel,max_ped_accel,min_car_ped_distance,mean_car_ped_distance,max_distance_closing,mean_distance_closing,min_car_accel,max_abs_head_turn_rate,max_abs_head_body_yaw_diff,ped_displacement_xz,ped_path_length_xz,ped_progress_ratio,event_order,n_frames
0,0,pre_movement_low_motion,stopped_low_motion,0,49,356.94171142578125,358.4277648925781,214971,215117,0.0,2.281493999999999,2.281493999999999,0.8500000000000001,head_turning,speed below stop threshold,0.034386398131292566,0.005161844665735357,0.14871843180062103,0.05187251216120222,-0.0731818555006438,0.33412301714859616,71.5087473058382,72.35134751505383,0.0897617301418512,0.020520851405062986,-0.0007195197285217,203.1682868892233,9.013290405273438,37.14886903359246,40.136043454192055,0.9255737695219284,1,50
1,0,pre_movement_low_motion,head_direction_check,50,60,358.4430847167969,358.37481689453125,215120,215148,2.3305659999999992,2.776366999999999,0.4458009999999999,0.78,car_ped_closing|head_turning,head turn or head/body yaw difference,0.15049278038391847,0.07928989538143087,0.1919339645276754,-0.09138890723249388,-0.2876173024527964,0.26000933623379524,70.27471896251117,70.86635512286126,0.1281605242663678,0.11182277776142745,2.027776980616371,279.33700308615227,17.090789794921875,58.5806363534094,58.86930136622817,0.9950965103013033,2,11
2,0,pre_movement_low_motion,possible_noise_artifact,62,70,358.3876037597656,358.5320129394531,215154,215179,2.859374999999999,3.213866999999999,0.35449200000000003,0.6900000000000001,car_ped_closing|head_turning|avatar_vr_gap_high,avatar and VR pedestrian position gap high,0.1491869830385342,0.07453404190088293,0.22540963229655375,0.26174396543719525,0.03185803216754245,0.3757315426985487,68.80834341267672,69.42391461983912,0.1622548265336879,0.1484315013488877,1.9091101840695144,168.63249928327355,14.62908935546875,31.083564683830794,31.857780812940995,0.9756977382179833,3,9
3,0,pre_movement_low_motion,head_direction_check,66,89,358.517578125,358.2077331542969,215166,215236,3.0351559999999993,4.080565999999999,1.04541,0.78,avatar_vr_gap_high|car_ped_closing|head_turning,head turn or head/body yaw difference; head turn or head/body yaw difference,0.20375527784913414,0.14856961472670158,0.23162186568748272,0.11094251252824065,-0.17230340728753835,0.3757315426985487,67.5578103094754,68.53406858666956,0.1936534197049345,0.1693435936665217,1.7595184312436165,237.4297265452261,14.62908935546875,64.50877703472314,64.56455357858519,0.9991361119876069,4,24
4,0,pre_movement_low_motion,stopped_low_motion,84,166,358.3809509277344,357.2018127441406,215221,215466,3.839354999999999,7.828856999999999,3.9895020000000003,0.92,car_ped_closing|head_turning,speed below stop threshold,0.08869851595159141,0.007335776352757114,0.14957542262229756,-0.036210234306911525,-0.17332539977010814,0.04626162188200241,38.005296563780185,53.22490309617262,0.4133306606812602,0.34061601994706303,0.342967825808964,110.58305125513996,11.087387084960938,27.548318460234725,145.7350106618645,0.189030201700486,5,83
5,0,pre_movement_low_motion,head_direction_check,127,138,357.25543212890625,357.1747436523437,215349,215382,5.904540999999999,6.440673999999999,0.5361329999999995,0.78,car_ped_closing|head_turning,head turn or head/body yaw difference,0.11372933317353447,0.08891759653829963,0.12686935468489915,-0.03634558070785553,-0.16178345211431308,0.04626162188200241,49.14256888718169,51.146378770780835,0.3704551991903047,0.3610733329218414,0.5336100811052709,109.36434247271578,9.405731201171877,36.923178526482275,36.96696725283335,0.9988154633824413,6,12
6,1,acceleration,stopped_low_motion,166,178,357.2018127441406,354.82501220703125,215466,215502,7.828856999999999,8.427733999999997,0.5988769999999981,0.89,car_ped_closing|car_braking|avatar_vr_gap_high,speed below stop threshold,0.04467303515368241,0.007722110748616262,0.14508063051797424,0.22762325720523277,0.02029655242468595,0.5261263489467346,33.048438991736674,35.50797757756532,0.4168701533695914,0.41158356693405856,-1.2769290940634146,15.132218751447704,2.1461639404296875,4.4147406548877575,4.433288073168855,0.995816329104948,1,13
7,1,acceleration,acceleration_commitment,183,228,354.1845397949219,353.3659362792969,215516,215651,8.679198999999999,10.790770999999998,2.111571999999999,0.9299999999999999,car_ped_closing|car_braking|head_turning,positive acceleration with speed gain,0.7222927349614219,0.3042883032557905,1.0313009718962114,0.3489216103103048,0.12790066254882929,0.5530845333915975,18.44817708368012,24.271769532194977,0.3795150543730727,0.2835124342031876,-1.6203668481019216,125.20179852972387,9.843666076660156,59.075547141541634,77.50146894786917,0.7622506765810902,2,46
8,1,acceleration,head_direction_check,189,195,353.8680419921875,353.5814514160156,215534,215552,8.976562999999999,9.258788999999998,0.28222599999999964,0.8500000000000001,car_ped_closing|car_braking|head_turning,head turn or head/body yaw difference,0.5173941498741282,0.43704105681649696,0.5974540591215604,0.5074451446740211,0.47932059637797486,0.518008704207341,27.04257112335646,27.973708175116478,0.3419540594178289,0.32112006036677837,-1.594816119391833,125.20179852972387,6.11126708984375,20.26909044673571,20.27695133104098,0.9996123241518444,3,7
9,2,main_movement,possible_noise_artifact,228,238,353.3659362792969,353.1128234863281,215651,215681,10.790770999999998,11.230468999999998,0.4396979999999999,0.6900000000000001,car_ped_closing|car_braking|avatar_vr_gap_high,avatar and VR pedestrian position gap high,0.9855485603716201,0.9442956944605307,1.0095027895796957,-0.16507006095586801,-0.2553889400411844,-0.08893324903980988,16.3889663344862,17.40626450766374,0.218421217677845,0.20745591032019853,-1.2765348071081095,13.816817957611342,1.376495361328125,1.7997019778923502,2.520882495949747,0.7139174399377585,1,11
