column,ScenarioTime,value,jump_size,jump_threshold
FrameRate,0.047852,0.017669,0.0029300000000000003,0.002529802088544986
FrameRate,2.470215,0.018112,0.0028079999999999997,0.002529802088544986
FrameRate,2.562988,0.017136,0.003210000000000001,0.002529802088544986
FrameRate,17.489258,0.018216,0.003292999999999999,0.002529802088544986
FrameRate,20.552002,0.020009,0.0030579999999999982,0.002529802088544986
FrameRate,23.709717,0.017889,0.003560999999999998,0.002529802088544986
FrameRate,26.724609,0.020725,0.0036769999999999997,0.002529802088544986
FrameRate,30.072754,0.020794,0.002874999999999999,0.002529802088544986
dt,3.089844,0.0546879999999996,0.013916999999999298,0.01153800632231838
dt,3.131348,0.0415040000000002,0.013183999999999398,0.01153800632231838
dt,8.628418,0.045166,0.011962999999999703,0.01153800632231838
dt,14.544678,0.0441899999999986,0.0129390000000029,0.01153800632231838
dt,17.489258,0.0642089999999981,0.018065999999997404,0.01153800632231838
dt,17.5354,0.0461419999999996,0.0180669999999985,0.01153800632231838
A_accel_raw,28.294678,0.572137,0.151034,0.11505638381793441
A_accel_raw,28.346191,0.417088,0.155049,0.11505638381793441
A_accel_raw,28.710693,-0.113085,0.175688,0.11505638381793441
A_accel_raw,28.761719,-0.27624,0.163155,0.11505638381793441
A_steering,23.528809,0.304871,0.05383300000000002,0.04573334345911998
A_steering,23.573975,0.365906,0.061035000000000006,0.04573334345911998
A_steering,23.616455,0.426666,0.06075999999999998,0.04573334345911998
A_steering,23.65918,0.481049,0.054383000000000015,0.04573334345911998
A_steering,23.709717,0.537994,0.05694499999999997,0.04573334345911998
ped_yaw,25.24585,290.2742919921875,13.4661865234375,12.437952121230191
ped_avatar_x,2.562988,11.320486068725586,0.8257055282592773,0.6660282219818999
ped_avatar_x,2.818848,12.15084457397461,0.6773767471313477,0.6660282219818999
ped_avatar_x,2.859375,12.829113960266112,0.6782693862915021,0.6660282219818999
ped_avatar_z,3.256348,59.07758331298828,0.34210968017578125,0.2951642922557638
ped_avatar_z,3.300293,59.41339111328125,0.33580780029296875,0.2951642922557638
ped_avatar_z,25.290771,54.76461791992188,0.3223571777343679,0.2951642922557638
ped_avatar_z,25.379883,54.12477111816406,0.34723663330078836,0.2951642922557638
ped_avatar_z,25.426758,53.79736709594727,0.32740402221678977,0.2951642922557638
ped_speed_xz_smooth,11.645264,1.1740156790123475,0.478222478853635,0.4642705517305964
ped_speed_xz_smooth,16.172852,1.7365643207890753,0.536477060552371,0.4642705517305964
ped_speed_xz_smooth,17.489258,1.6728875007281525,0.474394925350879,0.4642705517305964
ped_speed_xz_smooth,17.5354,1.1984925753772735,0.474394925350879,0.4642705517305964
car_accel_xz,13.07373,-0.0057434648581722,4.316919764697128,2.795876535589663
car_accel_xz,30.796631,-0.2134719650228966,3.7796510568200925,2.795876535589663
ped_accel_xz,11.692139,-9.525988447915728,19.781451098376557,15.664557470869392
ped_accel_xz,17.378906,-8.541382267926068,15.690357382452758,15.664557470869392
ped_accel_xz,17.5354,-10.281195556128518,17.669488869385106,15.664557470869392
distance_change,22.92627,-1.277334936801422,0.6018142915831339,0.4639089054485312
distance_change,23.485596,0.633299679332969,0.516028418038278,0.4639089054485312
distance_change,23.973633,2.892780011367527,0.4824255603900012,0.4639089054485312
distance_closing,22.92627,1.277334936801422,0.6018142915831339,0.4639089054485312
distance_closing,23.485596,-0.633299679332969,0.516028418038278,0.4639089054485312
distance_closing,23.973633,-2.892780011367527,0.4824255603900012,0.4639089054485312
