segment_id,start_time,end_time,duration_seconds,ped_behavior_v2,mean_speed,mean_accel,mean_head_body_yaw_diff_abs,max_head_turn_rate_abs,mean_hand_activity_speed,mean_hesitation_score,hesitation_candidate_frames
1,0.0,1.623291,1.623291,stopped,0.017569468878270364,0.005301277997286205,0.4139675564236198,24.807508688315885,0.07107958472125193,1.0,0
2,1.670898,3.035156,1.3642580000000002,stopped_with_hand_motion,0.09304786489401388,0.027674887946628045,7.463642243416086,136.52877740947994,0.741804524506398,1.5483870967741935,17
3,3.089844,4.32373,1.2338860000000005,transition_and_rotating_right_with_hand_motion,0.16479531613622117,-0.021870409182557737,4.925095694405696,149.28007397723908,0.5841709138149012,2.0,28
4,4.373535,5.095215,0.7216799999999992,stopped,0.12649072389676666,-0.0034202946513867847,2.1630229949951243,44.290875221989516,0.29373172227953037,1.1875,3
5,5.143066,5.904541,0.7614749999999999,stopped_and_rotating_right_with_hand_motion,0.1107923894977015,0.00033894901843142296,4.280648624195772,58.9237603305352,0.57830012701763,1.6470588235294117,11
6,5.952393,6.73291,0.7805170000000006,stopped_and_rotating_left_with_hand_motion,0.08658708330364355,-0.050887436287001854,4.1041861141429195,81.33346830837912,0.5065378763671611,1.8235294117647058,14
7,6.781006,8.628418,1.8474120000000003,stopped,0.04786660125468836,0.07959073581149903,1.086366352282074,33.26407872677797,0.15686468061777867,1.0,0
8,8.679199,9.629395,0.950196,walking_and_rotating_right,0.5361632608364826,0.35229804731303876,2.867922828311013,84.63764315253864,0.6062804378790161,1.0,0
9,9.67627,13.562744,3.8864739999999998,walking,0.9119033193422008,0.11789645752688482,1.1698682918105028,34.28467732189255,0.9807613897133439,0.0,0
10,13.607422,14.158691,0.5512689999999996,walking_and_rotating_left,1.2090389936616668,0.3121109456302432,6.90438373272236,99.1273826944839,1.3638587553238966,1.0,0
11,14.206299,16.265381,2.059082000000002,walking,1.391138881809634,-0.06089110907108692,1.6948946172540837,34.765986666676646,1.5229074803564573,0.045454545454545456,0
12,16.312988,17.114746,0.8017579999999995,walking_and_rotating_right,1.3646106142764431,0.0,5.973921926398027,105.43766399869197,1.6006072719571411,0.7894736842105263,0
13,17.157471,17.944824,0.7873529999999995,walking_and_rotating_left,1.2362179296222406,-0.13172258666184916,3.8628633287217884,92.7682085257235,1.420026522073653,1.1111111111111112,2
14,17.98999,18.501709,0.5117190000000029,slowing_with_hand_motion,1.1719815949116976,-0.4244350235084741,1.7326863606770833,24.865917365380472,1.4952895842088463,1.0,0
15,18.548828,22.665039,4.116211,walking,1.0460188427287376,-0.060905939968651915,0.7232704162597602,28.377687561889353,1.2684415236089024,0.09523809523809523,0
16,22.717529,23.442383,0.7248540000000006,walking_and_rotating_left,0.47000405948773266,-0.17107309164659845,5.5203495025634854,136.18833512587796,0.8807712755427692,1.125,2
17,23.485596,26.144531,2.6589349999999996,transition_and_rotating_left_with_hand_motion,0.23910721964383477,-0.02628132187943378,4.101754398669226,170.15765438096412,0.47098804852633164,1.6610169491525424,39
18,26.196777,27.300049,1.1032720000000005,walking,0.3042402068956194,-0.12065054737608735,0.8901103626597959,25.248659249826243,0.3545685458463373,0.7272727272727273,8
19,27.355713,28.555908,1.2001949999999972,stopped,0.06733173063446266,-0.07228071426638026,2.2019297281901054,33.414947044959746,0.24174467707123756,1.0,0
20,28.608643,29.343018,0.734375,stopped_with_hand_motion,0.05049071500261093,-0.03206049422917938,2.63536987304686,17.492382774008114,0.4066829773510488,1.0,0
21,29.395996,31.00293,1.606933999999999,stopped,0.01997656996812231,-0.012545083264030206,0.43120670318603604,4.6527726255751425,0.18049978608196826,1.0,0
