segment_id, start_time, end_time , duration_seconds  , ped_behavior_inferred, ped_behavior_confidence, mean_ped_speed      , max_ped_speed      , mean_ped_accel       , min_ped_accel       , start_ped_x       , start_ped_z       , end_ped_x         , end_ped_z
         1,   0.0     ,  3.035156, 3.035156          , stopped              , high                   , 0.052492308825853186, 0.162701019566821  , 0.015653246779817498 , -0.07516066036727653, 12.73224639892578 , 67.0030746459961  , 12.735655784606934, 67.13441467285156
         2,   3.089844,  3.793213, 0.7033690000000004, transition           , low                    , 0.1865700550851225  , 0.22151482069777267, -0.030708642280791027, -0.0485156469162854 , 12.729330062866213, 67.12574005126953 , 12.721426010131836, 66.98564910888672
         3,   3.839355,  8.628418, 4.7890630000000005, stopped              , high                   , 0.08728092306077176 , 0.27230132392500783, 0.020404792166776844 , -0.07494398464868049, 12.723587036132812, 66.97894287109375 , 12.708885192871094, 66.73918914794922
         4,   8.679199, 17.944824, 9.265625          , walking              , high                   , 1.0686082391177796  , 1.5256683618669518 , 0.08231134962705454  , -0.34691399329245753, 12.707868576049805, 66.72113800048828 , 11.539698600769045, 56.86531829833984
         5,  17.98999 , 18.501709, 0.5117190000000029, hesitating           , low                    , 1.1719815949116976  , 1.1904690152143063 , -0.4244350235084741  , -0.4594974657042201 , 11.538840293884276, 56.83194732666016 , 11.517501831054688, 56.21928405761719
         6,  18.548828, 23.442383, 4.893554999999999 , walking              , high                   , 0.9538564774101767  , 1.2569790705693287 , -0.07853268423712338 , -0.335913736496217  , 11.51812744140625 , 56.148040771484375, 11.067232131958008, 51.4983024597168
         7,  23.485596, 26.144531, 2.6589349999999996, transition           , low                    , 0.23910721964383477 , 0.33672229756936944, -0.02628132187943378 , -0.17069872654736462, 11.057600021362305, 51.47920989990234 , 11.092548370361328, 50.87052917480469
         8,  26.196777, 27.300049, 1.1032720000000005, walking              , high                   , 0.3042402068956194  , 0.38308403711272004, -0.12065054737608735 , -0.23263430898815465, 11.08458423614502 , 50.85807800292969 , 10.882070541381836, 50.56363677978516
         9,  27.355713, 31.00293 , 3.6472169999999977, stopped              , high                   , 0.042430598580932136, 0.13775833252049302, -0.0368603833842223  , -0.1894704467506381 , 10.877090454101562, 50.5578727722168  , 10.917635917663574, 50.46234893798828
