ScenarioTime, GameTime, Frame Number, FrameRate, FrameRate-XRDevice, dt                , car_x              , car_z             , car_yaw           , A_velocity_raw        , A_accel_raw, A_steering, A_indicators, A_horn, ped_x             , ped_z             , ped_yaw           , ped_avatar_x       , ped_avatar_z      , ped_avatar_yaw    , car_speed_xz          , ped_speed_xz      , car_speed_xz_smooth   , ped_speed_xz_smooth, car_accel_xz           , ped_accel_xz           , car_ped_distance_xz, distance_change       , distance_closing     , avatar_vr_gap_xz  , ped_stopped, ped_walking, car_slowing, close_interaction, ped_possible_noise, car_possible_noise, car_accel_xz_raw_unsmoothed, ped_accel_xz_raw_unsmoothed
    0.0     , 2824.725,       214971,  0.014739,                0.0,                   , 84.68988800048828  , 58.00999450683594 , 270.00018310546875, 0.0                   , 0.0        , -0.005096 ,             ,       , 12.73224639892578 , 67.0030746459961  , 222.1299743652344 , 15.014169692993164 , 58.04702758789063 ,  91.1807098388672 ,                       ,                   , 0.0005831152009854    ,  0.0241341383409496, -0.00055525085492655   , -0.03588875589913688   , 72.5174301478498   ,                       ,                      , 9.242183336582697 ,            ,            ,           0,                  ,                   ,                   ,                            , 
    0.047852, 2824.773,       214973,  0.017669,                0.0, 0.047852          , 84.68989562988281  , 58.01000213623047 , 269.9993591308594 , 0.0014700054421667    , 0.0        , -0.005096 ,             ,       , 12.731125831604004, 67.00407409667969 , 222.9418029785156 , 15.017289161682127 , 58.04747009277344 ,  91.20555877685548, 0.0002254784171777    , 0.0313784897220941, 0.0009407519847932    ,  0.016889786959805 , -0.00048584449806073125, -0.03434865726233604   , 72.51867263892397  , 0.0259652903573508    , -0.0259652903573508  , 9.243770770339523 ,            ,            ,           0,                  ,                   ,                   , 0.0074738105786121         , -0.1513907753311158
    0.09668 , 2824.822,       214976,  0.01698 ,                0.0, 0.048828          , 84.68994140625     , 58.0099983215332  , 269.9996337890625 , 0.001973012417599     , 0.0        , -0.005096 ,             ,       , 12.730510711669922, 67.00462341308594 , 223.40782165527344, 15.017618179321287 , 58.04698181152344 ,  91.09066009521484, 0.0009407519847932    , 0.016889786959805 , 0.000732922921473     ,  0.0146752551096004, -0.00043186177605398335, -0.03117869418983586   , 72.51939703572874  , 0.0148356845410486    , -0.0148356845410486  , 9.245009660926796 ,            ,            ,           0,                  ,                   ,                   , -0.0042563501130536        , -0.0453537283977339
    0.142578, 2824.868,       214979,  0.016188,                0.0, 0.045898          , 84.69000244140625  , 58.0099983215332  , 269.99932861328125, 0.0002350085104841    , 0.0        , -0.005096 ,             ,       , 12.730165481567385, 67.00493621826172 , 223.6706695556641 , 15.044118881225586 , 58.0532455444336  ,  90.935546875     , 0.0013297999095821    , 0.0101500229860251, 0.0005250938581528    ,  0.0124607232593959, -0.000388675598448585  , -0.028195502615900193  , 72.51983896184957  , 0.0096284396014724    , -0.0096284396014724  , 9.245925927439124 ,            ,            ,           0,                  ,                   ,                   , -0.0045280636045183        , -0.0482489836203004
    0.186768, 2824.912,       214982,  0.015423,                0.0, 0.0441899999999999, 84.69002532958984  , 58.01000213623047 , 269.999267578125  , 0.000117              , 0.0        , -0.005096 ,             ,       , 12.730127334594728, 67.00548553466797 , 223.8197631835937 , 15.063549041748049 , 58.05780029296875 ,  90.82628631591795, 0.0005250938581528    , 0.0124607232593959, 0.0005250938581528    ,  0.0112720231816979, -0.0003533414531350773 , -0.02575470950995283   , 72.5199671885038   , 0.0029017120214116    , -0.0029017120214116  , 9.24694155101763  ,            ,            ,           0,                  ,                   ,                   , 0.0                        , -0.0268997528331748
    0.234375, 2824.959,       214985,  0.01557 ,                0.0, 0.047607          , 84.69001007080078  , 58.0099983215332  , 269.9990234375    , 1.70293863659264e-05  , 0.0        , -0.005096 ,             ,       , 12.730179786682127, 67.00601959228516 , 223.9205780029297 , 15.07542610168457  , 58.06087493896485 ,  90.76053619384766, 0.0003303799810096    , 0.0112720231816979, 0.0005250938581528    ,  0.0101500229860251, -0.0003238963320404875 , -0.02360848371745676   , 72.5199667210554   , -9.818900618903918e-06, 9.818900618903918e-06, 9.2474749605964   ,            ,            ,           0,                  ,                   ,                   , 0.0                        , -0.0235679668047302
    0.279053, 2825.004,       214988,  0.01526 ,                0.0, 0.0446779999999999, 84.69001770019531  , 58.0099983215332  , 269.9974975585937 , 0.00172501420284      , 0.0        , -0.005096 ,             ,       , 12.73020839691162 , 67.0063247680664  , 223.9826202392578 , 15.081914901733398 , 58.06237030029297 ,  90.72499084472656, 0.0001707640120696    , 0.0068605119269786, 0.0003303799810096    ,  0.0106260522362195, -0.0002989812295758346 , -0.021792446508421624  , 72.51998375963377  , 0.0003813639459585    , -0.0003813639459585  , 9.247964370953508 ,            ,            ,           0,                  ,                   ,                   , -0.0043581601043735        , 0.010654667849824
    0.323975, 2825.049,       214991,  0.015106,                0.0, 0.044922          , 84.69004821777344  , 58.01000213623047 , 269.9979553222656 , 0.0005720034964928    , 0.0        , -0.005096 ,             ,       , 12.730225563049316, 67.00650787353516 , 224.00369262695312, 15.08358383178711  , 58.06309509277344 ,  90.71078491210938, 0.0006846327542673    , 0.0040939488696918, 0.0003303799810096    ,  0.0068605119269786, -0.00013527545599685   , -0.019013466461078984  , 72.5200192497265   , 0.0007900381267027    , -0.0007900381267027  , 9.24786068818776  ,            ,            ,           0,                  ,                   ,                   , 0.0                        , -0.0838239684172765
    0.367432, 2825.093,       214994,  0.014757,                0.0, 0.0434569999999999, 84.69005584716797  , 58.00999450683594 , 269.9976806640625 , 0.0014700122448469    , 0.0        , -0.005096 ,             ,       , 12.73061752319336 , 67.00675201416016 , 224.0580902099609 , 15.083541870117188 , 58.06316375732422 ,  90.71359252929688, 0.0002482820539565    , 0.0106260522362195, 0.0002482820539565    ,  0.0066076360955041, -0.00013527545599685   , -0.015524718122791761  , 72.51966912188375  , -0.0080568801976823   , 0.0080568801976823   , 9.247919976414188 ,            ,            ,           0,                  ,                   ,                   , -0.0018891761293491        , -0.0058189896098344
    0.413574, 2825.139,       214997,  0.015109,                0.0, 0.046142          , 84.69007873535156  , 58.0099983215332  , 269.99810791015625, 0.0003440130811466    , 0.0        , -0.005096 ,             ,       , 12.730876922607422, 67.00691223144531 , 224.1315460205078 , 15.08079433441162  , 58.06222534179688 ,  90.73684692382812, 0.0005028801870698    , 0.0066076360955041, 0.0002482820539565    ,  0.0040939488696918, -6.261483563726923e-05 , -0.012745738075449119  , 72.51945384122531  , -0.0046656117731714   , 0.0046656117731714   , 9.248217957863506 ,            ,            ,           0,                  ,                   ,                   , 0.0                        , -0.0544772057087306
