ScenarioTime, GameTime, Frame Number, FrameRate, FrameRate-XRDevice, dt                , car_x              , car_z             , car_yaw           , A_velocity_raw        , A_accel_raw, A_steering, A_indicators, A_horn, ped_x             , ped_z             , ped_yaw           , ped_avatar_x       , ped_avatar_z      , ped_avatar_yaw    , car_speed_xz          , ped_speed_xz      , car_speed_xz_smooth   , ped_speed_xz_smooth, car_accel_xz           , ped_accel_xz          , car_ped_distance_xz, distance_change       , distance_closing     , avatar_vr_gap_xz  , ped_stopped, ped_walking, car_slowing, close_interaction, ped_possible_noise, car_possible_noise, car_accel_xz_raw_unsmoothed, ped_accel_xz_raw_unsmoothed, head_x            , head_y            , head_z            , head_rot_x          , head_rot_y        , head_rot_z         , neck_rot_x         , neck_rot_y        , neck_rot_z          , chest_rot_x         , chest_rot_y       , chest_rot_z         , hips_rot_x          , hips_rot_y        , hips_rot_z          , left_shoulder_x   , left_shoulder_y   , left_shoulder_z   , right_shoulder_x  , right_shoulder_y  , right_shoulder_z  , left_upper_arm_x  , left_upper_arm_y  , left_upper_arm_z  , right_upper_arm_x , right_upper_arm_y , right_upper_arm_z , left_lower_arm_x  , left_lower_arm_y  , left_lower_arm_z  , right_lower_arm_x , right_lower_arm_y , right_lower_arm_z , left_hand_x       , left_hand_y       , left_hand_z       , right_hand_x      , right_hand_y      , right_hand_z      , head_yaw          , head_turn_rate_deg_s, head_turn_rate_abs_deg_s, head_turn_rate_abs_smooth, head_body_yaw_diff , head_body_yaw_diff_abs, left_hand_speed_3d, left_hand_speed_3d_smooth, right_hand_speed_3d, right_hand_speed_3d_smooth, hand_activity_speed, left_hand_height_relative_to_head, right_hand_height_relative_to_head, ScenarioTime_behavior_v3, ped_speed_behavior_smooth_v3, ped_accel_behavior_smooth_v3, ped_signed_progress_speed_v3, head_turn_rate_smooth_signed_v3, head_turn_rate_abs_smooth_v3, left_hand_speed_behavior_smooth_v3, right_hand_speed_behavior_smooth_v3, hand_activity_speed_behavior_smooth_v3, movement_state_v3, head_state_v3     , hand_state_v3    , hesitation_score_v3, yield_score_v3, higher_level_inference_v3, checking_vehicle_v3, hesitating_v3, yield_candidate_v3, committed_crossing_v3, ped_behavior_phrase_v3                                                     , ped_behavior_v3_segment_id
    0.0     , 2824.725,       214971,  0.014739,                0.0,                   , 84.68988800048828  , 58.00999450683594 , 270.00018310546875, 0.0                   , 0.0        , -0.005096 ,             ,       , 12.73224639892578 , 67.0030746459961  , 222.1299743652344 , 15.014169692993164 , 58.04702758789063 ,  91.1807098388672 ,                       ,                   , 0.0005831152009854    ,  0.0241341383409496, -0.0005552508549265    , -0.0358887558991368   , 72.5174301478498   ,                       ,                      , 9.242183336582697 ,            ,            ,           0,                  ,                   ,                   ,                            ,                            , 12.808979988098145, 1.4651384353637695, 67.06693267822266 , 345.96417236328125  , 222.32098388671875, 0.5303398966789246 , 357.1336364746094  , 238.6092834472656 , 354.98150634765625  , 355.6862487792969   , 269.4552001953125 , 356.6922302246094   , 353.7890930175781   , 271.73779296875   ,   2.9809165000915527, 12.814797401428224, 1.3601137399673462, 66.99893951416016 , 12.813495635986328, 1.3528403043746948, 67.12078857421875 , 12.805365562438965, 1.3398780822753906, 66.86500549316406 , 12.801810264587402, 1.3155277967453003, 67.25081634521484 , 12.776970863342283, 1.068252444267273 , 66.85287475585938 , 12.814002990722656, 1.0425487756729126, 67.25138092041016 , 12.739415168762209, 0.794152021408081 , 66.8421401977539  , 12.822162628173828, 0.7659510970115662, 67.2502670288086  , 222.32098388671875, 16.811389663212875  ,      16.811389663212875 ,        2.167188859738776 , 0.1910095214843465 ,     0.1910095214843465, 0.1733401775394681,        0.0814560906000026,  0.1873790751328395,         0.0462016861465914,  0.063828888373297 , -0.6709864139556885              , -0.6991873383522034               ,                 0.0     ,        0.011790366465219507 , -0.02648374948713479        , -0.008921427941992017       , 1.9008108308070744             ,         1.9008108308070744  ,               0.06265094961887267 ,                0.03591836348068177 ,                   0.049284656549777234, stopped          , head_forward      , hands_quiet      ,                  35,             35, waiting                  ,                   0,             0,                  0,                     0, stopped + waiting                                                          ,                          1
    0.047852, 2824.773,       214973,  0.017669,                0.0, 0.047852          , 84.68989562988281  , 58.01000213623047 , 269.9993591308594 , 0.0014700054421667    , 0.0        , -0.005096 ,             ,       , 12.731125831604004, 67.00407409667969 , 222.9418029785156 , 15.017289161682127 , 58.04747009277344 ,  91.20555877685548, 0.0002254784171777    , 0.0313784897220941, 0.0009407519847932    ,  0.016889786959805 , -0.0004858444980607    , -0.034348657262336    , 72.51867263892397  , 0.0259652903573508    , -0.0259652903573508  , 9.243770770339523 ,            ,            ,           0,                  ,                   ,                   , 0.0074738105786121         , -0.1513907753311158        , 12.81590461730957 , 1.464716553688049 , 67.0684585571289  , 345.5845947265625   , 223.1254425048828 , 0.4911146759986877 , 357.1834716796875  , 239.09939575195312, 354.9210510253906   , 355.75933837890625  , 269.5233154296875 , 356.6796875         , 353.7674865722656   , 271.6144104003906 ,   3.0659961700439453, 12.82168960571289 , 1.3597370386123655, 67.0003662109375  , 12.820639610290527, 1.3523937463760376, 67.1222152709961  , 12.812492370605469, 1.3401484489440918, 66.86632537841797 , 12.80947971343994 , 1.315335035324097 , 67.25235748291016 , 12.785048484802246, 1.068429470062256 , 66.85408782958984 , 12.822345733642578, 1.042388081550598 , 67.25328063964844 , 12.74760627746582 , 0.7943106293678284, 66.84343719482422 , 12.830862045288086, 0.7658000588417053, 67.25243377685547 , 223.1254425048828 , 16.811389663212875  ,      16.811389663212875 ,        1.9529714648370784, 0.1836395263672159 ,     0.1836395263672159, 0.1733401775394681,        0.0761519536822261,  0.1873790751328395,         0.0426910717388846,  0.0594215127105553, -0.6704059243202207              , -0.6989164948463438               ,                 0.047852,        0.01155603168247745  , -0.025813563347318623       , -0.008585233166149345       , 1.7246474400384764             ,         1.7246474400384764  ,               0.060731699455681735,                0.03440637963917613 ,                   0.047569039547428936, stopped          , head_forward      , hands_quiet      ,                  35,             35, waiting                  ,                   0,             0,                  0,                     0, stopped + waiting                                                          ,                          1
    0.09668 , 2824.822,       214976,  0.01698 ,                0.0, 0.048828          , 84.68994140625     , 58.0099983215332  , 269.9996337890625 , 0.001973012417599     , 0.0        , -0.005096 ,             ,       , 12.730510711669922, 67.00462341308594 , 223.40782165527344, 15.017618179321287 , 58.04698181152344 ,  91.09066009521484, 0.0009407519847932    , 0.016889786959805 , 0.000732922921473     ,  0.0146752551096004, -0.0004318617760539    , -0.0311786941898358   , 72.51939703572874  , 0.0148356845410486    , -0.0148356845410486  , 9.245009660926796 ,            ,            ,           0,                  ,                   ,                   , -0.0042563501130536        , -0.0453537283977339        , 12.798048973083496, 1.4644654989242554, 67.0635757446289  , 344.9696655273437   , 224.0375518798828 , 0.6659865379333496 , 357.2351989746094  , 239.47824096679688, 354.9506530761719   , 355.8533630371094   , 269.2789306640625 , 356.7172241210937   , 353.6424865722656   , 271.25860595703125,   3.070995569229126 , 12.80408000946045 , 1.359463095664978 , 66.99554443359375 , 12.802590370178224, 1.3521597385406494, 67.11738586425781 , 12.7960205078125  , 1.3409041166305542, 66.86128234863281 , 12.791254997253418, 1.3157742023468018, 67.2477035522461  , 12.769856452941896, 1.069092035293579 , 66.84832763671875 , 12.804971694946287, 1.0428732633590698, 67.24956512451172 , 12.731464385986328, 0.7951151132583618, 66.83740234375    , 12.812873840332031, 0.7662660479545593, 67.2491226196289  , 224.0375518798828 , 18.68004782092242   ,      18.68004782092242  ,        1.7923084186608045, 0.629730224609375  ,     0.629730224609375 , 0.3533193587121374,        0.0700289639434271,  0.3747102085178748,         0.0396170374259233,  0.0548230006846752, -0.6693503856658936              , -0.698199450969696                ,                 0.09668 ,        0.010969091713040094 , -0.024963551236538657       , -0.008256370264721376       , 1.592524896962028              ,         1.592524896962028   ,               0.05868871551973005 ,                0.03314830400176285 ,                   0.04591850976074646 , stopped          , head_forward      , hands_quiet      ,                  35,             35, waiting                  ,                   0,             0,                  0,                     0, stopped + waiting                                                          ,                          1
    0.142578, 2824.868,       214979,  0.016188,                0.0, 0.045898          , 84.69000244140625  , 58.0099983215332  , 269.99932861328125, 0.0002350085104841    , 0.0        , -0.005096 ,             ,       , 12.730165481567385, 67.00493621826172 , 223.6706695556641 , 15.044118881225586 , 58.0532455444336  ,  90.935546875     , 0.0013297999095821    , 0.0101500229860251, 0.0005250938581528    ,  0.0124607232593959, -0.0003886755984485    , -0.0281955026159001   , 72.51983896184957  , 0.0096284396014724    , -0.0096284396014724  , 9.245925927439124 ,            ,            ,           0,                  ,                   ,                   , -0.0045280636045183        , -0.0482489836203004        , 12.80019474029541 , 1.4643197059631348, 67.06388854980469 , 344.666015625       , 224.09263610839844, 0.7884521484375    , 357.2198791503906  , 239.37271118164065, 354.9609375         , 355.9143371582031   , 268.9898681640625 , 356.7336120605469   , 353.58074951171875  , 270.99285888671875,   3.052793264389038 , 12.806543350219728, 1.3592963218688965, 66.99588012695312 , 12.804442405700684, 1.3520314693450928, 67.11772155761719 , 12.79924488067627 , 1.3409746885299685, 66.86154174804688 , 12.79248046875    , 1.3158812522888184, 67.248046875      , 12.77342128753662 , 1.0691320896148682, 66.84854125976562 , 12.806357383728027, 1.042988657951355 , 67.24991607666016 , 12.734631538391112, 0.7952076196670532, 66.83770751953125 , 12.813855171203612, 0.7663706541061401, 67.24922943115234 , 224.09263610839844, 1.2001444183978605  ,       1.2001444183978605,        1.6673482716348138, 0.4219665527343466 ,     0.4219665527343466, 0.0693530377668364,        0.0652666385910279,  0.0216273852926436,         0.0372261218491756,  0.0512463802201017, -0.6691120862960815              , -0.6979490518569946               ,                 0.142578,        0.010484485533313872 , -0.023914792001677884       , -0.007793822279676849       , 1.4897629190136792             ,         1.4897629190136792  ,               0.05661602046071425 ,                0.03201266709145479 ,                   0.044314343776084536, stopped          , head_forward      , hands_quiet      ,                  35,             35, waiting                  ,                   0,             0,                  0,                     0, stopped + waiting                                                          ,                          1
    0.186768, 2824.912,       214982,  0.015423,                0.0, 0.0441899999999999, 84.69002532958984  , 58.01000213623047 , 269.999267578125  , 0.000117              , 0.0        , -0.005096 ,             ,       , 12.730127334594728, 67.00548553466797 , 223.8197631835937 , 15.063549041748049 , 58.05780029296875 ,  90.82628631591795, 0.0005250938581528    , 0.0124607232593959, 0.0005250938581528    ,  0.0112720231816979, -0.000353341453135     , -0.0257547095099528   , 72.5199671885038   , 0.0029017120214116    , -0.0029017120214116  , 9.24694155101763  ,            ,            ,           0,                  ,                   ,                   , 0.0                        , -0.0268997528331748        , 12.80263614654541 , 1.4644019603729248, 67.06414031982422 , 344.4736328125      , 224.083740234375  , 0.815969705581665  , 357.17388916015625 , 239.2125701904297 , 354.9727783203125   , 355.9466552734375   , 268.71795654296875, 356.736083984375    , 353.5308532714844   , 270.749755859375  ,   3.066560983657837 , 12.809234619140623, 1.3593722581863403, 66.99613952636719 , 12.806549072265623, 1.352115273475647 , 67.11796569824219 , 12.802566528320312, 1.3411816358566284, 66.86174774169922 , 12.793920516967772, 1.3161166906356812, 67.2482681274414  , 12.776944160461426, 1.0693072080612185, 66.84902954101562 , 12.807887077331545, 1.0432264804840088, 67.24984741210938 , 12.738073348999023, 0.7953839898109436, 66.83845520019531 , 12.81523895263672 , 0.7666062712669373, 67.24870300292969 , 224.083740234375  , -0.201309663350023  ,       0.201309663350023 ,        1.5673801540140213, 0.2639770507813068 ,     0.2639770507813068, 0.0798030934045592,        0.0614567783091085,  0.0339254165803551,         0.0353133893877774,  0.048385083848443 , -0.6690179705619812              , -0.6977956891059875               ,                 0.186768,        0.009875226321107445 , -0.022797886609055004       , -0.0074209018929818436      , 1.4075533366550002             ,         1.4075533366550002  ,               0.05457002786845231 ,                0.031004887358181098,                   0.04278745761331672 , stopped          , head_forward      , hands_quiet      ,                  35,             35, waiting                  ,                   0,             0,                  0,                     0, stopped + waiting                                                          ,                          1
    0.234375, 2824.959,       214985,  0.01557 ,                0.0, 0.047607          , 84.69001007080078  , 58.0099983215332  , 269.9990234375    , 1.70293863659264e-05  , 0.0        , -0.005096 ,             ,       , 12.730179786682127, 67.00601959228516 , 223.9205780029297 , 15.07542610168457  , 58.06087493896485 ,  90.76053619384766, 0.0003303799810096    , 0.0112720231816979, 0.0005250938581528    ,  0.0101500229860251, -0.0003238963320404    , -0.0236084837174567   , 72.5199667210554   , -9.818900618903918e-06, 9.818900618903918e-06, 9.2474749605964   ,            ,            ,           0,                  ,                   ,                   , 0.0                        , -0.0235679668047302        , 12.804347038269045, 1.4643162488937378, 67.06480407714844 , 344.2891540527344   , 224.07261657714844, 0.7046414613723755 , 357.1257019042969  , 238.9897308349609 , 354.9677734375      , 355.97705078125     , 268.3821105957031 , 356.7020263671875   , 353.44195556640625  , 270.38543701171875,   3.0825729370117188, 12.811239242553713, 1.3593242168426514, 66.99677276611328 , 12.80785083770752 , 1.3519916534423828, 67.11857604980469 , 12.805320739746094, 1.3413487672805786, 66.86231994628906 , 12.794448852539062, 1.3162298202514648, 67.24887084960938 , 12.77988338470459 , 1.0694386959075928, 66.84999084472656 , 12.808544158935549, 1.0433447360992432, 67.25009155273438 , 12.741129875183104, 0.7954891324043274, 66.83967590332031 , 12.81594944000244 , 0.7667280435562134, 67.24848937988281 , 224.07261657714844, -0.2336559167047388 ,       0.2336559167047388,        1.540585192321679 , 0.15203857421875   ,     0.15203857421875  , 0.0691694616583269,        0.0582962546274998,  0.0157925266855907,         0.0337484264648153,  0.0460223405461576, -0.6688271164894104              , -0.6975882053375244               ,                 0.234375,        0.00937674151112037  , -0.02156689598433744        , -0.007070537229401082       , 1.3402909510888081             ,         1.3402909510888081  ,               0.05250805377648379 ,                0.030180340303684442,                   0.041324483375170334, stopped          , head_forward      , hands_quiet      ,                  35,             35, waiting                  ,                   0,             0,                  0,                     0, stopped + waiting                                                          ,                          1
    0.279053, 2825.004,       214988,  0.01526 ,                0.0, 0.0446779999999999, 84.69001770019531  , 58.0099983215332  , 269.9974975585937 , 0.00172501420284      , 0.0        , -0.005096 ,             ,       , 12.73020839691162 , 67.0063247680664  , 223.9826202392578 , 15.081914901733398 , 58.06237030029297 ,  90.72499084472656, 0.0001707640120696    , 0.0068605119269786, 0.0003303799810096    ,  0.0106260522362195, -0.0002989812295758    , -0.0217924465084216   , 72.51998375963377  , 0.0003813639459585    , -0.0003813639459585  , 9.247964370953508 ,            ,            ,           0,                  ,                   ,                   , -0.0043581601043735        , 0.010654667849824          , 12.805368423461914, 1.464368462562561 , 67.06494140625    , 344.0174560546875   , 224.0466461181641 , 0.6779254674911499 , 356.9807434082031  , 238.7935943603516 , 355.00762939453125  , 355.9898681640625   , 268.0960998535156 , 356.6796264648437   , 353.4213256835937   , 270.0357360839844 ,   3.0991744995117188, 12.812312126159668, 1.359390139579773 , 66.99686431884766 , 12.808338165283203, 1.352014183998108 , 67.11865234375    , 12.806955337524414, 1.3414998054504397, 66.86238098144531 , 12.794264793395996, 1.3165653944015503, 67.24896240234375 , 12.781685829162598, 1.0695741176605225, 66.85005187988281 , 12.808499336242676, 1.043689250946045 , 67.25054931640625 , 12.74310302734375 , 0.7956072092056274, 66.83955383300781 , 12.815733909606934, 0.7670667767524719, 67.24919128417969 , 224.0466461181641 , -0.5812806970846197 ,       0.5812806970846197,        0.8748185085906912, 0.0640258789062784 ,     0.0640258789062784, 0.0443271321755673,        0.0492161984765361,  0.0180987972351941,         0.0253344765901423,  0.0372753375333392, -0.6687612533569336              , -0.6973016858100891               ,                 0.279053,        0.00854255098627959  , -0.019456978828605736       , -0.006278856758209458       , 0.58228186514531               ,         0.58228186514531    ,               0.04891232827770781 ,                0.028681548496517942,                   0.03873731222003201 , stopped          , head_forward      , hands_quiet      ,                  35,             35, waiting                  ,                   0,             0,                  0,                     0, stopped + waiting                                                          ,                          1
    0.323975, 2825.049,       214991,  0.015106,                0.0, 0.044922          , 84.69004821777344  , 58.01000213623047 , 269.9979553222656 , 0.0005720034964928    , 0.0        , -0.005096 ,             ,       , 12.730225563049316, 67.00650787353516 , 224.00369262695312, 15.08358383178711  , 58.06309509277344 ,  90.71078491210938, 0.0006846327542673    , 0.0040939488696918, 0.0003303799810096    ,  0.0068605119269786, -0.0001352754559968    , -0.0190134664610789   , 72.5200192497265   , 0.0007900381267027    , -0.0007900381267027  , 9.24786068818776  ,            ,            ,           0,                  ,                   ,                   , 0.0                        , -0.0838239684172765        , 12.805411338806152, 1.4643040895462036, 67.06513214111328 , 343.7611389160156   , 224.0197906494141 , 0.8196122646331787 , 356.791259765625   , 238.6881103515625 , 355.0493469238281   , 355.9917297363281   , 267.9217529296875 , 356.669921875       , 353.3591613769531   , 269.8314208984375 ,   3.106956243515014 , 12.812261581420898, 1.3593143224716189, 66.99699401855469 , 12.807927131652832, 1.351944088935852 , 67.11876678466797 , 12.807113647460938, 1.3413368463516235, 66.86251068115234 , 12.79334831237793 , 1.3166298866271973, 67.24905395507812 , 12.781689643859863, 1.0694326162338257, 66.85002899169922 , 12.807312965393066, 1.0437426567077637, 67.25106048583984 , 12.743255615234377, 0.795455276966095 , 66.83926391601562 , 12.814141273498535, 0.7671082019805908, 67.25003051757812 , 224.0197906494141 , -0.5978244234450827 ,       0.5978244234450827,        0.9186538814422046, 0.0160980224609659 ,     0.0160980224609659, 0.0080391519497948,        0.0443878279680683,  0.0400850241104182,         0.0243417745398699,  0.0343648012539691, -0.6688488125801086              , -0.6971958875656128               ,                 0.323975,        0.007781935132670128 , -0.017294551130198555       , -0.005520712508014765       , 0.5338748357843126             ,         0.5338748357843126  ,               0.04542317327732223 ,                0.027291434670112694,                   0.0363127147223743  , stopped          , head_forward      , hands_quiet      ,                  35,             35, waiting                  ,                   0,             0,                  0,                     0, stopped + waiting                                                          ,                          1
    0.367432, 2825.093,       214994,  0.014757,                0.0, 0.0434569999999999, 84.69005584716797  , 58.00999450683594 , 269.9976806640625 , 0.0014700122448469    , 0.0        , -0.005096 ,             ,       , 12.73061752319336 , 67.00675201416016 , 224.0580902099609 , 15.083541870117188 , 58.06316375732422 ,  90.71359252929688, 0.0002482820539565    , 0.0106260522362195, 0.0002482820539565    ,  0.0066076360955041, -0.0001352754559968    , -0.0155247181227917   , 72.51966912188375  , -0.0080568801976823   , 0.0080568801976823   , 9.247919976414188 ,            ,            ,           0,                  ,                   ,                   , -0.0018891761293491        , -0.0058189896098344        , 12.806276321411133, 1.4643490314483645, 67.06543731689453 , 343.54547119140625  , 223.9996337890625 , 0.9645692706108092 , 356.5870361328125  , 238.6152801513672 , 355.0752868652344   , 356.0057983398437   , 267.784912109375  , 356.6635131835937   , 353.35943603515625  , 269.6676025390625 ,   3.074450254440308 , 12.81299114227295 , 1.3593512773513794, 66.9971923828125  , 12.808380126953123, 1.3519861698150637, 67.11895751953125 , 12.807902336120604, 1.341260313987732 , 66.86272430419922 , 12.793360710144045, 1.3167649507522583, 67.24922180175781 , 12.78243350982666 , 1.0693711042404177, 66.8499984741211  , 12.807085990905762, 1.0438663959503174, 67.25135803222656 , 12.744382858276367, 0.795352578163147 , 66.83892822265625 , 12.813612937927246, 0.7672244906425476, 67.25039672851562 , 223.9996337890625 , -0.4638346032075607 ,       0.4638346032075607,        0.9950438482122764, -0.058456420898409 ,     0.058456420898409 , 0.0271680357718341,        0.0400344599885878,  0.015032742093092 ,         0.0229275718089903,  0.0314810158987891, -0.6689964532852175              , -0.6971245408058169               ,                 0.367432,        0.007069851102451263 , -0.015063276815573668       , -0.0048218103020585676      , 0.5491702646845826             ,         0.5491702646845826  ,               0.04210493743810395 ,                0.025988263228316457,                   0.03401817615070108 , stopped          , head_forward      , hands_quiet      ,                  35,             35, waiting                  ,                   0,             0,                  0,                     0, stopped + waiting                                                          ,                          1
    0.413574, 2825.139,       214997,  0.015109,                0.0, 0.046142          , 84.69007873535156  , 58.0099983215332  , 269.99810791015625, 0.0003440130811466    , 0.0        , -0.005096 ,             ,       , 12.730876922607422, 67.00691223144531 , 224.1315460205078 , 15.08079433441162  , 58.06222534179688 ,  90.73684692382812, 0.0005028801870698    , 0.0066076360955041, 0.0002482820539565    ,  0.0040939488696918, -6.261483563726923e-05 , -0.0127457380754491   , 72.51945384122531  , -0.0046656117731714   , 0.0046656117731714   , 9.248217957863506 ,            ,            ,           0,                  ,                   ,                   , 0.0                        , -0.0544772057087306        , 12.807351112365724, 1.464308738708496 , 67.06541442871094 , 343.4814758300781   , 224.0304412841797 , 0.989665687084198  , 356.50408935546875 , 238.61602783203125, 355.08642578125     , 356.0132751464844   , 267.75494384765625, 356.66534423828125  , 353.3763122558594   , 269.6342163085937 ,   3.052483558654785 , 12.81397819519043 , 1.359305500984192 , 66.99712371826172 , 12.809308052062988, 1.35194730758667  , 67.11888885498047 , 12.80883502960205 , 1.341158151626587 , 66.8626708984375  , 12.794164657592772, 1.3167953491210938, 67.24916076660156 , 12.78339385986328 , 1.069270133972168 , 66.84986877441406 , 12.807815551757812, 1.0438929796218872, 67.25127410888672 , 12.74558448791504 , 0.7952224612236023, 66.83869171142578 , 12.814249992370604, 0.7672492861747742, 67.2502670288086  , 224.0304412841797 , 0.6676670954268887  ,       0.6676670954268887,        1.1001670043381278, -0.101104736328125 ,     0.101104736328125 , 0.0266910178114128,        0.0361560945380948,  0.0140998663151956,         0.0219348697587179,  0.0290454821484064, -0.6690862774848938              , -0.6970594525337219               ,                 0.413574,        0.006411798893945945 , -0.01277480548622913        , -0.00425697553283754        , 0.6281681518461201             ,         0.6281681518461201  ,               0.0389479358053745  ,                0.02477203417112923 ,                   0.031853696505012345, stopped          , head_forward      , hands_quiet      ,                  35,             35, waiting                  ,                   0,             0,                  0,                     0, stopped + waiting                                                          ,                          1
