participant_id,recording_identifier,scenario,original_interaction_duration,data_quality_flags,pedestrian_mean_path_deviation,pedestrian_median_path_deviation,pedestrian_maximum_path_deviation,pedestrian_progress_at_maximum_deviation,pedestrian_path_length,vehicle_mean_path_deviation,vehicle_median_path_deviation,vehicle_maximum_path_deviation,vehicle_progress_at_maximum_deviation,vehicle_path_length
PedNYC11,PedNYC11_scenario15,15,27.688965000000003,,1.2581808385027864,1.1804265769274793,2.680638555540345,37.0,18.338891884708822,10.58533637837364,11.123140669900387,17.26918736965259,94.0,38.54102175132949
PedNYC12,PedNYC12_scenario15,15,39.537352999999996,,1.7573806886062848,1.682824893805491,4.1673611132159225,34.0,19.114382552698057,10.794847083629694,10.7942527694108,20.685025331184494,91.0,96.88771441429907
PedNYC13,PedNYC13_scenario15,15,24.544068,robust_outlier:vehicle_maximum_path_deviation,2.0206810257643566,1.893300979432198,3.7989842325189564,49.0,18.123228064268062,18.23711489724908,11.921065347883975,53.64655691436763,99.0,111.93124386498454
PedNYC15,PedNYC15_scenario15,15,28.625733,,4.38573281304788,4.719571926820071,7.052133182529734,52.0,17.715261055598706,11.49540868773006,11.529649352884299,22.60855871349394,20.0,69.81716293927606
PedNYC16,PedNYC16_scenario15,15,16.708619,,2.9346599815736245,3.3051645040682,4.814813151419351,77.0,18.14393254250923,5.748099136152092,4.28010862042951,16.509751361105366,100.0,44.012264057196354
PedNYC17,PedNYC17_scenario15,15,22.584473,,1.4780138738898623,1.347859183111952,3.946412397298386,76.0,18.80602707764799,5.821564276346062,5.2591606160586055,12.463864012002173,9.0,70.99314684999352
PedNYC19,PedNYC19_scenario15,15,28.542145,robust_outlier:pedestrian_path_length,4.760688481994243,6.0508336833332,6.62376651720783,81.0,12.676118943490675,14.545718441445755,14.820406329444895,23.931200966429845,26.0,77.2061482319819
PedNYC1,PedNYC1_scenario15,15,29.45459,,2.192832916167648,2.219533939870075,4.023770840330128,37.0,16.883970389642613,13.282313743920879,14.495024911399542,20.60194931400536,22.0,55.70136049348329
PedNYC20,PedNYC20_scenario15,15,20.458984,,1.406291426000159,1.448428605035807,2.6289502766241686,56.0,18.652902826699055,12.953637378476971,13.882710403493316,22.321537833646282,10.0,27.124104753989442
PedNYC22,PedNYC22_scenario15,15,21.58374,robust_outlier:vehicle_maximum_path_deviation,2.2385854685610482,1.9920588801265835,3.9852756956050666,35.0,17.0603327345595,35.47442824819844,38.47597410744332,52.84332599027513,100.0,90.61225833867357
PedNYC23,PedNYC23_scenario15,15,38.084534,,2.335525032559327,2.0465520577179053,5.040095074039677,39.0,18.724570763038468,19.069184417224417,20.957310638588332,34.36363844427344,74.0,101.15013167039018
PedNYC24,PedNYC24_scenario15,15,43.625732,,1.8417806969090522,1.6595859676437204,4.147866403896748,74.0,18.681535663586768,9.863310008250034,8.37916911377168,25.85678929963415,93.0,106.77463860042491
PedNYC25,PedNYC25_scenario15,15,22.458709999999996,,2.7890371348028826,3.223128743539709,4.610450683567401,67.0,16.883782019010784,8.439952640200577,7.773792980171288,18.53156723232745,21.0,49.110545055890306
PedNYC26,PedNYC26_scenario15,15,27.129395000000002,,3.100399123616559,3.2742983699742134,5.5925153231135765,61.0,17.8862825777081,9.657003102590473,8.019978114626525,21.44752309092528,23.0,71.39111973099217
PedNYC28,PedNYC28_scenario15,15,17.625244,,0.8773085519604251,0.8342100895590907,1.749492920348848,100.0,17.911339182623173,11.825106462985174,13.101002540438337,21.01437627466293,99.0,26.54002118796528
PedNYC29,PedNYC29_scenario15,15,48.297119,robust_outlier:pedestrian_path_length,2.8198224932889584,2.8176140062469104,5.711292028317088,63.0,26.160477319899062,5.770794370721955,3.894265831852216,16.32359398852349,93.0,88.85969159249547
PedNYC2,PedNYC2_scenario15,15,32.612793,robust_outlier:vehicle_maximum_path_deviation,2.5871789633366564,2.259266309463592,5.614001485967463,44.0,19.307751635583696,20.59993090366628,20.04820924302487,52.4784037010646,100.0,114.05484168550912
PedNYC30,PedNYC30_scenario15,15,47.794678,,3.6931518185996937,3.1365709078473007,8.259837607385087,50.0,20.336425077548586,6.167844932435243,4.400227347213537,14.170105156134506,100.0,94.30755791126177
PedNYC31,PedNYC31_scenario15,15,117.336426,robust_outlier:pedestrian_path_length;robust_outlier:original_interaction_duration,1.86110371043926,1.3762430975170086,6.813137816312199,39.0,31.005242834290023,10.517107603251569,10.51172841620105,23.103046301861138,23.0,99.38422319530325
PedNYC3,PedNYC3_scenario15,15,22.727539,,1.4173165546055353,1.2423282536618496,2.8827358324788666,36.0,16.94880359484374,13.094944050240066,14.269916018352012,19.58272790673132,26.0,69.16475538189796
PedNYC4,PedNYC4_scenario15,15,32.043762,,1.9748009049110709,1.5494557451847157,5.054775140181824,37.0,16.71247600928798,9.92593636255791,8.787134873059191,19.051641080452637,89.0,73.32294297641879
PedNYC5,PedNYC5_scenario15,15,17.817259999999997,,1.508570968773395,1.555684378206573,2.488111630925693,36.0,17.127880887154966,9.499687037929458,9.626351292314595,17.685148203497317,94.0,39.500065777305636
PedNYC6,PedNYC6_scenario15_CSV_Scenario_Ped_15_Session_temp_2024_03_01_11_47_13_decoded,15,12.187744,robust_outlier:pedestrian_maximum_path_deviation;robust_outlier:vehicle_maximum_path_deviation;robust_outlier:pedestrian_path_length,7.936385375628353,8.448575417689682,15.390853122633562,99.0,1.2825970675466185,41.10738499258395,46.383375378040256,59.49293554324345,99.0,0.00016176298327916493
PedNYC6,PedNYC6_scenario15_CSV_Scenario_Ped_15_Session_temp_2024_03_01_11_48_06_decoded,15,75.169189,robust_outlier:pedestrian_maximum_path_deviation;robust_outlier:vehicle_maximum_path_deviation;robust_outlier:pedestrian_path_length;robust_outlier:original_interaction_duration,8.041248708661023,8.555075588950226,15.430069527584815,100.0,2.810296147209607,41.10738480851326,46.383381657934635,59.49293555529011,99.0,9.044585864471183e-05
PedNYC6,PedNYC6_scenario15_CSV_Scenario_Ped_15_Session_temp_2024_03_01_11_52_52_decoded,15,31.655396000000003,,1.3679779790181417,1.3480270760187938,2.788896946015751,29.0,18.260889104706013,18.94515382773079,19.7557181362087,27.901586940326236,14.0,60.921755134085856
PedNYC7,PedNYC7_scenario15,15,26.130126999999995,,1.2348982799870167,1.060823475726814,2.691787273475531,35.0,17.18217020759962,12.080918144418868,11.099830297827834,17.849124750294838,83.0,72.58240497757538
PedNYC8,PedNYC8_scenario15,15,35.951172,,2.377713005093794,2.1696064341894443,5.497715420464858,67.0,19.545899306827568,8.953203576415728,9.62979042298765,16.924967449132776,16.0,92.4273982052963
PedNYC9,PedNYC9_scenario15,15,17.370117,,1.1729772280536592,1.2225005252547363,2.042760849992949,36.0,17.795519739885044,20.182107810945954,16.7485043956652,35.758602310079446,100.0,70.69428378705169
