participant_id,recording_identifier,scenario,interaction_start_time,interaction_end_time,interaction_duration
PedNYC11,PedNYC11_scenario15,15,12.301147,39.990112,27.688965000000003
PedNYC12,PedNYC12_scenario15,15,0.697754,40.235107,39.537352999999996
PedNYC13,PedNYC13_scenario15,15,6.358154,30.902222,24.544068
PedNYC15,PedNYC15_scenario15,15,10.382324,39.008057,28.625733
PedNYC16,PedNYC16_scenario15,15,11.259521,27.96814,16.708619
PedNYC17,PedNYC17_scenario15,15,3.762207,26.34668,22.584473
PedNYC19,PedNYC19_scenario15,15,0.882538,29.424683,28.542145
PedNYC1,PedNYC1_scenario15,15,0.465332,29.919922,29.45459
PedNYC20,PedNYC20_scenario15,15,13.38678,33.845764,20.458984
PedNYC22,PedNYC22_scenario15,15,12.341309,33.925049,21.58374
PedNYC23,PedNYC23_scenario15,15,15.465393,53.549927,38.084534
PedNYC24,PedNYC24_scenario15,15,2.219727,45.845459,43.625732
PedNYC25,PedNYC25_scenario15,15,13.340088,35.798798,22.458709999999996
PedNYC26,PedNYC26_scenario15,15,10.874023,38.003418,27.129395000000002
PedNYC28,PedNYC28_scenario15,15,12.552979,30.178223,17.625244
PedNYC29,PedNYC29_scenario15,15,5.258179,53.555298,48.297119
PedNYC2,PedNYC2_scenario15,15,0.0,32.612793,32.612793
PedNYC30,PedNYC30_scenario15,15,1.341064,49.135742,47.794678
PedNYC31,PedNYC31_scenario15,15,0.507324,117.84375,117.336426
PedNYC3,PedNYC3_scenario15,15,12.611084,35.338623,22.727539
PedNYC4,PedNYC4_scenario15,15,10.267029,42.310791,32.043762
PedNYC5,PedNYC5_scenario15,15,13.101563,30.918823,17.817259999999997
PedNYC6,PedNYC6_scenario15_CSV_Scenario_Ped_15_Session_temp_2024_03_01_11_47_13_decoded,15,8.117188,20.304932,12.187744
PedNYC6,PedNYC6_scenario15_CSV_Scenario_Ped_15_Session_temp_2024_03_01_11_48_06_decoded,15,0.0,75.169189,75.169189
PedNYC6,PedNYC6_scenario15_CSV_Scenario_Ped_15_Session_temp_2024_03_01_11_52_52_decoded,15,15.222229,46.877625,31.655396000000003
PedNYC7,PedNYC7_scenario15,15,13.002197,39.132324,26.130126999999995
PedNYC8,PedNYC8_scenario15,15,1.217773,37.168945,35.951172
PedNYC9,PedNYC9_scenario15,15,7.723389,25.093506,17.370117
