event_id,start_time,end_time,label,duration,confidence,pednyc_number,scenario_number
0,0.0,9.716064,low_motion,9.716064,0.9,22,7
1,9.257813,11.716309,acceleration,2.4584960000000002,0.8,22,7
2,11.257813,12.716309,crossing_commitment,1.4584960000000002,0.78,22,7
3,12.258057,13.216309,acceleration,0.9582519999999999,0.8,22,7
4,12.758057,14.716309,crossing_commitment,1.9582519999999999,0.78,22,7
5,14.258057,15.216309,acceleration,0.9582519999999999,0.8,22,7
6,14.758057,16.716309,crossing_commitment,1.958251999999998,0.78,22,7
7,16.258057,17.216553,deceleration,0.9584960000000002,0.8,22,7
8,16.758057,19.216797,head_check,2.458739999999999,1.0,22,7
9,18.758301,19.716797,crossing_commitment,0.9584960000000002,0.78,22,7
10,19.258301,20.716797,head_check,1.4584960000000002,1.0,22,7
11,20.258301,22.216797,acceleration,1.9584960000000002,0.8,22,7
12,21.758545,22.716797,crossing_commitment,0.9582519999999981,0.78,22,7
13,22.258545,23.216797,deceleration,0.9582519999999981,0.8,22,7
14,22.758545,24.216797,acceleration,1.458251999999998,0.8,22,7
15,23.758545,24.716797,deceleration,0.9582519999999981,0.8,22,7
16,24.258545,25.716797,crossing_commitment,1.458251999999998,0.78,22,7
17,25.258545,26.217041,deceleration,0.9584959999999967,0.8,22,7
18,25.758545,26.717041,crossing_commitment,0.9584959999999967,0.78,22,7
19,26.258789,26.800537,acceleration,0.5417479999999983,0.8,22,7
20,26.800537,27.550537,deceleration,0.75,0.8,22,7
21,27.300537,30.050537,possible_yielding,2.75,0.85,22,7
22,29.592285,41.051025,low_motion,11.458740000000002,0.9,22,7
23,40.592529,41.551025,acceleration,0.9584960000000038,0.8,22,7
24,41.092529,48.05127,low_motion,6.958741000000003,0.9,22,7
25,47.593018,48.55127,possible_hesitation,0.9582520000000017,0.82,22,7
26,48.093018,52.85376,low_motion,4.7607420000000005,0.9,22,7
