event_id,start_time,end_time,label,duration,confidence,pednyc_number,scenario_number
0,0.0,1.261719,low_motion,1.261719,0.9,4,16
1,1.414307,3.378174,low_motion,1.963867,0.9,4,16
2,2.964844,5.36792,possible_hesitation,2.403076,0.82,4,16
3,4.915039,5.873535,acceleration,0.9584960000000002,0.8,4,16
4,5.449463,12.356201,low_motion,6.906738000000001,0.9,4,16
5,11.932373,14.836914,acceleration,2.904541,0.8,4,16
6,14.468262,16.539551,crossing_commitment,2.071289,0.78,4,16
7,16.134033,17.558838,possible_yielding,1.4248050000000028,0.85,4,16
8,17.167236,18.026855,acceleration,0.8596190000000021,0.8,4,16
9,17.616699,20.025635,crossing_commitment,2.4089360000000006,0.78,4,16
10,19.640625,21.754639,deceleration,2.114014000000001,0.8,4,16
11,21.754639,26.846191,low_motion,5.091552,0.9,4,16
