event_id,start_time,end_time,label,duration,confidence,pednyc_number,scenario_number
0,0.0,1.712189,head_check,1.712189,1.0,4,7
1,1.712189,6.670807,low_motion,4.9586179999999995,0.9,4,7
2,6.263306,7.663818,head_check,1.400512,1.0,4,7
3,7.254333,9.688599,acceleration,2.434266,0.8,4,7
4,9.231537,12.165222,crossing_commitment,2.9336850000000005,0.78,4,7
5,11.74176,12.667633,acceleration,0.9258730000000011,0.8,4,7
6,12.247009,15.654602,crossing_commitment,3.4075930000000003,0.78,4,7
7,15.217712,16.185394,possible_yielding,0.9676819999999982,0.85,4,7
8,15.741364,19.160156,crossing_commitment,3.418792,0.78,4,7
9,18.730865,19.656952,acceleration,0.926086999999999,0.8,4,7
10,19.261719,23.17392,crossing_commitment,3.9122009999999996,0.78,4,7
11,22.728516,23.275787,acceleration,0.5472710000000021,0.8,4,7
12,23.275787,27.201508,crossing_commitment,3.9257209999999993,0.78,4,7
13,26.814697,28.85141,deceleration,2.0367130000000024,0.8,4,7
14,28.85141,30.212891,low_motion,1.3614809999999977,0.9,4,7
