segment_id,start_time,end_time,phase_label,start_idx,end_idx,pednyc_number,scenario_number
0,0.0,2.665649,low_motion,0,64,28,3
1,2.665649,5.332397,acceleration,64,128,28,3
2,5.332397,22.16687,crossing,128,532,28,3
3,22.16687,31.250366,deceleration,532,750,28,3
4,31.250366,41.292114,post_motion,750,991,28,3
