segment_id,start_time,end_time,phase_label,start_idx,end_idx,pednyc_number,scenario_number
0,0.0,1.321991,low_motion,0,26,5,16
1,1.321991,1.930511,acceleration,26,38,5,16
2,1.930511,20.744446,crossing,38,454,5,16
3,20.744446,27.801239,deceleration,454,609,5,16
4,27.801239,31.810028,post_motion,609,687,5,16
