segment_id,start_time,end_time,phase_label,start_idx,end_idx,pednyc_number,scenario_number
0,0.0,0.440186,low_motion,0,10,6,15
1,0.440186,17.65918,acceleration,10,346,6,15
2,17.65918,17.700439,crossing,346,347,6,15
3,17.700439,20.304932,deceleration,347,398,6,15
