segment_id,start_time,end_time,phase_label,start_idx,end_idx,pednyc_number,scenario_number
0,0.0,3.08313,low_motion,0,56,6,21
1,3.08313,5.714539,acceleration,56,109,6,21
2,5.714539,22.830933,crossing,109,455,6,21
3,22.830933,35.357483,deceleration,455,715,6,21
4,35.357483,43.76532,post_motion,715,887,6,21
