segment_id,start_time,end_time,phase_label,start_idx,end_idx,pednyc_number,scenario_number
0,0.0,0.228027,low_motion,0,5,8,3
1,0.228027,1.799561,acceleration,5,39,8,3
2,1.799561,19.976318,crossing,39,433,8,3
3,19.976318,28.763428,deceleration,433,622,8,3
4,28.763428,38.261719,post_motion,622,835,8,3
