segment_id,start_time,end_time,phase_label,start_idx,end_idx,pednyc_number,scenario_number
0,0.0,0.579102,low_motion,0,10,3,7
1,0.579102,4.562866,acceleration,10,86,3,7
2,4.562866,18.124268,crossing,86,387,3,7
3,18.124268,22.060547,deceleration,387,470,3,7
4,22.060547,34.963867,post_motion,470,761,3,7
