segment_id,start_time,end_time,phase_label,start_idx,end_idx,pednyc_number,scenario_number
0,0.0,0.808594,low_motion,0,18,12,3
1,0.808594,1.913818,acceleration,18,43,12,3
2,1.913818,19.0,crossing,43,425,12,3
3,19.0,34.707031,deceleration,425,755,12,3
4,34.707031,35.649414,post_motion,755,775,12,3
