column,min,max,mean,std,num_nan,num_unique,first_value,last_value
GameTime,2824.725,2855.728,2839.990714506173,8.902955515568115,0,648,2824.725,2855.728
Frame Number,214971.0,216902.0,215936.17438271604,559.1362560693424,0,648,214971.0,216902.0
FrameRate,0.013679,0.020794,0.01601318364197531,0.0011035077450333977,0,599,0.014739,0.017066
FrameRate-XRDevice,0.0,0.0,0.0,0.0,0,1,0.0,0.0
dt,0.0405269999999999,0.0642089999999981,0.04791797527047909,0.0033091232125625133,1,243,,0.0500489999999977
car_x,5.614123344421387,84.69009399414062,33.60936235645671,26.168614312390407,0,533,84.68988800048828,5.614123344421387
car_z,57.708282470703125,87.50065612792969,61.293290927086346,7.895424047696153,0,497,58.00999450683594,87.50065612792969
car_yaw,268.3616027832031,359.0605773925781,287.9496696377978,32.06792529824651,0,520,270.00018310546875,357.81207275390625
A_velocity_raw,0.0,8.63221380433878,3.3109851663391474,2.847752551842286,0,547,0.0,0.0011465343431402
A_accel_raw,-0.423588,0.967769,0.25034280555555555,0.4331837295701505,0,486,0.0,0.0
A_steering,-0.063324,0.820801,0.05309600925925926,0.17500183686393872,0,251,-0.005096,0.014099
A_indicators,,,,,648,0,,
A_horn,,,,,648,0,,
ped_x,10.870512962341309,12.812995910644531,11.855062858557995,0.7020457759258352,0,647,12.73224639892578,10.917635917663574
ped_z,50.46234893798828,67.14242553710938,59.50236944504726,6.711256012518717,0,647,67.0030746459961,50.46234893798828
ped_yaw,110.75382232666016,345.2745361328125,192.3536201170933,53.96330201817554,0,648,222.1299743652344,184.54090881347656
ped_avatar_x,5.131245136260986,18.765146255493164,11.322498852823987,3.7165849173252545,0,648,15.014169692993164,6.087269306182861
ped_avatar_z,53.62761688232422,59.924278259277344,57.137699721771995,1.1103290909661276,0,647,58.04702758789063,55.55615997314453
ped_avatar_yaw,62.50164031982422,119.37022399902344,88.75257731661384,8.324439220418837,0,646,91.1807098388672,82.7431640625
car_speed_xz,0.0,8.62644774047434,3.315606071627235,2.846973497340267,1,580,,0.0013724757063346
ped_speed_xz,0.001112427873895,2.4679889440339524,0.5695596237145101,0.54591656468104,1,647,,0.0051807018449774
car_speed_xz_smooth,0.0,8.621514492306883,3.3104354413800543,2.8476297549187355,0,532,0.0005831152009854,0.0013724757063346
ped_speed_xz_smooth,0.0029855712468258,1.7365643207890753,0.5650814402556165,0.514431122363765,0,393,0.0241341383409496,0.0089897930851914
car_accel_xz,-5.242476554673932,2.764812684368168,-0.005066156794464993,1.5818051646374358,1,545,,0.0001911360684278
ped_accel_xz,-10.281195556128518,10.71903655522377,-0.004965281245052153,2.04719697960347,1,466,,-0.0728611840667785
car_ped_distance_xz,7.029136641969976,72.5200192497265,28.51968857615446,21.977257683945332,0,648,72.5174301478498,37.41608537929915
distance_change,-8.396212081464606,7.344505174991775,-1.1848117467531323,3.971009392298079,1,647,,0.0054503977177972
distance_closing,-7.344505174991775,8.396212081464606,1.1848117467531323,3.971009392298079,1,647,,-0.0054503977177972
avatar_vr_gap_xz,1.3472701825187612,9.377431816286483,6.4540392002245675,2.4747137852921766,0,648,9.242183336582697,7.019925388719402
ped_stopped,,,,,648,0,,
ped_walking,,,,,648,0,,
car_slowing,,,,,648,0,,
close_interaction,,,,,648,0,,
ped_possible_noise,,,,,648,0,,
car_possible_noise,,,,,648,0,,
