participant_id,recording_identifier,scenario,interaction_start_time,interaction_end_time,interaction_duration
PedNYC11,PedNYC11_scenario12,12,12.522461,28.700928,16.178467
PedNYC12,PedNYC12_scenario12,12,12.857666,29.254883,16.397216999999998
PedNYC13,PedNYC13_scenario12,12,11.797241,22.010895,10.213654000000002
PedNYC15,PedNYC15_scenario12,12,2.757446,38.799927,36.042480999999995
PedNYC16,PedNYC16_scenario12,12,7.632751,30.560303,22.927552000000002
PedNYC18,PedNYC18_scenario12,12,9.841797,27.425781,17.583984
PedNYC19,PedNYC19_scenario12,12,12.929077,24.929077,12.0
PedNYC1,PedNYC1_scenario12,12,11.594727,24.419922,12.825194999999999
PedNYC20,PedNYC20_scenario12,12,11.965576,27.25769,15.292114
PedNYC21,PedNYC21_scenario12,12,17.91626,45.291748,27.375487999999997
PedNYC22,PedNYC22_scenario12,12,12.512451,29.221191,16.70874
PedNYC23,PedNYC23_scenario12,12,1.63147,23.593994,21.962524
PedNYC24,PedNYC24_scenario12,12,12.714325,30.131653,17.417327999999998
PedNYC26,PedNYC26_scenario12,12,10.051758,40.427979,30.376221
PedNYC28,PedNYC28_scenario12,12,15.174316,32.549561,17.375245
PedNYC29,PedNYC29_scenario12,12,0.082275,37.303467,37.221191999999995
PedNYC2,PedNYC2_scenario12,12,13.473022,38.067383,24.594361
PedNYC30,PedNYC30_scenario12,12,3.929199,45.013428,41.084229
PedNYC31,PedNYC31_scenario12,12,6.966309,89.552734,82.586425
PedNYC3,PedNYC3_scenario12,12,17.359253,30.502991,13.143738000000003
PedNYC4,PedNYC4_scenario12,12,10.530273,22.925049,12.394776000000002
PedNYC5,PedNYC5_scenario12,12,11.874146,22.309082,10.434936
PedNYC7,PedNYC7_scenario12_CSV_Scenario_Ped_12_Session_temp_2024_03_01_15_26_15_decoded,12,5.332153,38.583801,33.251648
PedNYC7,PedNYC7_scenario12_CSV_Scenario_Ped_12_Session_temp_2024_03_01_15_27_41_decoded,12,15.121582,36.145813,21.024230999999997
PedNYC8,PedNYC8_scenario12,12,12.398193,31.053223,18.65503
PedNYC9,PedNYC9_scenario12,12,11.967285,29.978027,18.010742
