participant_id,recording_identifier,scenario,progress_percent,ped_x,ped_z,veh_x,veh_z,mean_x,mean_z,deviation_m
PedNYC11,PedNYC11_scenario12,12,0.0,-5.029054164886475,45.74057769775391,41.3818359375,58.21333312988281,49.71087803038519,58.21886866836355,8.3290439323634
PedNYC11,PedNYC11_scenario12,12,1.0,-5.00976250835083,45.792604695232576,40.5214361683467,58.216475693961996,48.81154167601853,58.22203667144088,8.290107372814978
PedNYC11,PedNYC11_scenario12,12,2.0,-4.973716332824236,45.868990552674724,39.64665287239969,58.21920571045069,47.899549641264926,58.226024529765546,8.252899585833035
PedNYC11,PedNYC11_scenario12,12,3.0,-4.922233319639629,45.965405011926265,38.75029444057502,58.22149763500637,46.97607816037263,58.23084442743293,8.225789030081922
PedNYC11,PedNYC11_scenario12,12,4.0,-4.857904856448793,46.07400299520906,37.83206593032162,58.22333139730981,46.03776523118833,58.235631171228775,8.20570851911539
PedNYC11,PedNYC11_scenario12,12,5.0,-4.814635453905859,46.178375318879276,36.887187555155556,58.2246766799144,45.082804449089096,58.24113517646439,8.195633419952209
PedNYC11,PedNYC11_scenario12,12,6.0,-4.802387611562389,46.28134364157988,35.917379954950356,58.2254779895091,44.109915970367936,58.24688368349451,8.192563980076638
PedNYC11,PedNYC11_scenario12,12,7.0,-4.808771488615975,46.39908977660511,34.92241720172978,58.22570831971963,43.12826137257003,58.25136525943814,8.205884281091748
PedNYC11,PedNYC11_scenario12,12,8.0,-4.828854215286493,46.53831384365054,33.90389431065152,58.22539017951864,42.13297447199011,58.25438884094464,8.229131255734156
PedNYC11,PedNYC11_scenario12,12,9.0,-4.8417764119539335,46.675032200101334,32.8680290061771,58.224670517173955,41.130803373103205,58.257312109930595,8.262838840998217
PedNYC11,PedNYC11_scenario12,12,10.0,-4.819804965012126,46.80305080117286,31.827613139166022,58.22365312310192,40.12522966015949,58.25923090649846,8.297692794273306
PedNYC11,PedNYC11_scenario12,12,11.0,-4.758454863278203,46.93113131843469,30.798883076082166,58.22275685603486,39.121588677301794,58.25954062733463,8.32278688723937
PedNYC11,PedNYC11_scenario12,12,12.0,-4.685049262936584,47.08640836487863,29.793451110522426,58.2220986102556,38.125927755410686,58.259449216380716,8.33256035714031
PedNYC11,PedNYC11_scenario12,12,13.0,-4.627828623721613,47.23960018974641,28.81754373387079,58.221844414558205,37.13569360768573,58.25963450963021,8.318235715254353
PedNYC11,PedNYC11_scenario12,12,14.0,-4.604802295297049,47.39843449276637,27.872512931836447,58.222572782924914,36.151444685682485,58.2599069510196,8.279015933367175
