participant_id,pednyc_number,scenario,recording_identifier,scenario_time,aligned_time,ped_x,ped_z,veh_x,veh_z,ped_speed,veh_speed,ped_acceleration,veh_acceleration,distance_m,closing_rate_mps,approach_state,ttc_seconds
PedNYC11,11,12,PedNYC11_scenario12,0.0,-12.522461,-5.03629207611084,45.53790283203125,84.6899185180664,58.0099983215332,0.0018273603850954,0.0001043287783847,0.0184641672934716,1.4368747688032436e-05,90.58888471269474,0.00017177309387653966,approximately steady,
PedNYC11,11,12,PedNYC11_scenario12,0.062134,-12.460327,-5.036249160766602,45.5376205444336,84.68991088867188,58.01000213623047,0.0030296759454169,0.0001023955292413,0.0195735734939794,-3.384065122069572e-06,90.58887403974532,0.00019928753272324684,approximately steady,
PedNYC11,11,12,PedNYC11_scenario12,0.104004,-12.418457,-5.036234855651856,45.53752517700195,84.68990325927734,58.0099983215332,0.0041486722095319,0.0001148202637243,0.0231019917697448,-3.835694419494667e-05,90.58886491926258,0.00011750332350857207,approximately steady,
PedNYC11,11,12,PedNYC11_scenario12,0.147583,-12.374878,-5.03622579574585,45.5374641418457,84.68990325927734,58.0099983215332,0.0049364532897106,0.0001004677307588,0.0252973945053349,-6.878027539461153e-06,90.58886434911385,0.00010292805427525309,approximately steady,
PedNYC11,11,12,PedNYC11_scenario12,0.189819,-12.332642,-5.036220550537109,45.53742980957031,84.68989562988281,58.0099983215332,0.0057966656055153,9.637632902243912e-05,0.0282404304653421,4.902454979702216e-05,90.58885632409662,-0.004379342885613369,approximately steady,
PedNYC11,11,12,PedNYC11_scenario12,0.230957,-12.291504,-5.036591529846191,45.53745651245117,84.68989562988281,58.00999450683594,0.0068771660889227,0.0001065290369781,0.029419182424072,6.693491979519115e-05,90.58921956859096,-0.009567711394083744,approximately steady,
PedNYC11,11,12,PedNYC11_scenario12,0.276001,-12.24646,-5.037077903747559,45.53750991821289,84.68988800048828,58.0099983215332,0.0080586706907596,0.0001015786589475,0.0339138785544428,6.520942091113726e-05,90.58968692600091,-0.010244315414183802,approximately steady,
PedNYC11,11,12,PedNYC11_scenario12,0.32019,-12.202271,-5.03753662109375,45.53756332397461,84.68988800048828,58.0099983215332,0.0101709455313874,8.90657880670182e-05,0.0343102893680156,9.963838209583996e-05,90.59013392191233,-0.011005926029042712,approximately steady,
PedNYC11,11,12,PedNYC11_scenario12,0.380127,-12.142334,-5.038290023803711,45.53766250610352,84.68988800048828,58.00999450683594,0.0127398822959582,0.000103747554351,0.0359457090186176,8.025894404568486e-05,90.59086596945373,-0.010546118807042149,approximately steady,
PedNYC11,11,12,PedNYC11_scenario12,0.421875,-12.100586,-5.038692474365234,45.537715911865234,84.68988800048828,58.0099983215332,0.0150246565743507,0.0001267986184437,0.0373811469189331,0.0001314205456186,90.59125776000009,-0.01205175267841696,approximately steady,
