k,silhouette,adjusted_rand_scenario,adjusted_rand_participant,leave_one_participant_out_silhouette_median,leave_one_participant_out_silhouette_iqr
2,0.1799322530247146,0.04001209200890926,0.020565796127464637,0.17682241108025676,0.006592492723990762
3,0.18888169073852235,0.03808601735523944,0.023813006268150597,0.18843924016607266,0.010679616863535163
4,0.2116864409341474,0.03837299986013544,0.024054428407529374,0.21060401317433003,0.015448079758793865
5,0.17270935476026297,0.04261527840366143,0.029882371278006418,0.16917570326982975,0.01840897393353419
6,0.16759708484335517,0.0480991204991727,0.029461669124888915,0.15208461720339952,0.04336612523468608
