scenario_number,median_pedestrian_speed,peak_pedestrian_speed,median_positive_acceleration,median_deceleration_magnitude,low_motion_proportion,stop_start_count,recording_duration,head_rotation_event_count,median_absolute_head_rotation_rate,minimum_pedestrian_vehicle_distance,vehicle_speed_at_movement_onset,vehicle_deceleration_around_movement_onset,median_closing_speed
3,0.4496369891252655,0.13086833783436289,0.08966180564897686,-0.01952188853247386,-0.36904996698724846,-0.4119741317793409,-0.004502170911471927,-0.23219494768352306,0.12826409187799487,-0.21979318311935503,0.21352870913461783,0.07070684232150391,-0.7358832591520101
7,1.4369192995640865,-0.030983442279811757,0.2527599640692199,0.31231800501955764,-0.7011489873512288,-0.4119741317793409,-0.3316586449382854,0.20671013635240465,-0.06799713603000052,-0.25124539241762245,0.33979576086552427,0.030802355520615488,0.5405471989113205
12,-0.3851436465559847,-0.0614368334858681,0.09367863610967304,0.031218850021478794,0.14284230619190533,0.044140085547786485,-0.6085968394468244,-0.23219494768352306,0.32177155156545884,0.43954890195934626,0.3518720487528696,-0.2554862725541065,1.0420872915489938
15,-0.646611223811514,0.11860512572657449,-0.4847021435703462,-0.342096637689161,0.33013236830116177,-0.1839170231157772,0.26017992748954677,-0.23219494768352306,-0.4119971807500311,-0.494267687674453,-0.5337331497679674,-0.03443049661751975,-0.28141390437867686
16,-0.7129184095690363,-0.21902255699987408,-0.19198553103349736,-0.10084818151337269,0.5541110515928714,-0.1839170231157772,-0.6481755857573668,-0.23219494768352306,-0.035211980458086135,-0.08146024830979114,0.21246585491811573,-0.1753414177052865,0.012303340475622496
21,-0.706786163782167,-0.01293087717429962,-0.24343993143523046,-0.3754609675682733,0.47652078208152027,-0.1839170231157772,0.34601525585155973,-0.23219494768352306,-0.5636794033058767,-0.3250704767024998,0.19155781765833843,0.09534439414600877,-0.8938440287211202
