recording_identifier,pednyc_number,scenario_number,median_pedestrian_speed,peak_pedestrian_speed,median_positive_acceleration,median_deceleration_magnitude,low_motion_proportion,stop_start_count,recording_duration,head_rotation_event_count,median_absolute_head_rotation_rate,minimum_pedestrian_vehicle_distance,vehicle_speed_at_movement_onset,vehicle_deceleration_around_movement_onset,median_closing_speed
PedNYC1_scenario3,1,3,0.3547162903075639,1.64105413059329,0.1680481152422299,0.1203261468769171,0.3605458258300102,3.0,31.00293,0.0,15.638108260693253,7.052963392445637,7.9912363508341,-1.392153848089945,0.015048226209373
PedNYC1_scenario7,1,7,0.1226887117983982,1.7241040266893024,0.0785435124944577,0.0933210778683594,0.4930154308872662,4.0,41.770508,3.0,10.967603415093253,5.129692678496163,0.001069321357744,0.0542819701949576,0.0906448099369817
PedNYC1_scenario12,1,12,0.1300378405426835,1.6169161040016955,0.1064566014315148,0.1062031551364082,0.492783048142889,6.0,27.435059,2.0,14.490961709657798,14.2760684307561,5.363083765450111,-1.1624776550318745,0.1089315811367731
PedNYC1_scenario15,1,15,0.0846407208696576,1.6615809185910058,0.0947983110495517,0.0879623003056417,0.556692735423006,6.0,45.156738,1.0,11.416985505893711,2.121148137502709,0.0123286204922548,0.0305555701649938,0.0382160005544167
PedNYC1_scenario16,1,16,0.0812551372028128,1.6836638580434582,0.0792735066152971,0.06751699662904,0.6503508721826513,7.0,32.949463,0.0,15.253439549026908,6.378167627433179,0.0007903238771118,-0.0001600860234996,0.0137881943018669
PedNYC1_scenario21,1,21,0.0612216808472765,1.3993939858930178,0.0618776560706904,0.0539111423322893,0.6121288695799403,3.0,45.867737,1.0,13.25018279644468,4.668972980175731,4.643119728962518,1.0925828107803448,0.0005681678909634
PedNYC2_scenario3,2,3,0.5764842243027493,1.6706438077794368,0.1662990476531049,0.1496072625177299,0.165892761414049,1.0,26.343018,4.0,40.9262630769161,4.7902679422619485,0.000607308734274,0.0003359710898634,0.0435142016032886
PedNYC2_scenario7,2,7,0.3594994284687682,1.4229867844702164,0.1800680918470744,0.1671880144853531,0.3148043343148751,7.0,50.100098,0.0,17.386994212292166,5.612869688210753,7.149483381898973,0.3740253824777715,0.0062704891607047
PedNYC2_scenario12,2,12,0.1383907094988023,1.4790107292165573,0.1043858249702113,0.1289771324525419,0.5022783465442575,8.0,38.57666,1.0,13.733215074998425,12.6058800490509,5.810057924988019,0.2522774144437413,0.0198812765411723
PedNYC2_scenario15,2,15,0.4449561101051312,1.6779430736567265,0.1436077653683138,0.1684776771490199,0.3399551318053939,7.0,33.268555,0.0,18.5423428031118,4.9220570696121575,7.063918465051958e-06,7.437302967860346e-05,0.0197459126548046
PedNYC2_scenario16,2,16,0.1498492922231866,1.564219632776703,0.0900000496085428,0.0966764210557914,0.5137093839827558,2.0,25.982422,1.0,19.225804958875635,7.502368308132276,5.160629651657828,0.4123161075042739,0.0535270682236767
PedNYC2_scenario21,2,21,0.6255260950538746,1.5273125474896347,0.1599851906631008,0.1252028007242594,0.2827310162860632,4.0,30.162354,2.0,24.372847360766706,5.740543764578511,5.902727086474134,0.3821676636416699,0.0070201882438259
PedNYC3_scenario3,3,3,0.4189980350339945,1.5086685383911511,0.1813216147375138,0.1647700647915091,0.2391956447261771,7.0,36.270142,4.0,15.743115333515949,2.8828249409005737,0.0005635211343499,0.0004448989412779,0.0148786099832832
PedNYC3_scenario7,3,7,0.6695356780791231,1.5125817960433072,0.1683575791415466,0.1577309655697693,0.2406781835659082,5.0,34.963867,2.0,16.50370333124705,1.995759130833353,5.002367880812694,0.4006398980251328,0.1023094131647886
PedNYC3_scenario12,3,12,0.2127500000787957,1.5028542632073736,0.1318294324279275,0.1120055936647877,0.3726741420210234,8.0,30.502991,1.0,36.2034668197623,13.294258192511304,4.657303951843033,0.1076655506325735,0.1421577112242565
PedNYC3_scenario15,3,15,0.3069840601086238,1.5266141329610492,0.1098043564989608,0.0864851771655073,0.3832860154171825,3.0,35.338623,1.0,15.272883913595695,3.896886568945405,5.601713910325407,0.2292085847416086,0.0641425773324107
PedNYC3_scenario16,3,16,0.1338604103637469,1.0563465901170233,0.1342474187671283,0.128100828268652,0.5178028809947707,12.0,30.402832,2.0,36.549012834483,7.110074171522477,2.27500481982476,0.3999180133579072,0.1084237144260353
PedNYC3_scenario21,3,21,0.3087830562802673,1.428675125452903,0.1561321517978023,0.124125032239046,0.322267346912338,10.0,42.534241,1.0,18.366868365887164,3.530301070601744,2.370424578367143,-0.5854578467806939,0.0015211611399181
PedNYC4_scenario3,4,3,0.530242349292863,1.6522181412920545,0.1053039441679911,0.1043271253926843,0.4271665542117571,4.0,42.399216,0.0,20.10855226815509,7.770971245287388,4.000734859009818,-0.8641471500789334,0.0084964104533723
PedNYC4_scenario7,4,7,0.8584518233574087,1.1166213313210838,0.1308701924307378,0.1229140778895878,0.1960281126357619,3.0,30.212891,2.0,21.911239603445445,5.06321396764289,0.0005069167588481,0.0833446220800222,0.0089251019290548
PedNYC4_scenario12,4,12,0.1823560492715834,1.4235574234332606,0.0995195570657334,0.0811251103942115,0.4601552957392634,3.0,25.36322,1.0,18.634459424800696,13.72976645309537,6.363228012745121,-0.1837377766080059,0.1470527461419016
PedNYC4_scenario15,4,15,0.2546106348231518,1.2898142628402047,0.0716210672256628,0.0619446286477814,0.4529924046127252,2.0,42.365845,0.0,10.7123844190023,3.510495752818572,2.070699312152501,0.9555621777996804,0.0566503900822203
PedNYC4_scenario16,4,16,0.1447476199709699,0.9890894296498604,0.094283021321877,0.0905096536543073,0.4837670640129172,4.0,26.846191,0.0,18.708253511452234,6.595568746246471,6.016584425257232,0.5894504051990672,0.0671500265248378
PedNYC4_scenario21,4,21,0.1424309161483301,1.270733386293348,0.083314673880946,0.0656694735437108,0.5119409511696115,5.0,48.844727,0.0,12.26892824932305,6.8648448758619685,3.110821511808299,1.396159765479081,0.0162745960556952
PedNYC5_scenario3,5,3,0.6288816878057717,1.2675685910874326,0.152148184885333,0.1246172261848268,0.2195240675621262,3.0,38.812988,0.0,16.880166051496815,3.119280601478684,4.041526312390749,1.6443410527237674,-0.0221352812042498
PedNYC5_scenario7,5,7,0.7432029209575173,1.3417873917052157,0.165520342750128,0.1451848912194168,0.2107308342055326,3.0,31.193176,0.0,15.417236120967114,9.257323931493437,12.691078976829298,0.1723860126355156,0.0036262878975629
PedNYC5_scenario12,5,12,0.096097721686097,1.0810712299492842,0.0614536328718349,0.0371905589955239,0.5743495617782295,2.0,26.340088,1.0,11.506918663154346,15.834000957674728,7.8415259847840115,-0.7886043549031136,0.0818572324871477
