recording_a,recording_b,category,euclidean_distance,cosine_similarity
PedNYC1_scenario3,PedNYC9_scenario3,same_scenario_different_participant,6.559133253170375,-0.48927635158043525
PedNYC1_scenario3,PedNYC9_scenario7,different_scenario_different_participant,5.149200898858073,-0.20178995801792432
PedNYC1_scenario3,PedNYC9_scenario12,different_scenario_different_participant,4.486634640250449,0.17342244244935834
PedNYC1_scenario3,PedNYC9_scenario15,different_scenario_different_participant,4.458440295862862,0.14370696050910992
PedNYC1_scenario3,PedNYC9_scenario16,different_scenario_different_participant,4.4824424642723315,0.2789520076449318
PedNYC1_scenario3,PedNYC9_scenario21,different_scenario_different_participant,3.1172038489156777,0.5674373925948115
PedNYC1_scenario3,PedNYC10_scenario3,same_scenario_different_participant,5.319584862558634,-0.40671096069068335
PedNYC1_scenario3,PedNYC10_scenario7,different_scenario_different_participant,4.890191249860921,-0.28143368400123814
PedNYC1_scenario3,PedNYC10_scenario16,different_scenario_different_participant,4.844806661652314,0.26168601763241006
PedNYC1_scenario3,PedNYC11_scenario3,same_scenario_different_participant,4.5826095310737855,-0.017399312057552185
PedNYC1_scenario3,PedNYC11_scenario7,different_scenario_different_participant,4.378796836762394,0.15337685307154492
PedNYC1_scenario3,PedNYC11_scenario12,different_scenario_different_participant,4.765547951833717,0.03019650161504228
PedNYC1_scenario3,PedNYC11_scenario15,different_scenario_different_participant,4.328252477369261,0.12516156794006794
PedNYC1_scenario3,PedNYC11_scenario16,different_scenario_different_participant,2.5110700429827526,0.6909970680120257
PedNYC1_scenario3,PedNYC11_scenario21,different_scenario_different_participant,3.237897593703495,0.37429082213690523
PedNYC1_scenario3,PedNYC12_scenario3,same_scenario_different_participant,3.412092317873702,0.40376767465281527
PedNYC1_scenario3,PedNYC12_scenario7,different_scenario_different_participant,4.4128438181662,0.043610284791559595
PedNYC1_scenario3,PedNYC12_scenario12,different_scenario_different_participant,4.400394039549384,0.03415330245293213
PedNYC1_scenario3,PedNYC12_scenario15,different_scenario_different_participant,4.135770124355322,-0.06190812075782315
PedNYC1_scenario3,PedNYC12_scenario16,different_scenario_different_participant,3.8762344223015575,0.12064310281829693
PedNYC1_scenario3,PedNYC12_scenario21,different_scenario_different_participant,4.046759013765453,-0.0595658759345532
