recording_identifier,pednyc_number,scenario_number,median_pedestrian_speed,peak_pedestrian_speed,median_positive_acceleration,median_deceleration_magnitude,low_motion_proportion,stop_start_count,recording_duration,head_rotation_event_count,median_absolute_head_rotation_rate,minimum_pedestrian_vehicle_distance,vehicle_speed_at_movement_onset,vehicle_deceleration_around_movement_onset,median_closing_speed
PedNYC1_scenario3,1,3,0.26158674541831617,0.43632485684040345,0.8790908256533772,0.10517746141799583,-0.4169975884970881,-0.6400312404429046,-0.6366337016218611,-0.6711000317194508,-0.3640546540256764,-0.11763895346100861,1.6631612603200114,-2.4940242125003484,-0.6729043456110106
PedNYC1_scenario7,1,7,-0.7968433141444611,0.6541624752230639,-0.8445322404046793,-0.46440060669492106,0.4059188126924072,-0.4119741317793409,0.19242333990513652,0.6456152203883324,-0.8643115392521338,-0.31672262686153096,-1.4519939451168398,-0.2919435998226726,1.15130242169907
PedNYC1_scenario12,1,12,-0.7633191148896681,0.37301146967985366,-0.30699961683198745,-0.19269796148814874,0.40447522439440653,0.044140085547786485,-0.911344372471886,0.20671013635240465,-0.48692530280787405,0.6300468891792621,0.638513943582028,-2.1443609329180586,1.5925770154705285
PedNYC1_scenario15,1,15,-0.9704051707293675,0.4901660634001174,-0.5315076040891515,-0.5774253936581524,0.8014895420182006,0.044140085547786485,0.4531484375761228,-0.23219494768352306,-0.81617830902282,-0.6281463356851865,-1.4476042416001238,-0.3280651095738416,-0.11384719435105559
PedNYC1_scenario16,1,16,-0.9858490397089842,0.5480890128960374,-0.8304744750368881,-1.0086480121380548,1.383304644516985,0.2721971942113502,-0.4867590603409088,-0.6711000317194508,-0.40525644653073456,-0.18748914081083018,-1.45210271886974,-0.3748271920273555,-0.7033099356437755
PedNYC1_scenario21,1,21,-1.0772347816103547,-0.19754312920327793,-1.1654727693355464,-1.2956162181038793,1.1458651744250825,-0.6400312404429046,0.5078922924586836,-0.23219494768352306,-0.6198248960849095,-0.36441314140238806,0.357818970909018,1.2887847825061876,-1.022319875691909
PedNYC2_scenario3,2,3,1.2732158332009385,0.5139377752176902,0.8454083875646228,0.7227608222899853,-1.6262047811995615,-1.096145457770032,-0.9954268170742082,1.08452030442426,2.344554796065348,-0.3518575264065599,-1.4521740716428149,-0.37407198551330995,0.014002686309513509
PedNYC2_scenario7,2,7,0.28340577762728464,-0.13565986029349855,1.1105639375778233,1.0935656789084942,-0.7011489873512288,0.2721971942113502,0.8337658258878585,-0.6711000317194508,-0.176731812558677,-0.2667074868716296,1.3349839977926181,0.1948396783004247,-0.8847182469315437
PedNYC2_scenario12,2,12,-0.7252161977987341,0.011289422843902344,-0.3468773210368879,0.28763993355149103,0.46346110863024514,0.5002543028749139,-0.05348917393659469,-0.23219494768352306,-0.5680874006488904,0.4571605472363045,0.8127773694457959,0.009488322470108664,-0.5562789283330782
PedNYC2_scenario15,2,15,0.6732297856851888,0.5330835510632419,0.4084340159256847,1.1207666302652903,-0.5449093446875561,0.2721971942113502,-0.4621903532932394,-0.6711000317194508,-0.05298264485602408,-0.3382156280524532,-1.4524080912516173,-0.3744702472331629,-0.5595453684998866
PedNYC2_scenario16,2,16,-0.6729460820073219,0.23479005907686176,-0.6239094900570301,-0.3936313044595618,0.534472026090787,-0.8680883491064683,-1.0231911530229676,-0.23219494768352306,0.020222856586647544,-0.07111966690907989,0.559582428869567,0.2531341855024197,0.2556212641396967
PedNYC2_scenario21,2,21,1.496927990668173,0.13798377829493177,0.7238201204848735,0.20803352434249495,-0.9003921226732386,-0.4119741317793409,-0.7013544263510988,0.20671013635240465,0.5715215887834989,-0.2534915501150634,0.8489066292875466,0.20723563757309502,-0.866627401109679
PedNYC3_scenario3,3,3,0.5548179696406882,0.08908104957359711,1.1347034890809096,1.0425674342834776,-1.170838850985173,0.2721971942113502,-0.23108110680290547,1.08452030442426,-0.352807366438229,-0.549302824543157,-1.452191143272148,-0.37390615173987307,-0.6769973224655402
PedNYC3_scenario7,3,7,1.6976845812512473,0.09934541794893983,0.8850502858218966,0.8941021022858746,-1.1616291494382571,-0.1839170231157772,-0.3316586449382854,0.20671013635240465,-0.2713409307393044,-0.6411257378414832,0.4978803421107895,0.23535810847325178,1.432778741089693
PedNYC3_scenario12,3,12,-0.3860146732932356,0.07383036392323523,0.1816143249543559,-0.07031568850484177,-0.3416550953411446,0.5002543028749139,-0.6751268472748542,-0.23219494768352306,1.8386969876982915,0.5284166883997629,0.363349024984021,-0.21067145070209642,2.3943504339031443
PedNYC3_scenario15,3,15,0.043848717994422366,0.13615185598433627,-0.24253066577677154,-0.6085801722019888,-0.2757329189953228,-0.6400312404429046,-0.30280405009304817,-0.23219494768352306,-0.4031737643419872,-0.4443341831026038,0.7315495378618571,-0.025632090065349885,0.5117820931048038
PedNYC3_scenario16,3,16,-0.7458818652774147,-1.097347116938846,0.22817837752497683,0.26915734259861823,0.5599012996811421,1.4124827375291686,-0.6828386580666872,0.20671013635240465,1.8757083555784564,-0.11172724087321857,-0.5654465201700297,0.23425909791903887,1.5803217805784644
PedNYC3_scenario21,3,21,0.05205512017014758,-0.12073949662700577,0.6496207334280781,0.18530174419091291,-0.6547878959440219,0.9563685202020413,0.2512274852288611,-0.23219494768352306,-0.07177767843479455,-0.48228057676226116,-0.528244875144555,-1.2658953163879252,-0.9993233770642989
PedNYC4_scenario3,4,3,1.0622762938777064,0.4656077532260398,-0.3291967618466135,-0.23226628833871216,-0.003141972177900768,-0.4119741317793409,0.24083114289150523,-0.6711000317194508,0.11477375289889538,-0.04331574984885569,0.10737006738238244,-1.6901770605177038,-0.8310049640639624
PedNYC4_scenario7,4,7,2.5594551008766437,-0.9392481103206526,0.16314188740049196,0.15976087115264131,-1.4390005182651704,-0.6400312404429046,-0.6974632954293959,0.20671013635240465,0.30785925033481204,-0.3236040429116006,-1.45221321182395,-0.24769808165997495,-0.8206602916929734
PedNYC4_scenario12,4,12,-0.5246614297259199,-0.13416308981563796,-0.4405888324930391,-0.7216321505392201,0.2017878790574259,-0.6400312404429046,-1.070867035029822,-0.23219494768352306,-0.04311605103649652,0.5734974893938686,1.0284437844295422,-0.6543092597734524,2.512471589419411
PedNYC4_scenario15,4,15,-0.19506084612111646,-0.48496776204399783,-0.9778403158836954,-1.1261777465954548,0.1572911766975505,-0.8680883491064683,0.23826171989472736,-0.6711000317194508,-0.8916479973558791,-0.48433068618707625,-0.6450998444843734,1.0801820393984303,0.3309895491851216
PedNYC4_scenario16,4,16,-0.696218157251473,-1.2737608193522636,-0.5414307279627446,-0.5236978287082484,0.34846689546331944,-0.4119741317793409,-0.9566846673766379,-0.6711000317194508,-0.035211980458086135,-0.16498528161887316,0.8932966001453396,0.5228067128714494,0.5843542769079076
PedNYC4_scenario21,4,21,-0.706786163782167,-0.5350163821989891,-0.7526522301574806,-1.04761509011154,0.5234863183451564,-0.1839170231157772,0.7371076760904954,-0.6711000317194508,-0.7249268838967439,-0.1371116803342977,-0.23958365532399079,1.7509559469277685,-0.6433110483669587
PedNYC5_scenario3,5,3,1.512235051402415,-0.5433175539371027,0.5729000167952667,0.19568286473853547,-1.2930409476741866,-0.6400312404429046,-0.035292937744017996,-0.6711000317194508,-0.23101808041329575,-0.5248265710637033,0.12327357826872098,2.1287917237816205,-1.5701724827620664
PedNYC5_scenario7,5,7,2.0337292220158982,-0.34864365877528,0.8304125807433148,0.6294862707688256,-1.3476655232173826,-0.6400312404429046,-0.6219855805752945,-0.6711000317194508,-0.3877122268803099,0.11054119321818663,3.4955058367340084,-0.11213982363743184,-0.9485249641204253
PedNYC5_scenario12,5,12,-0.9181422710582592,-1.032495059204756,-1.1736383400844683,-1.6482788071777263,0.9111757752819605,-0.8680883491064683,-0.9956524144306121,-0.23219494768352306,-0.8065455856626954,0.79131328195462,1.6047931405562679,-1.5751693134879026,0.9392510635317541
PedNYC5_scenario15,5,15,-0.727647129922908,-0.23559474629497462,-0.7000814769749297,-1.2717589243371843,0.6539573833116079,-0.4119741317793409,0.2050366189943494,-0.23219494768352306,0.2109446361292882,-0.508141911780194,-0.01905841761983991,1.2967644264228417,-0.04140789127441316
PedNYC5_scenario16,5,16,-1.023256084320606,-0.29349596271034883,-1.4076680599246898,-1.3541455809425036,1.2751722562303536,-0.8680883491064683,-0.5744906384276723,-0.23219494768352306,-0.5102527126156942,-0.08146024830979114,0.3150866514019659,0.0943943894958441,0.8052886031504336
PedNYC5_scenario21,5,21,-1.0373995241301364,-0.08665106513858932,-1.3881297747238586,-1.582965961449824,0.6175457938840779,-1.3242025664335957,0.21875902092281171,0.20671013635240465,-1.2821163903319386,-0.4732378998493268,0.6875657747794757,0.1982601772115647,-1.0406235540773936
PedNYC6_scenario7,6,7,2.0053722611254723,-0.9151923271959369,-0.2583325232641004,0.5752820315337739,-0.813101152322208,-0.6400312404429046,-0.21738696229075757,1.08452030442426,-0.9710692184574213,-0.20015823372494412,2.1066419297903414,-1.2009250102167104,-0.984818471381727
PedNYC6_scenario15_CSV_Scenario_Ped_15_Session_temp_2024_03_01_11_47_13_decoded,6,15,-0.9803745867582623,-2.969609300608351,-0.5286095008159588,-0.8156401918876736,2.4949531692650266,0.9563685202020413,-1.4603333834018988,-0.23219494768352306,-0.3484222784487899,6.426653367946639,-1.4523951139191733,-0.3745884064449381,-1.0211558238672558
PedNYC6_scenario15_CSV_Scenario_Ped_15_Session_temp_2024_03_01_11_48_06_decoded,6,15,-1.2828040562764769,-3.184844984779165,-1.996287313032726,-2.1081429207646045,3.302916983857706,2.5527682808469874,4.400455564885723,-0.6711000317194508,-1.7447724918037406,6.434771874834778,-1.4523962325126365,-0.3747078473171226,-1.036013655744723
