feature,mean,scale
dt,0.04791787345679008,0.0033040136094631503
car_x,33.60936235645671,26.148414684283935
car_z,61.293290927086346,7.889329547330084
A_velocity_raw,3.3109851663391474,2.8455543635163862
A_accel_raw,0.25034280555555555,0.43284935381243417
A_steering,0.05309600925925926,0.17486675244638408
ped_x,11.855062858557995,0.7015038647868604
ped_z,59.50236944504726,6.706075574840135
ped_avatar_x,11.322498852823987,3.7137160748156783
ped_avatar_z,57.137699721771995,1.1094720247705097
car_speed_xz,3.3104897435512934,2.8455541224635765
ped_speed_xz,0.5687290972731638,0.5454826757618637
car_speed_xz_smooth,3.3104354413800543,2.845431661380132
ped_speed_xz_smooth,0.5650814402556165,0.5140340315115671
car_accel_xz,0.0028786966543406585,1.4696037207524137
ped_accel_xz,-0.0008650070628933983,0.17247943675952945
car_ped_distance_xz,28.51968857615446,21.960293375987856
distance_change,-1.1829432636711716,3.9651613997827613
distance_closing,1.1829432636711716,3.9651613997827613
avatar_vr_gap_xz,6.4540392002245675,2.472803546655307
car_accel_xz_raw_unsmoothed,-0.005046804992963346,1.5793622975474466
ped_accel_xz_raw_unsmoothed,-0.005191246513703476,2.0440433646014213
car_yaw_sin,-0.8282974981626988,0.34706735430702157
ped_yaw_sin,-0.03950530842781563,0.5324953944967469
ped_avatar_yaw_sin,0.9893116963383507,0.01991106456649886
car_yaw_cos,0.22463877565826654,0.3781599219675363
ped_yaw_cos,-0.6739278981700257,0.510596879655476
ped_avatar_yaw_cos,0.0215298462302302,0.14283690950614378
