macro_segment_id,boundary_idx,boundary_time_sec,change_score,boundary_source
0,0,0.0,2.6126421594640727,macro_start|pause_speed_run
0,47,2.187743999999999,0.0,pause_speed_run
0,59,2.732909999999999,0.8222355335738302,pause_speed_run
0,64,2.952392999999999,0.6495888869002382,pause_speed_run
0,94,4.323729999999999,0.0,long_segment_split
0,123,5.711669999999999,0.6735925429282706,pause_speed_run
0,137,6.390380999999999,0.23141269301444656,pause_speed_run
0,166,7.828856999999999,0.3245494474411347,macro_end|pause_speed_run
1,166,7.828856999999999,0.0,macro_start|pause_speed_run
1,176,8.332030999999999,1.5060277432438045,pause_speed_run
1,228,10.790770999999998,2.1882714819380813,macro_end
2,228,10.790770999999998,0.030876081796565303,macro_start
2,252,11.878417999999998,0.9908459401935524,hesitation_speed_dip
2,270,12.702880999999998,0.0,hesitation_speed_dip
2,274,12.886474999999999,0.03569017253034759,hesitation_speed_dip
2,281,13.212401999999999,0.0,hesitation_speed_dip
2,297,13.920653999999999,1.5144447989826935,hesitation_speed_dip
2,311,14.592528999999999,0.0,hesitation_speed_dip
2,347,16.312987999999997,0.6821896207566324,hesitation_speed_dip
2,357,16.763915999999995,0.1922452398597978,hesitation_speed_dip
2,375,17.581542999999996,0.5849812348761221,hesitation_speed_dip
2,406,19.019286999999995,0.0,long_segment_split
2,436,20.499022999999998,0.0,macro_end
3,436,20.499022999999998,0.0,macro_start
3,464,21.894286999999995,0.0,long_segment_split
3,492,23.311522999999998,0.0,hesitation_speed_dip
3,511,24.150878999999996,0.6648315949010781,hesitation_speed_dip
3,521,24.573241999999997,0.0,hesitation_speed_dip
3,525,24.754394999999995,0.0,hesitation_speed_dip
3,539,25.379882999999996,1.3534031402315583,hesitation_speed_dip
3,550,25.933349999999997,0.5973378051785257,hesitation_speed_dip
3,560,26.459960999999996,0.06663003720910463,hesitation_speed_dip
3,580,27.511962999999998,0.0,pause_speed_run
3,596,28.346190999999997,2.270666887692747,macro_end|pause_speed_run
4,596,28.346190999999997,0.9077258132325907,macro_start|pause_speed_run
4,621,29.657958999999998,0.0,long_segment_split
4,647,31.002929999999996,0.010882036490931729,macro_end|pause_speed_run
