participant_id,recording_identifier,scenario,interaction_start_time,interaction_end_time,interaction_duration
PedNYC10,PedNYC10_scenario3,3,10.651245,34.785156,24.133911
PedNYC11,PedNYC11_scenario3,3,6.907471,37.236572,30.329101
PedNYC12,PedNYC12_scenario3,3,10.535156,34.615723,24.080567000000002
PedNYC13,PedNYC13_scenario3,3,10.812744,35.680054,24.867309999999996
PedNYC15,PedNYC15_scenario3,3,8.924561,28.925049,20.000488
PedNYC16,PedNYC16_scenario3,3,10.845215,56.929688,46.084473
PedNYC17,PedNYC17_scenario3,3,0.466797,37.009521,36.542724
PedNYC19,PedNYC19_scenario3,3,8.133057,35.467041,27.333984
PedNYC1,PedNYC1_scenario3,3,8.679199,27.247559,18.56836
PedNYC21,PedNYC21_scenario3,3,5.762207,40.054932,34.292725000000004
PedNYC22,PedNYC22_scenario3,3,10.759033,35.42627,24.667237
PedNYC23,PedNYC23_scenario3,3,8.842529,36.302124,27.459595
PedNYC24,PedNYC24_scenario3,3,11.464478,36.71521,25.250732
PedNYC25,PedNYC25_scenario3,3,5.382324,50.508789,45.126465
PedNYC26,PedNYC26_scenario3,3,1.677734,41.053345,39.375611
PedNYC28,PedNYC28_scenario3,3,13.333374,31.166992,17.833618
PedNYC29,PedNYC29_scenario3,3,3.298584,48.133545,44.834961
PedNYC2,PedNYC2_scenario3,3,1.2146,26.343018,25.128418
PedNYC30,PedNYC30_scenario3,3,9.25769,43.134033,33.876343000000006
PedNYC31,PedNYC31_scenario3,3,6.800049,78.677734,71.877685
PedNYC3,PedNYC3_scenario3,3,0.583374,35.53772,34.954346
PedNYC4,PedNYC4_scenario3,3,12.834869,35.863953,23.029084000000005
PedNYC5,PedNYC5_scenario3,3,5.0448,37.285278,32.240477999999996
PedNYC7,PedNYC7_scenario3,3,14.022461,39.373291,25.350830000000002
PedNYC8,PedNYC8_scenario3,3,1.658936,33.562012,31.903076000000002
PedNYC9,PedNYC9_scenario3,3,2.888672,34.61084,31.722168000000003
