participant_id,recording_identifier,scenario,progress_percent,ped_x,ped_z,veh_x,veh_z
PedNYC11,PedNYC11_scenario21,21,0.0,-1.7104909420013428,70.16130828857422,3.0949296951293945,95.4394073486328
PedNYC11,PedNYC11_scenario21,21,1.0,-1.7061027295296474,70.0294919394076,3.0368771029424226,94.4180883782585
PedNYC11,PedNYC11_scenario21,21,2.0,-1.754396517259366,69.81245062567388,2.989586569029644,93.44428694262751
PedNYC11,PedNYC11_scenario21,21,3.0,-1.7921763842614367,69.59763871457689,2.9469272184965773,92.48505339603005
PedNYC11,PedNYC11_scenario21,21,4.0,-1.7628501490672002,69.38136339411304,2.904215144830751,91.49031910046405
PedNYC11,PedNYC11_scenario21,21,5.0,-1.6964631450758751,69.14210818685676,2.860647344361373,90.42097090750762
PedNYC11,PedNYC11_scenario21,21,6.0,-1.6781873718151314,68.92343887693796,2.8156774884598375,89.25300231404752
PedNYC11,PedNYC11_scenario21,21,7.0,-1.705602471464703,68.63539051459517,2.772046406228727,87.96910498244117
PedNYC11,PedNYC11_scenario21,21,8.0,-1.7235972318580846,68.39405935133992,2.7316245745627348,86.56022787985982
PedNYC11,PedNYC11_scenario21,21,9.0,-1.690869456874273,68.16278572287143,2.6963465458869478,85.03869481466421
PedNYC11,PedNYC11_scenario21,21,10.0,-1.611717682918562,67.88244834422804,2.669144414185366,83.47096457252321
PedNYC11,PedNYC11_scenario21,21,11.0,-1.5946585560193098,67.59822496078895,2.6511161364765576,81.92031915422845
PedNYC11,PedNYC11_scenario21,21,12.0,-1.6293475095772583,67.33613503130798,2.6410920706216388,80.4220691167069
PedNYC11,PedNYC11_scenario21,21,13.0,-1.6616065478182476,67.05390683667707,2.636700304401648,78.99353382079128
PedNYC11,PedNYC11_scenario21,21,14.0,-1.6132077012682895,66.74745737852119,2.634361793299814,77.6387886117562
PedNYC11,PedNYC11_scenario21,21,15.0,-1.5386704712808328,66.44815154609742,2.630779971969719,76.35600422721842
PedNYC11,PedNYC11_scenario21,21,16.0,-1.5343564761641701,66.1378252797876,2.6244033497229595,75.14312185046228
PedNYC11,PedNYC11_scenario21,21,17.0,-1.5788274792413028,65.82231864051579,2.6143614081001028,73.99708200539523
PedNYC11,PedNYC11_scenario21,21,18.0,-1.5830474523998255,65.52667754302446,2.6003328566043966,72.91220575580009
PedNYC11,PedNYC11_scenario21,21,19.0,-1.537151797771472,65.20166727705873,2.5826105539546544,71.88730146444468
PedNYC11,PedNYC11_scenario21,21,20.0,-1.5414951798550454,64.90068231863442,2.5614138481213637,70.91837462034827
PedNYC11,PedNYC11_scenario21,21,21.0,-1.6031837780321736,64.58877672718727,2.5375393720875974,70.00209468366026
PedNYC11,PedNYC11_scenario21,21,22.0,-1.6580675656015478,64.29733056218666,2.5115475103647413,69.13602922951829
PedNYC11,PedNYC11_scenario21,21,23.0,-1.6455657122164684,63.98577322224762,2.48393712218011,68.31672330259833
PedNYC11,PedNYC11_scenario21,21,24.0,-1.621924243939973,63.65030750810618,2.455008570543383,67.5426607402753
PedNYC11,PedNYC11_scenario21,21,25.0,-1.6571417436691236,63.359629302579826,2.4225870444820243,66.81076421792429
PedNYC11,PedNYC11_scenario21,21,26.0,-1.728325673504833,63.03662034621026,2.385335370673179,66.11022433648904
