participant_id,recording_identifier,scenario,original_interaction_duration,data_quality_flags,pedestrian_mean_path_deviation,pedestrian_median_path_deviation,pedestrian_maximum_path_deviation,pedestrian_progress_at_maximum_deviation,pedestrian_path_length,vehicle_mean_path_deviation,vehicle_median_path_deviation,vehicle_maximum_path_deviation,vehicle_progress_at_maximum_deviation,vehicle_path_length
PedNYC11,PedNYC11_scenario21,21,26.031982,,2.3431442438793098,2.383119868236079,4.421153585869915,69.0,20.459987520695368,6.110848377886437,5.3121359198977665,10.655641057824782,100.0,66.84914613046439
PedNYC12,PedNYC12_scenario21,21,25.193359,,1.7744585172280511,1.651417394058773,3.5303982224822055,66.0,19.037779154628332,7.036352764100112,6.241229451713471,13.706183430978475,100.0,68.48307743233039
PedNYC13,PedNYC13_scenario21,21,30.039917,,3.2721813258598864,2.8474162073121456,6.934325641931316,35.0,20.43593054741889,20.79154101357483,20.12389681184528,32.402701664895226,19.0,73.67698194436305
PedNYC16,PedNYC16_scenario21_CSV_Scenario_Ped_21_Session_temp_2024_03_14_17_39_35_decoded,21,19.833527,,2.171004749052805,2.476331219913769,3.3552664733701127,75.0,19.272452209099008,15.167562965631186,17.733640642285383,25.20482725329945,99.0,50.052053186728344
PedNYC16,PedNYC16_scenario21_CSV_Scenario_Ped_21_Session_temp_2024_03_14_17_40_50_decoded,21,28.708618,,4.120428650682394,4.430039785060927,8.511390337699913,41.0,19.59270109496949,21.982774051526544,18.634775692732667,35.919268279052396,25.0,68.25791666352823
PedNYC17,PedNYC17_scenario21,21,35.59497,,4.285429863179917,3.9641203012943684,9.063267612093268,40.0,20.55781791232749,7.226617047008,6.465181846570291,15.481743669306253,88.0,71.14807283613165
PedNYC18,PedNYC18_scenario21,21,16.333985,,1.1339564786440524,1.4583252512273635,1.8239121000284055,60.0,17.982324015130118,10.205340630952877,10.048695974466135,16.152102845437877,89.0,38.28669496537454
PedNYC19,PedNYC19_scenario21,21,31.460022000000002,robust_outlier:pedestrian_path_length,5.7289413120856585,6.077629449385688,8.20501619533847,44.0,15.90938901513336,17.187427134822773,14.761957559230957,34.72066604594952,20.0,95.61400985572521
PedNYC1,PedNYC1_scenario21,21,24.519377999999996,,1.0804684430929266,0.7688182895714518,2.63953279064388,63.0,17.28141214301006,4.9225929824671395,4.245260979525851,9.2700851432058,86.0,57.73665669689764
PedNYC20,PedNYC20_scenario21,21,31.168152,,2.2441198276937215,2.115010113755925,4.783841878738749,67.0,20.058248910395267,8.83280689573866,8.859059572454052,16.115793404973548,86.0,65.54101736386069
