participant_id,recording_identifier,scenario,interaction_start_time,interaction_end_time,interaction_duration
PedNYC11,PedNYC11_scenario21,21,10.929688,36.96167,26.031982
PedNYC12,PedNYC12_scenario21,21,14.041016,39.234375,25.193359
PedNYC13,PedNYC13_scenario21,21,0.460815,30.500732,30.039917
PedNYC16,PedNYC16_scenario21_CSV_Scenario_Ped_21_Session_temp_2024_03_14_17_39_35_decoded,21,15.668243,35.50177,19.833527
PedNYC16,PedNYC16_scenario21_CSV_Scenario_Ped_21_Session_temp_2024_03_14_17_40_50_decoded,21,2.007385,30.716003,28.708618
PedNYC17,PedNYC17_scenario21,21,14.674561,50.269531,35.59497
PedNYC18,PedNYC18_scenario21,21,11.799072,28.133057,16.333985
PedNYC19,PedNYC19_scenario21,21,0.802917,32.262939,31.460022000000002
PedNYC1,PedNYC1_scenario21,21,11.938721,36.458099,24.519377999999996
PedNYC20,PedNYC20_scenario21,21,13.174194,44.342346,31.168152
PedNYC22,PedNYC22_scenario21,21,18.176453,48.843872,30.667419
PedNYC23,PedNYC23_scenario21,21,12.007935,46.383911,34.375975999999994
PedNYC24,PedNYC24_scenario21,21,13.550232,45.13446,31.584227999999996
PedNYC25,PedNYC25_scenario21,21,14.881958,42.216553,27.334595
PedNYC26,PedNYC26_scenario21,21,10.505127,29.005615,18.500487999999997
PedNYC27,PedNYC27_scenario21,21,24.007324,52.841064,28.833740000000002
PedNYC28,PedNYC28_scenario21,21,14.59082,33.132813,18.541992999999998
PedNYC29,PedNYC29_scenario21,21,16.049805,54.217896,38.168091000000004
PedNYC2,PedNYC2_scenario21,21,12.003174,30.162354,18.15918
PedNYC30,PedNYC30_scenario21,21,9.591309,53.575439,43.98413
PedNYC3,PedNYC3_scenario21,21,6.772949,42.534241,35.761292000000005
PedNYC4,PedNYC4_scenario21,21,12.880127,42.164551,29.284424
PedNYC5,PedNYC5_scenario21,21,14.436768,33.961914,19.525146
PedNYC6,PedNYC6_scenario21_CSV_Scenario_Ped_21_Session_temp_2024_03_01_11_17_48_decoded,21,0.0,8.589111,8.589111
PedNYC6,PedNYC6_scenario21_CSV_Scenario_Ped_21_Session_temp_2024_03_01_11_18_30_decoded,21,14.926147,35.31189,20.385742999999998
PedNYC7,PedNYC7_scenario21,21,16.11792,47.068115,30.950194999999997
PedNYC9,PedNYC9_scenario21,21,9.373291,29.541748,20.168456999999997
