participant_id,recording_identifier,scenario,interaction_start_time,interaction_end_time,interaction_duration
PedNYC10,PedNYC10_scenario7,7,4.890869,32.924438,28.033569
PedNYC11,PedNYC11_scenario7,7,11.836548,37.765991,25.929443
PedNYC12,PedNYC12_scenario7,7,9.39917,32.192871,22.793701
PedNYC13,PedNYC13_scenario7,7,9.108765,31.925171,22.816406
PedNYC17,PedNYC17_scenario7,7,0.508545,31.260254,30.751708999999998
PedNYC18,PedNYC18_scenario7,7,7.383301,25.342773,17.959472
PedNYC19,PedNYC19_scenario7,7,3.549316,29.174561,25.625245
PedNYC1,PedNYC1_scenario7,7,1.489258,29.75415,28.264892
PedNYC21,PedNYC21_scenario7,7,13.875488,40.084473,26.208985000000002
PedNYC22,PedNYC22_scenario7,7,9.757813,48.509766,38.751953
PedNYC23,PedNYC23_scenario7,7,0.845154,29.595886,28.750732
PedNYC25,PedNYC25_scenario7,7,11.883057,30.758789,18.875732
PedNYC26,PedNYC26_scenario7,7,2.458252,33.875732,31.417479999999998
PedNYC28,PedNYC28_scenario7,7,11.17627,30.76123,19.584960000000002
PedNYC29,PedNYC29_scenario7,7,2.342041,35.42627,33.084229
PedNYC2,PedNYC2_scenario7,7,8.811279,50.100098,41.288819000000004
PedNYC3,PedNYC3_scenario7,7,11.08374,34.056519,22.972779000000003
PedNYC4,PedNYC4_scenario7,7,0.040833,28.807709,28.766876
PedNYC5,PedNYC5_scenario7,7,7.598633,30.31311,22.714477000000002
PedNYC6,PedNYC6_scenario7,7,8.146484,34.585571,26.439087
PedNYC7,PedNYC7_scenario7,7,11.348755,39.968872,28.620116999999997
PedNYC8,PedNYC8_scenario7,7,0.532227,32.62207,32.089843
PedNYC9,PedNYC9_scenario7,7,8.835815,27.698242,18.862427
