segment_id,ScenarioTime_start,ScenarioTime_end,duration_sec,start_speed,end_speed,mean_speed,median_speed,speed_std,min_speed,max_speed,speed_range,net_change,net_slope,total_abs_speed_change,hesitation_ratio,stopped_fraction,n_local_peaks,n_local_troughs,n_slope_sign_flips,start_kink_reason,end_kink_reason,behavior_label
0,214971.0,215126.0,155.0,0.014175804585464,0.2190835277009571,0.042733827747960085,0.0186817115745468,0.051918469519219114,0.0034616818422936,0.2190835277009571,0.2156218458586635,0.2049077231154931,0.0008320426460371197,0.3460495116586161,1.357548164603191,0.9245283018867925,0,0,0,start,sharp_slope_curvature_change,near_stopped
1,215126.0,215513.0,387.0,0.2190835277009571,0.2829403017843102,0.10680623116724794,0.118097083771463,0.06726613021699165,0.0061360604098043,0.2829403017843102,0.2768042413745059,0.06385677408335308,-0.00034310743216119555,1.145465201131569,10.060580148643492,0.7938931297709924,0,0,0,sharp_slope_curvature_change,sharp_slope_curvature_change,near_stopped
2,215513.0,215516.0,3.0,0.2829403017843102,0.3158084685734917,0.2993743851789009,0.2993743851789009,0.016434083394590765,0.2829403017843102,0.3158084685734917,0.03286816678918153,0.03286816678918153,0.010956055596393817,0.03286816678918153,0.39663200071504995,0.0,0,0,0,sharp_slope_curvature_change,stopped_to_moving_crossing,uncertain_low_speed_motion
3,215516.0,215552.0,36.0,0.3158084685734917,0.613259260783372,0.4470355393348642,0.4340454314768258,0.09060097110306371,0.3158084685734917,0.613259260783372,0.2974507922098803,0.2974507922098803,0.008000506526127552,0.2974507922098803,0.8560947301861465,0.0,0,0,0,stopped_to_moving_crossing,sharp_slope_curvature_change,steady_walking
4,215552.0,215707.0,155.0,0.613259260783372,0.8383673784798854,0.8665167672481671,0.8514861290342589,0.12231925770490802,0.613259260783372,1.059142029927295,0.4458827691439229,0.2251081176965134,0.0019127103549044786,0.9459200733897096,3.438357549424278,0.0,0,0,0,sharp_slope_curvature_change,sharp_slope_curvature_change,steady_walking
5,215707.0,215713.0,6.0,0.8383673784798854,0.9784160564081734,0.9078786820354319,0.9068526112182368,0.057179236693965296,0.8383673784798854,0.9784160564081734,0.140048677928288,0.140048677928288,0.023341446321381285,0.140048677928288,0.7369095089476669,0.0,0,0,0,sharp_slope_curvature_change,sharp_slope_curvature_change,steady_walking
6,215713.0,215734.0,21.0,0.9784160564081734,1.0312368903860758,1.005189352693384,0.9924554720934223,0.031532608629364946,0.962605889207372,1.0574389945419724,0.09483310533460043,0.05282083397790238,0.0028015900591883843,0.24343998959182178,2.3676134512207945,0.0,0,0,0,sharp_slope_curvature_change,sharp_slope_curvature_change,steady_walking
7,215734.0,215740.0,6.0,1.0312368903860758,0.951191883934561,0.969774941418667,0.951191883934561,0.04457764959845096,0.926896049935364,1.0312368903860758,0.10434084045071179,-0.0800450064515148,-0.013340834408585852,0.12863667444990878,0.9891704261468042,0.0,0,0,0,sharp_slope_curvature_change,sharp_slope_curvature_change,steady_walking
8,215740.0,215824.0,84.0,0.951191883934561,0.9768414390857691,0.853343319813539,0.8677620626560267,0.0722405046789019,0.720602286588308,0.9768414390857691,0.2562391524974611,0.025649555151208148,-0.001432766157230703,1.1068178061957266,14.630856770848444,0.0,0,0,0,sharp_slope_curvature_change,sharp_slope_curvature_change,steady_walking
9,215824.0,215833.0,9.0,0.9768414390857691,0.914164032557632,0.9258703198435928,0.9299199851942592,0.04067146640830907,0.8667998699000835,0.9768414390857691,0.11004156918568564,-0.06267740652813714,-0.008896942917173788,0.15740573184323414,1.396959130435148,0.0,0,0,0,sharp_slope_curvature_change,sharp_slope_curvature_change,steady_walking
10,215833.0,215839.0,6.0,0.914164032557632,1.192638366707429,1.081431756512545,1.1374928702725746,0.1203996817605274,0.914164032557632,1.192638366707429,0.27847433414979694,0.27847433414979694,0.04641238902496612,0.27847433414979694,0.847781105548423,0.0,0,0,0,sharp_slope_curvature_change,sharp_slope_curvature_change,steady_walking
11,215839.0,215860.0,21.0,1.192638366707429,1.4152083072375428,1.3320021253768188,1.350205717300009,0.10647032924096415,1.1731050152797011,1.482505809694741,0.30940079441503987,0.2225699405301138,0.014396175501698283,0.4027934112741689,1.4777616728051048,0.0,0,0,0,sharp_slope_curvature_change,sharp_slope_curvature_change,steady_walking
12,215860.0,215869.0,9.0,1.4152083072375428,1.2553170058686258,1.3273062591345979,1.3193498617161112,0.06037802383797632,1.2553170058686258,1.4152083072375428,0.15989130136891694,-0.15989130136891694,-0.017842770329755762,0.15989130136891694,0.7617814570022741,0.0,0,0,0,sharp_slope_curvature_change,sharp_slope_curvature_change,steady_walking
13,215869.0,215890.0,21.0,1.2553170058686258,1.324097575135288,1.2550088476291699,1.247264930634485,0.03386896434506688,1.2160878160813595,1.324097575135288,0.1080097590539284,0.0687805692666621,0.0033056858434528714,0.2016864231289648,1.6979748823747363,0.0,0,0,0,sharp_slope_curvature_change,sharp_slope_curvature_change,steady_walking
14,215890.0,215898.0,8.0,1.324097575135288,1.5007141209535488,1.3981363291573579,1.3838668102702973,0.07182667078480709,1.324097575135288,1.5007141209535488,0.17661654581826092,0.17661654581826092,0.023482093922005193,0.17661654581826092,0.7793629771406967,0.0,0,0,0,sharp_slope_curvature_change,sharp_slope_curvature_change,steady_walking
15,215898.0,215970.0,72.0,1.5007141209535488,1.3728023414734951,1.4238464130301458,1.428397751405405,0.03358500019064531,1.3728023414734951,1.5007141209535488,0.12791177948005372,-0.12791177948005372,-0.000576068166925551,0.6933444870892769,3.897125244408058,0.0,0,0,0,sharp_slope_curvature_change,sharp_slope_curvature_change,steady_walking
16,215970.0,215976.0,6.0,1.3728023414734951,1.246691797607251,1.3114942144551975,1.3149885042848466,0.05154366992897167,1.246691797607251,1.3728023414734951,0.1261105438662442,-0.1261105438662442,-0.02101842397770742,0.1261105438662442,0.7160874136078136,0.0,0,0,0,sharp_slope_curvature_change,sharp_slope_curvature_change,steady_walking
17,215976.0,215997.0,21.0,1.246691797607251,1.4524975822019626,1.3419295899252057,1.328004235917005,0.07122858347556753,1.246691797607251,1.4524975822019626,0.20580578459471166,0.20580578459471166,0.010149810886160942,0.20580578459471166,0.8045392129063149,0.0,0,0,0,sharp_slope_curvature_change,sharp_slope_curvature_change,steady_walking
18,215997.0,216003.0,6.0,1.4524975822019626,1.5835343474044796,1.495677797260888,1.4524975822019626,0.06212696487104968,1.451001462176221,1.5835343474044796,0.13253288522825857,0.13103676520251706,0.021839460867086095,0.13402900525400008,0.7403413616238024,0.0,0,0,0,sharp_slope_curvature_change,sharp_slope_curvature_change,steady_walking
19,216003.0,216015.0,12.0,1.5835343474044796,1.4862295607687417,1.5450491166002867,1.5437569659330708,0.06275611916431366,1.4706705783018508,1.64105413059329,0.1703835522914392,-0.09730478663573794,-0.012166437518763897,0.24346231794714046,1.6527794072923463,0.0,0,0,0,sharp_slope_curvature_change,sharp_slope_curvature_change,steady_walking
20,216015.0,216033.0,18.0,1.4862295607687417,1.3090126751920237,1.4016996064016265,1.4236970716380957,0.05650957196419929,1.3090126751920237,1.4862295607687417,0.177216885576718,-0.177216885576718,-0.008565695043962962,0.28991505384722704,1.275939739739719,0.0,0,0,0,sharp_slope_curvature_change,sharp_slope_curvature_change,steady_walking
21,216033.0,216084.0,51.0,1.3090126751920237,1.225061938282452,1.3265798863839293,1.3316522131721453,0.040135185784006384,1.225061938282452,1.382743836681666,0.1576818983992141,-0.08395073690957178,9.606713691118936e-05,0.7207891681836318,5.381001887807652,0.0,0,0,0,sharp_slope_curvature_change,sharp_slope_curvature_change,steady_walking
22,216084.0,216093.0,9.0,1.225061938282452,1.3568496560536183,1.324946393230969,1.3208219412028446,0.07794187313924722,1.225061938282452,1.4330797522357357,0.20801781395328378,0.13178771777116638,0.01812162263990549,0.2842479101354012,1.563625494727929,0.0,0,0,0,sharp_slope_curvature_change,sharp_slope_curvature_change,steady_walking
23,216093.0,216105.0,12.0,1.3568496560536183,1.199506129261009,1.275284638237966,1.2952239347336305,0.05737485188835324,1.199506129261009,1.3568496560536183,0.15734352679260932,-0.15734352679260932,-0.007766967769171785,0.3206995678127369,1.546706438216947,0.0,0,0,0,sharp_slope_curvature_change,sharp_slope_curvature_change,steady_walking
24,216105.0,216114.0,9.0,1.199506129261009,1.2840713215187638,1.2491778135070364,1.2417887253898865,0.05387746227827062,1.194048530713796,1.3190852725345772,0.12503674182078117,0.08456519225775483,0.01262441061980152,0.16550829138380752,1.2299487602022838,0.0,0,0,0,sharp_slope_curvature_change,sharp_slope_curvature_change,steady_walking
25,216114.0,216126.0,12.0,1.2840713215187638,1.1580533730774445,1.2199185011558404,1.2263033323437087,0.05833594378390905,1.1485219648446907,1.2840713215187638,0.13554935667407308,-0.1260179484413193,-0.003930511591091156,0.39425904674112777,2.239879797670551,0.0,0,0,0,sharp_slope_curvature_change,sharp_slope_curvature_change,steady_walking
26,216126.0,216135.0,9.0,1.1580533730774445,1.2815673769609548,1.2099789208886464,1.208732586148734,0.06131681405468853,1.140883134296163,1.2815673769609548,0.14068424266479185,0.1235140038835103,0.016302355885813066,0.1578544814460734,0.9097506709144352,0.0,0,0,0,sharp_slope_curvature_change,sharp_slope_curvature_change,steady_walking
27,216135.0,216147.0,12.0,1.2815673769609548,1.156595013328755,1.2158611216237991,1.2008498998196937,0.05322525774515532,1.156595013328755,1.2815673769609548,0.12497236363219977,-0.12497236363219977,-0.004657925191427122,0.34538630667537107,1.973947768125197,0.0,0,0,0,sharp_slope_curvature_change,sharp_slope_curvature_change,steady_walking
