cluster_id,num_windows,mean_start_time,mean_end_time,mean_reconstruction_error
0,22,5.228327045454545,6.632024636363636,0.58602244
1,79,19.808680329113926,21.206036164556966,1.0077629
2,8,3.66885375,5.023986750000001,0.711611
3,5,9.9578124,11.279345600000001,0.48767823
4,10,3.7843016999999994,5.1241211,0.87564003
