progress_percent,mean_x,mean_z,median_x,median_z,deviation_q25,deviation_median,deviation_q75,cov_xx,cov_xz,cov_zz,contributors
0.0,8.235085716247559,47.46410888671875,8.217826843261719,47.419525146484375,0.07966189442257726,0.15123167029110957,0.2400727521175691,0.011328265995134644,0.006098089694787691,0.026814709663546224,25
1.0,8.26440362884065,47.50510769132488,8.252343609708703,47.44310363213244,0.10758734212793017,0.16670571403329001,0.2414234606362855,0.013285381143639844,0.005730371216027899,0.030130935725801056,25
2.0,8.290541482112229,47.54839145102629,8.278186198876833,47.47835405346624,0.13214212785886487,0.1740816124182808,0.24045836637870333,0.01505151829966305,0.005013112376178733,0.03489491766560973,25
3.0,8.309434991210573,47.600449380353886,8.301102682958906,47.50891607374824,0.133011754235822,0.18747625192731612,0.25568913892950024,0.015428088169843854,0.004780606469325152,0.04129316467987648,25
4.0,8.32825032656717,47.66060723749394,8.318651703463328,47.62317212268404,0.12984433372325557,0.21056393077071026,0.27253432744795386,0.016535850951180396,0.004887501178935568,0.05089352112397067,25
5.0,8.348099248639446,47.72364397336047,8.332253160415421,47.688863552635574,0.15704324107443018,0.21512618966593794,0.3300667753875255,0.020324514098895328,0.006864108883949947,0.0678766433461393,25
6.0,8.370967912632644,47.78971400227604,8.32862117192514,47.7616700043332,0.1686750339540351,0.22493418970892337,0.3609861796675058,0.02323467459439692,0.011265445233765277,0.0870664529821125,25
7.0,8.394548839693066,47.86224560460219,8.348589931398637,47.854283249261016,0.19025757295561624,0.23926031454194063,0.38208076183308215,0.027743197769215185,0.016284866106458573,0.10878693468243168,25
8.0,8.413919849847622,47.9338622615696,8.366826315537903,47.977076864042445,0.1850610596346025,0.26087340385341845,0.48597223448842675,0.035890676259794245,0.02381489043072169,0.1417094573954746,25
9.0,8.432717352582067,48.00261065585534,8.361650484185503,48.04976960336987,0.1505786021892874,0.3003318936360746,0.6176045966858522,0.04260030947671962,0.029857427837475047,0.19439941431541854,25
10.0,8.453632898643113,48.07079109973924,8.383119016691015,48.0891924056073,0.14860641034422042,0.31909496020819195,0.562239539745735,0.043310630161493696,0.03799415986021793,0.2525365397947602,25
11.0,8.47803452162118,48.14526284108915,8.417633183594848,48.13374491997556,0.17322281409812684,0.340317297887694,0.6497415789488057,0.04669412271745476,0.0502747162394418,0.31749226460122737,25
12.0,8.500866600689617,48.223592582879476,8.43632705969686,48.17957118474196,0.1917788886370966,0.4197704724223476,0.7537781766516051,0.052977619989113926,0.06852039878537985,0.38569445571020883,25
13.0,8.52530842618588,48.31123670653518,8.457978552408772,48.23794887243199,0.20680656925260954,0.474844511349766,0.8535834791107197,0.06435399306794908,0.09105485007813903,0.463781436969478,25
14.0,8.548044825313164,48.39649846695325,8.484417382985956,48.313781131076624,0.256517294308241,0.5180233547445485,0.9568506821587857,0.07719890871017142,0.11423532411286746,0.5630819285822172,25
15.0,8.570878963483104,48.47384953354009,8.50517738516262,48.35007490605998,0.2537964086617999,0.5657639812905496,1.0230516809539847,0.09211695031962064,0.14200526574792677,0.6759869964117736,25
16.0,8.59156559313129,48.5467229114139,8.531640819378874,48.42154790753165,0.2835080170605455,0.6217774810976803,1.1075969449094816,0.1098875295825682,0.17624435828633903,0.8055396906769069,25
17.0,8.616216591588811,48.622933933751916,8.576820611921754,48.51091142333145,0.353782691400782,0.6774111197746163,1.195533205575044,0.12760541320903987,0.21580584298664235,0.9593674542004734,25
18.0,8.63969357820041,48.69875609226446,8.60417760439411,48.60009429433572,0.35513253809094175,0.7363963490645344,1.3244580114243023,0.14515471964273743,0.2549144223154909,1.1122849066222098,25
19.0,8.66706341146923,48.78619223222241,8.632199819529978,48.68962015157676,0.3628236604475425,0.7840296202361634,1.4691363911051887,0.1593692385068803,0.29018540107318835,1.306261063811979,25
20.0,8.692101713379852,48.874705264868844,8.64767456821619,48.78541251965909,0.4380773507276773,0.8352771714741615,1.5649987187850416,0.17618521920728114,0.3352823581035463,1.514477735162389,25
21.0,8.715699630603803,48.9636907632958,8.647187317354266,48.88379349687594,0.4893648371061114,0.8901762837540269,1.6275899769611883,0.19745367024134022,0.3933339132589264,1.707938766627868,25
22.0,8.73937574126347,49.05364667271756,8.642408455723652,48.98704844443451,0.5126785032727146,0.9432453773563022,1.641770571453801,0.2217819539643291,0.46229198962575346,1.8973287527723945,25
23.0,8.762786284210575,49.14462929967588,8.629660312270438,49.05069658154236,0.5188567698732515,1.044407180289307,1.732175341714533,0.25110786325006224,0.5413165317158251,2.124446249908133,25
24.0,8.787457600991774,49.234211765577356,8.624317192304579,49.112170348840394,0.5216226753558942,1.1355495043661696,1.8654882723387367,0.2778327545461516,0.6167790731607565,2.3718695394951497,25
25.0,8.80963472624041,49.3203619978879,8.636952623667325,49.165760711702085,0.5120093387188399,1.222374598245722,1.9806638825783962,0.3063742168542302,0.6945557636282499,2.643000298333121,25
26.0,8.830494618648153,49.41215756865361,8.666477097003156,49.26152835104037,0.5340350935012623,1.317347437575831,2.1283212907378384,0.33338853342041735,0.7697401259733404,2.941515056833254,25
27.0,8.852867942562721,49.503294106501905,8.673484494149703,49.34989187918908,0.568633401271921,1.4305018232233702,2.1757175861235005,0.35923277856559066,0.8375212665853928,3.2233796047575827,25
28.0,8.880057278956247,49.594827257857375,8.703489201716039,49.43831638030261,0.5860698365088166,1.521410188927343,2.266035250152033,0.383779323860171,0.8942714893809238,3.5175204869368764,25
29.0,8.90732566143136,49.683025416012086,8.736487315722922,49.505473750842604,0.6052644085004562,1.5910952603670483,2.3998527235274842,0.4121155310708798,0.9542508559872896,3.808503305191964,25
30.0,8.935532015426885,49.784470911755335,8.776247364261662,49.58309299304155,0.6458958016209705,1.68867825033942,2.4796423404411234,0.449052136718374,1.0287150977747765,4.080512580283915,25
31.0,8.96270635675141,49.88481042283322,8.806056472824947,49.64506704623756,0.6666947516752166,1.791191012930241,2.572944774602603,0.5023074173169498,1.1414648831880936,4.396634777720041,25
32.0,8.99176760074158,49.97934643168164,8.808446519929719,49.73985227495109,0.6392633160358099,1.891496415043156,2.654133281935511,0.5590949749474933,1.2597631925058443,4.645787045605353,25
33.0,9.01959071810672,50.08259589581892,8.840562078438742,49.85304052372425,0.6843372151195083,2.0011026544950816,2.7236620901399142,0.5918810373856729,1.3398277142030939,4.9655535419700385,25
34.0,9.044535688536593,50.180359240023144,8.853104105256943,50.15425153283345,0.7381211199388066,2.1045357791259076,2.7977989754311783,0.6124119978376376,1.4067078888934328,5.300375614133395,25
35.0,9.071201477195148,50.27496756112552,8.865609757152095,50.41039030463963,0.7954539307319437,2.206358114540568,2.864674580215234,0.6344429042987408,1.4738859525955832,5.654197539350341,25
36.0,9.097207567555095,50.370750786654945,8.870383603407547,50.53803040319787,0.8177373872171114,2.3080000583687075,2.9305614017210244,0.6677294399544231,1.5501012988907799,6.024049350694362,25
37.0,9.118482700380605,50.45811352180001,8.881975148898084,50.61252786399359,0.856170215172481,2.398438344563082,3.006163141913991,0.710837702579813,1.632570894046233,6.38574976759472,25
38.0,9.139079893719265,50.55192373755504,8.872410540574563,50.722535659548114,0.8639120182692025,2.4948632944437503,3.0966911255802096,0.7595239392622825,1.7380122216547653,6.7864637072775835,25
39.0,9.16316175236611,50.65371086392529,8.856417458162099,50.85829077712786,0.9751887842162935,2.4624211458304144,3.1984788260619386,0.8074698626637451,1.855445589170213,7.194849034256411,25
40.0,9.190472864284331,50.75188605488137,8.854516481118827,50.975264912491106,1.0316615847525215,2.407513655694023,3.32368783041036,0.8469171124515058,1.9684048351059102,7.595437554092773,25
41.0,9.21665633888604,50.84804256555489,8.884872948948003,51.05279543330579,1.0788686717334866,2.351702871600867,3.4579593335801353,0.8844544332646119,2.104096506506165,8.085277726003806,25
42.0,9.239382671561277,50.93927609496287,8.898978233951437,51.18410618586753,1.1153581771247747,2.285782968385725,3.533013233414729,0.9090145985662227,2.208014706146439,8.481733333767268,25
43.0,9.269862955545346,51.04492913274573,8.981998994999833,51.278130008670324,1.159710390009672,2.2080134841964414,3.5883801803085156,0.9366721826081664,2.3275787166465394,9.054608114763372,25
44.0,9.303388770420694,51.14837957728053,9.068160099973623,51.39372090076807,1.193168048380063,2.1216362179409023,3.65371491881273,0.9570450634395523,2.414067061927117,9.525319821260949,25
45.0,9.331998931457735,51.254633221134036,9.07017534364394,51.511269454058976,1.2535213458792165,2.294893585691895,3.6668601936977923,0.9852113635660414,2.511167904804378,10.001137146340055,25
46.0,9.359715543737664,51.36492710970023,9.056430307130881,51.62032604693965,1.256741406697686,2.4823930965181455,3.6290857790754707,1.0059332703578117,2.571838482047798,10.397325524938307,25
47.0,9.38291666970881,51.47242567869622,9.121088608939845,51.73630910834305,1.2973749474297835,2.5815585243257146,3.6664441400243946,1.0150766977457757,2.6224862984802186,10.77883520905302,25
48.0,9.412498318645932,51.58578327301835,9.21601500309694,51.83760435052875,1.3576028171011099,2.433400503959639,3.684650255202821,1.016429254748378,2.6730538851522567,11.159184329383654,25
49.0,9.442344499049861,51.71510512429756,9.250593385058123,51.956160747829,1.4194086606495973,2.2892591592670866,3.7268275275276945,1.0365551860838471,2.780787758479088,11.569062969156112,25
