participant_id,pednyc_number,scenario,recording_identifier,scenario_time,aligned_time,ped_x,ped_z,veh_x,veh_z,ped_speed,veh_speed,ped_acceleration,veh_acceleration
PedNYC1,1,16,PedNYC1_scenario16,0.0,-0.312256,8.339301109313965,47.82242202758789,-5.899911880493164,114.6999969482422,0.17707456620372045,0.00039725902383246846,0.30543712650184723,0.0017650010975614283
PedNYC1,1,16,PedNYC1_scenario16,0.047607,-0.26464899999999997,8.34058952331543,47.83382034301758,-5.899885654449463,114.6999969482422,0.1863475933108789,0.000494771752560607,0.3094039817809886,0.0014822973154524734
PedNYC1,1,16,PedNYC1_scenario16,0.092285,-0.21997099999999997,8.342153549194336,47.84156799316406,-5.8998541831970215,114.6999969482422,0.19073079500719323,0.0005462658403202756,0.3525579500820852,0.0010805328217383511
PedNYC1,1,16,PedNYC1_scenario16,0.137939,-0.17431699999999997,8.345880508422852,47.85175704956055,-5.899833679199219,114.6999969482422,0.20934240945882113,0.0006456600779159217,0.36177234621071386,0.0011350415433747962
PedNYC1,1,16,PedNYC1_scenario16,0.185303,-0.12695299999999998,8.350303649902344,47.8617057800293,-5.899820327758789,114.6999969482422,0.21987562563529797,0.0007651018846217093,0.3790047714281245,0.0012699231068007554
PedNYC1,1,16,PedNYC1_scenario16,0.226563,-0.08569299999999999,8.354615211486816,47.87028503417969,-5.899779796600342,114.6999969482422,0.2574089436797738,0.0008761018534445768,0.38321589664620653,0.0010290811421928595
PedNYC1,1,16,PedNYC1_scenario16,0.267822,-0.044433999999999974,8.358830451965332,47.8781852722168,-5.899815082550049,114.6999969482422,0.27115665345584816,0.0008672755063066302,0.4225170355617397,0.0009788084296610535
PedNYC1,1,16,PedNYC1_scenario16,0.312256,0.0,8.366289138793945,47.89130401611328,-5.899874687194824,114.6999969482422,0.300244737402232,0.000790323877111899,0.40451870474489765,0.0005958416350794951
PedNYC1,1,16,PedNYC1_scenario16,0.353271,0.041015000000000024,8.372337341308594,47.90221405029297,-5.89980411529541,114.6999969482422,0.3181062578397901,0.0008547630077567666,0.41293885051659046,0.00014256130925910572
PedNYC1,1,16,PedNYC1_scenario16,0.395752,0.08349600000000001,8.378820419311523,47.915016174316406,-5.89984655380249,114.6999969482422,0.3407952154357756,0.000960279744519853,0.37511965917915935,-5.2239815580417745e-06
PedNYC1,1,16,PedNYC1_scenario16,0.438232,0.12597600000000003,8.384757041931152,47.929325103759766,-5.899826526641846,114.6999969482422,0.35886311271794774,0.0009016854448747715,0.34439077873599777,-0.00016008602349963476
PedNYC1,1,16,PedNYC1_scenario16,0.478516,0.16626000000000002,8.390135765075684,47.94615936279297,-5.899826049804688,114.6999969482422,0.37627839059875445,0.0008794083994068275,0.22490760423419695,-0.00023729404405424068
PedNYC1,1,16,PedNYC1_scenario16,0.523926,0.21167000000000002,8.394397735595703,47.96374130249024,-5.899872779846191,114.6999969482422,0.37613313355965544,0.0007811253012871303,0.15801272781426495,-0.0004440415994320114
PedNYC1,1,16,PedNYC1_scenario16,0.573486,0.2612300000000001,8.397563934326172,47.98501968383789,-5.899933815002441,114.6999969482422,0.3855856178020628,0.00059113588586251,0.05551828879227829,-0.0005028856027836704
PedNYC1,1,16,PedNYC1_scenario16,0.616455,0.304199,8.399323463439941,48.001914978027344,-5.899914264678955,114.6999969482422,0.3852270660687707,0.0006148325084202006,-0.02468266929813201,-0.0007057129480615093
PedNYC1,1,16,PedNYC1_scenario16,0.659424,0.34716800000000003,8.40145206451416,48.0178337097168,-5.899886131286621,114.6999969482422,0.38025860221246355,0.0006499941338423475,-0.10951589764075242,-0.0009552059663270506
PedNYC1,1,16,PedNYC1_scenario16,0.701172,0.38891600000000004,8.404077529907227,48.03171157836914,-5.899867057800293,114.6999969482422,0.3633658239053505,0.0007268508628040381,-0.18952529770076085,-0.0007006805552203029
PedNYC1,1,16,PedNYC1_scenario16,0.745605,0.433349,8.409113883972168,48.04825592041016,-5.899866580963135,114.6999969482422,0.3454753862278985,0.0006162949611097495,-0.28454097534769063,-0.0006502810035974193
PedNYC1,1,16,PedNYC1_scenario16,0.788086,0.47583,8.414240837097168,48.0615119934082,-5.899815082550049,114.6999969482422,0.32539023769210457,0.0005152283005375288,-0.3368353602164094,-0.0004679816023253312
PedNYC1,1,16,PedNYC1_scenario16,0.831055,0.518799,8.420254707336426,48.073875427246094,-5.899781227111816,114.6999969482422,0.30619499608438583,0.00048686921250309364,-0.4092665913669688,-0.00026682371760905786
PedNYC1,1,16,PedNYC1_scenario16,0.876465,0.5642090000000001,8.426514625549316,48.08528900146485,-5.899749279022217,114.6999969482422,0.2880732767276182,0.0004750369093856506,-0.4604103521691371,-0.00039890276031197584
PedNYC1,1,16,PedNYC1_scenario16,0.918457,0.606201,8.431634902954102,48.093841552734375,-5.899750709533691,114.6999969482422,0.2689763123606441,0.0005346840686256055,-0.4926977320074606,-0.0004285196524351579
PedNYC1,1,16,PedNYC1_scenario16,0.962891,0.6506350000000001,8.437952041625977,48.10315704345703,-5.899736404418945,114.6999969482422,0.24174449440674442,0.0005347460642755079,-0.5019135781840551,-0.000591078681945623
PedNYC1,1,16,PedNYC1_scenario16,1.005859,0.6936030000000001,8.44355297088623,48.11090850830078,-5.899744987487793,114.6999969482422,0.21689021239259926,0.0005279117543656246,-0.5106592417354272,-0.00035473135331073793
PedNYC1,1,16,PedNYC1_scenario16,1.047607,0.735351,8.448907852172852,48.11788558959961,-5.899767875671387,114.6999969482422,0.19159027936103845,0.0004602471561497431,-0.5108803530793659,-0.00025342456810105706
PedNYC1,1,16,PedNYC1_scenario16,1.089355,0.7770990000000001,8.453093528747559,48.12343215942383,-5.899726390838623,114.6999969482422,0.1677552691888626,0.0004226160247761856,-0.49346733579460195,-0.00022567820779250793
PedNYC1,1,16,PedNYC1_scenario16,1.131592,0.819336,8.456422805786133,48.1285285949707,-5.899726867675781,114.6999969482422,0.1478705030990999,0.00044341843762008546,-0.47761336043943514,-3.83788455858881e-05
PedNYC1,1,16,PedNYC1_scenario16,1.176758,0.864502,8.458586692810059,48.1330451965332,-5.899674892425537,114.6999969482422,0.12501600412038652,0.0004458040425562169,-0.4497067307045357,5.477846355613015e-05
PedNYC1,1,16,PedNYC1_scenario16,1.219482,0.907226,8.460634231567383,48.13641357421875,-5.899674415588379,114.70000457763672,0.10370352866059972,0.000450575122579677,-0.3949876513516731,5.747433065385671e-05
PedNYC1,1,16,PedNYC1_scenario16,1.260498,0.9482419999999999,8.46253776550293,48.13867950439453,-5.899661540985107,114.6999969482422,0.08421127653613429,0.000398701037544423,-0.3332141741393993,0.0001666259559899063
PedNYC1,1,16,PedNYC1_scenario16,1.310059,0.9978030000000001,8.464685440063477,48.140621185302734,-5.899650573730469,114.6999969482422,0.07156430880197612,0.00038111780984311937,-0.2693910716738588,0.001191690056114723
