participant_id,recording_identifier,scenario,progress_percent,ped_x,ped_z,veh_x,veh_z,mean_x,mean_z,deviation_m
PedNYC10,PedNYC10_scenario16,16,0.0,8.190910339355469,47.43327331542969,2.696131388346354,70.23146438598634,8.235085716247559,47.46410888671875,0.05387296520780084
PedNYC10,PedNYC10_scenario16,16,1.0,8.191608119896523,47.45104330641431,2.689842674386939,69.75701227200295,8.26440362884065,47.50510769132488,0.09067603783907026
PedNYC10,PedNYC10_scenario16,16,2.0,8.194748106503116,47.47355970995282,2.682641443401386,69.21371529802254,8.290541482112229,47.54839145102629,0.12155723048290831
PedNYC10,PedNYC10_scenario16,16,3.0,8.19932974603001,47.496014753340766,2.675502124813611,68.67508930577179,8.309434991210573,47.600449380353886,0.15175558090443117
PedNYC10,PedNYC10_scenario16,16,4.0,8.206362654180612,47.522679103239525,2.668429390469339,68.14148676271782,8.32825032656717,47.66060723749394,0.18406731078254263
PedNYC10,PedNYC10_scenario16,16,5.0,8.216116481479123,47.55376217135422,2.661374300639292,67.60921541029018,8.348099248639446,47.72364397336047,0.21512618966593794
PedNYC10,PedNYC10_scenario16,16,6.0,8.227535648046278,47.58635109330085,2.654126453625269,67.06240148937981,8.370967912632644,47.78971400227604,0.24885595687310028
PedNYC10,PedNYC10_scenario16,16,7.0,8.238332623908958,47.615838074854764,2.64685553207389,66.51384670967089,8.394548839693066,47.86224560460219,0.29175362343959627
PedNYC10,PedNYC10_scenario16,16,8.0,8.251038266387267,47.64944525726879,2.6396810953277403,65.97257122746286,8.413919849847622,47.9338622615696,0.3277551564293097
PedNYC10,PedNYC10_scenario16,16,9.0,8.264029085617187,47.68509301447907,2.632835485993357,65.45610413400563,8.432717352582067,48.00261065585534,0.3595458023628758
PedNYC10,PedNYC10_scenario16,16,10.0,8.274905763715951,47.71808689176641,2.6259603710389237,64.93741098862478,8.453632898643113,48.07079109973924,0.3954031450064747
PedNYC10,PedNYC10_scenario16,16,11.0,8.285278983894417,47.75502784136704,2.6189908946592495,64.4115987441764,8.47803452162118,48.14526284108915,0.43524481884618604
PedNYC10,PedNYC10_scenario16,16,12.0,8.293807049874205,47.78961678624977,2.61183485542922,63.871711262833315,8.500866600689617,48.223592582879476,0.4808416055670156
PedNYC10,PedNYC10_scenario16,16,13.0,8.301691280488292,47.82924363488999,2.604871919602075,63.34639247046342,8.52530842618588,48.31123670653518,0.5313397679111772
PedNYC10,PedNYC10_scenario16,16,14.0,8.307560193106914,47.864580589623685,2.597652168674913,62.80169825922531,8.548044825313164,48.39649846695325,0.5837546458488895
PedNYC10,PedNYC10_scenario16,16,15.0,8.312551545734859,47.904117796980074,2.5905426111459815,62.265317590481686,8.570878963483104,48.47384953354009,0.6255615928141425
PedNYC10,PedNYC10_scenario16,16,16.0,8.316314629581852,47.943698794650494,2.583433469983159,61.72896833448512,8.59156559313129,48.5467229114139,0.6628734255747338
PedNYC10,PedNYC10_scenario16,16,17.0,8.318693701548764,47.986822873192274,2.5761359281659906,61.178405188445694,8.616216591588811,48.622933933751916,0.7022514873349114
PedNYC10,PedNYC10_scenario16,16,18.0,8.319803340561137,48.02853666267789,2.569296724023095,60.66242133475125,8.63969357820041,48.69875609226446,0.7426465161382383
PedNYC10,PedNYC10_scenario16,16,19.0,8.320229091617039,48.07771103063311,2.5627176267151155,60.16606124491121,8.66706341146923,48.78619223222241,0.7888216898848257
