event_id,start_time,end_time,label,duration,confidence,pednyc_number,scenario_number
0,0.0,0.579102,head_check,0.579102,1.0,3,7
1,0.579102,7.991821,low_motion,7.412719,0.9,3,7
2,7.615112,8.999146,head_check,1.3840339999999998,1.0,3,7
3,8.605591,9.496216,deceleration,0.890625,0.8,3,7
4,9.084229,10.994019,low_motion,1.9097899999999992,0.9,3,7
5,10.593384,12.505249,acceleration,1.9118649999999988,0.8,3,7
6,12.076416,13.020142,crossing_commitment,0.9437259999999998,0.78,3,7
7,12.589111,13.997559,acceleration,1.408448,0.8,3,7
8,13.583252,15.489746,crossing_commitment,1.9064940000000004,0.78,3,7
9,15.064453,16.031006,acceleration,0.9665530000000011,0.8,3,7
10,15.574219,19.093262,crossing_commitment,3.519043,0.78,3,7
11,18.653442,22.060547,possible_yielding,3.4071050000000014,0.85,3,7
12,22.060547,23.038818,acceleration,0.9782709999999994,0.8,3,7
13,22.564453,23.526123,crossing_commitment,0.961669999999998,0.78,3,7
14,23.078979,24.025391,low_motion,0.9464119999999987,0.75,3,7
15,23.566528,24.544312,acceleration,0.9777839999999998,0.8,3,7
16,24.067383,25.04895,crossing_commitment,0.9815670000000019,0.78,3,7
17,24.586304,27.551392,acceleration,2.9650880000000015,0.8,3,7
18,27.073608,29.549805,crossing_commitment,2.476196999999999,0.78,3,7
19,29.067261,30.041626,deceleration,0.9743650000000024,0.8,3,7
20,29.593018,31.55249,crossing_commitment,1.959471999999998,0.78,3,7
21,31.101807,32.030151,acceleration,0.9283439999999956,0.8,3,7
22,31.612305,32.512329,deceleration,0.9000240000000019,0.8,3,7
23,32.071411,33.029053,crossing_commitment,0.9576419999999999,0.78,3,7
24,32.594482,34.51709,deceleration,1.9226080000000039,0.8,3,7
25,34.098389,34.963867,low_motion,0.8654780000000031,0.9,3,7
