event_id,start_time,end_time,label,duration,confidence,pednyc_number,scenario_number
0,0.0,1.174072,low_motion,1.174072,0.75,15,16
1,1.007324,1.424072,head_check,0.4167479999999999,1.0,15,16
2,1.424072,2.799072,low_motion,1.3749999999999998,0.9,15,16
3,2.424072,4.049072,acceleration,1.625,0.8,15,16
4,4.049072,5.007446,deceleration,0.9583740000000001,0.8,15,16
5,4.549072,5.507446,acceleration,0.9583740000000001,0.8,15,16
6,5.049194,6.007446,deceleration,0.9582519999999999,0.8,15,16
7,5.549194,10.007568,low_motion,4.458373999999999,0.9,15,16
8,9.549194,11.507568,acceleration,1.9583739999999992,0.8,15,16
9,11.049316,13.00769,crossing_commitment,1.958374000000001,0.78,15,16
10,12.549438,13.50769,acceleration,0.9582519999999999,0.8,15,16
11,13.049438,14.757813,crossing_commitment,1.7083750000000002,0.78,15,16
12,14.757813,15.674438,deceleration,0.9166249999999998,0.8,15,16
13,15.257813,16.174438,acceleration,0.916624999999998,0.8,15,16
14,15.757813,17.674438,deceleration,1.916624999999998,0.8,15,16
15,17.257813,18.174438,crossing_commitment,0.9166249999999998,0.78,15,16
16,17.757813,18.674438,acceleration,0.9166249999999998,0.8,15,16
17,18.257813,19.674438,crossing_commitment,1.4166249999999998,0.78,15,16
18,19.257813,20.674561,acceleration,1.416748000000002,0.8,15,16
19,20.257813,21.174561,crossing_commitment,0.9167480000000019,0.78,15,16
20,20.757813,21.674561,acceleration,0.9167480000000019,0.8,15,16
21,21.257813,22.174561,crossing_commitment,0.9167480000000019,0.78,15,16
22,21.757813,22.674561,deceleration,0.9167480000000019,0.8,15,16
23,22.257813,23.174561,crossing_commitment,0.9167480000000019,0.78,15,16
24,22.757813,23.674561,acceleration,0.9167480000000019,0.8,15,16
25,23.257935,24.674561,deceleration,1.4166260000000008,0.8,15,16
26,24.257935,25.174561,crossing_commitment,0.9166260000000008,0.78,15,16
27,24.757935,26.049561,deceleration,1.2916260000000008,0.8,15,16
28,26.049561,26.799683,acceleration,0.7501220000000011,0.8,15,16
29,26.549561,27.299683,crossing_commitment,0.7501220000000011,0.78,15,16
30,27.049683,29.135742,low_motion,2.0860589999999988,0.9,15,16
