event_id,start_time,end_time,label,duration,confidence,pednyc_number,scenario_number
0,0.0,0.715332,low_motion,0.715332,0.9,17,16
1,0.715332,3.590332,acceleration,2.875,0.8,17,16
2,3.25708,4.090332,crossing_commitment,0.8332519999999999,0.78,17,16
3,3.75708,4.38208,acceleration,0.625,0.8,17,16
4,4.38208,6.840576,crossing_commitment,2.4584960000000002,0.78,17,16
5,6.38208,7.340576,acceleration,0.9584960000000002,0.8,17,16
6,6.88208,7.840576,crossing_commitment,0.9584960000000002,0.78,17,16
7,7.38208,9.340576,deceleration,1.9584960000000002,0.8,17,16
8,8.88208,10.340576,head_check,1.4584960000000002,1.0,17,16
9,9.88208,10.840576,crossing_commitment,0.9584960000000002,0.78,17,16
10,10.38208,11.840576,low_motion,1.4584960000000002,0.9,17,16
11,11.38208,12.25708,acceleration,0.875,0.8,17,16
12,12.25708,13.13208,crossing_commitment,0.875,0.78,17,16
13,12.75708,14.13208,acceleration,1.375,0.8,17,16
14,13.75708,15.132324,possible_yielding,1.3752440000000004,0.85,17,16
15,14.757324,17.132568,acceleration,2.3752439999999986,0.8,17,16
16,16.757568,18.132568,crossing_commitment,1.375,0.78,17,16
17,17.757568,18.632568,deceleration,0.875,0.8,17,16
18,18.257568,20.132568,head_check,1.875,1.0,17,16
19,19.757568,20.257568,deceleration,0.5,0.8,17,16
20,20.257568,22.507568,low_motion,2.25,0.9,17,16
21,22.257568,23.309326,acceleration,1.0517579999999995,0.8,17,16
