event_id,start_time,end_time,label,duration,confidence,pednyc_number,scenario_number
0,0.0,0.440369,low_motion,0.440369,0.9,3,21
1,0.440369,1.181335,acceleration,0.740966,0.8,3,21
2,0.981323,2.007751,head_check,1.026428,1.0,3,21
3,2.007751,4.951477,low_motion,2.943726,0.9,3,21
4,4.544983,5.47406,acceleration,0.9290769999999995,0.8,3,21
5,5.056519,6.489868,low_motion,1.4333490000000007,0.9,3,21
6,6.049194,6.945923,acceleration,0.8967289999999997,0.8,3,21
7,6.536682,8.48407,crossing_commitment,1.9473879999999992,0.78,3,21
8,8.019653,8.949768,deceleration,0.9301150000000007,0.8,3,21
9,8.543091,10.470215,low_motion,1.9271239999999992,0.9,3,21
10,10.023682,10.983093,acceleration,0.9594109999999993,0.8,3,21
11,10.527283,11.487,deceleration,0.9597169999999995,0.8,3,21
12,11.038513,13.476318,low_motion,2.437804999999999,0.9,3,21
13,13.031433,15.971313,acceleration,2.9398800000000005,0.8,3,21
14,15.54187,16.973877,crossing_commitment,1.4320070000000023,0.78,3,21
15,16.536011,17.492004,acceleration,0.955993000000003,0.8,3,21
16,17.015808,18.959229,possible_yielding,1.9434210000000007,0.85,3,21
17,18.514221,21.731018,crossing_commitment,3.2167969999999997,0.78,3,21
18,21.731018,22.644165,possible_yielding,0.9131470000000022,0.85,3,21
19,22.257629,25.691284,crossing_commitment,3.433654999999998,0.78,3,21
20,25.284119,28.165039,acceleration,2.8809199999999997,0.8,3,21
21,27.755676,31.185791,crossing_commitment,3.430114999999997,0.78,3,21
22,30.733521,34.163818,possible_yielding,3.4302969999999995,0.85,3,21
23,33.773865,34.260193,deceleration,0.4863280000000003,0.8,3,21
24,34.260193,42.534241,low_motion,8.274048,0.9,3,21
