event_id,start_time,end_time,label,duration,confidence,pednyc_number,scenario_number
0,0.0,8.563232,low_motion,8.563232,0.9,12,7
1,8.127197,9.534668,acceleration,1.4074709999999993,0.8,12,7
2,9.104248,10.022217,crossing_commitment,0.9179689999999994,0.78,12,7
3,9.617432,12.05835,acceleration,2.440918,0.8,12,7
4,11.613281,12.540039,crossing_commitment,0.9267579999999995,0.78,12,7
5,12.103271,13.541504,acceleration,1.4382330000000003,0.8,12,7
6,13.110352,14.047363,crossing_commitment,0.937011,0.78,12,7
7,13.630127,14.535889,acceleration,0.9057619999999993,0.8,12,7
8,14.140625,15.066406,crossing_commitment,0.9257810000000006,0.78,12,7
9,14.617188,15.542725,acceleration,0.9255370000000003,0.8,12,7
10,15.110596,17.546875,crossing_commitment,2.4362790000000007,0.78,12,7
11,17.12085,17.636963,acceleration,0.5161130000000007,0.8,12,7
12,17.636963,18.543213,crossing_commitment,0.90625,0.78,12,7
13,18.146729,20.062012,head_check,1.9152829999999987,1.0,12,7
14,19.642822,21.923828,possible_yielding,2.2810060000000014,0.85,12,7
15,21.517334,23.44043,low_motion,1.9230959999999975,0.9,12,7
16,22.999512,26.450195,head_check,3.4506830000000015,1.0,12,7
17,25.974121,26.930908,crossing_commitment,0.9567869999999985,0.78,12,7
18,26.500977,27.419678,acceleration,0.9187010000000022,0.8,12,7
19,26.975342,29.455811,crossing_commitment,2.4804689999999994,0.78,12,7
20,28.972412,30.426025,deceleration,1.4536130000000007,0.8,12,7
21,29.983643,30.942383,crossing_commitment,0.9587399999999988,0.78,12,7
22,30.472656,31.925049,deceleration,1.4523930000000007,0.8,12,7
23,31.49585,32.385986,low_motion,0.8901360000000018,0.9,12,7
