event_id,start_time,end_time,label,duration,confidence,pednyc_number,scenario_number
0,0.0,0.594727,low_motion,0.594727,0.9,20,15
1,0.594727,1.136414,acceleration,0.541687,0.8,20,15
2,1.136414,10.595032,low_motion,9.458618,0.9,20,15
3,10.136658,12.095093,head_check,1.9584349999999997,1.0,20,15
4,11.636719,13.095093,low_motion,1.458374000000001,0.9,20,15
5,12.63678,16.095154,head_check,3.458374000000001,1.0,20,15
6,15.636841,17.595154,acceleration,1.9583130000000004,0.8,20,15
7,17.136841,20.595276,crossing_commitment,3.458434999999998,0.78,20,15
8,20.136902,22.595398,deceleration,2.4584960000000002,0.8,20,15
9,22.137024,24.595459,low_motion,2.4584350000000015,0.9,20,15
10,24.137146,26.095581,acceleration,1.958434999999998,0.8,20,15
11,26.095581,27.553894,possible_yielding,1.4583130000000004,0.85,20,15
12,27.095581,28.053894,crossing_commitment,0.9583130000000004,0.78,20,15
13,27.595581,29.554077,acceleration,1.9584960000000002,0.8,20,15
14,29.095703,30.054016,crossing_commitment,0.9583130000000004,0.78,20,15
15,29.595703,33.929077,possible_yielding,4.333373999999999,0.85,20,15
16,33.929077,42.846863,low_motion,8.917786,0.9,20,15
17,42.430237,43.846924,head_check,1.4166870000000031,1.0,20,15
18,43.430237,46.161072,low_motion,2.730834999999999,0.9,20,15
