event_id,start_time,end_time,label,duration,confidence,pednyc_number,scenario_number
0,0.0,5.423828,low_motion,5.423828,0.9,15,15
1,4.965576,5.840576,acceleration,0.875,0.8,15,15
2,5.840576,10.29895,low_motion,4.458373999999999,0.9,15,15
3,9.840576,12.299072,acceleration,2.4584960000000002,0.8,15,15
4,11.840698,12.799072,deceleration,0.958374000000001,0.8,15,15
5,12.340698,13.799072,acceleration,1.458374000000001,0.8,15,15
6,13.340698,14.799194,deceleration,1.4584960000000002,0.8,15,15
7,14.34082,15.299194,acceleration,0.9583739999999992,0.8,15,15
8,14.84082,15.799194,deceleration,0.9583739999999992,0.8,15,15
9,15.34082,17.799194,crossing_commitment,2.458373999999999,0.78,15,15
10,17.34082,18.299194,acceleration,0.9583739999999992,0.8,15,15
11,17.840942,19.299194,deceleration,1.4582520000000017,0.8,15,15
12,18.840942,19.799316,crossing_commitment,0.9583740000000027,0.78,15,15
13,19.340942,20.799316,acceleration,1.4583740000000027,0.8,15,15
14,20.341064,22.299438,crossing_commitment,1.9583739999999992,0.78,15,15
15,21.841064,22.38269,acceleration,0.5416260000000008,0.8,15,15
16,22.38269,23.799438,crossing_commitment,1.4167479999999983,0.78,15,15
17,23.38269,24.299438,possible_yielding,0.9167479999999983,0.85,15,15
18,23.88269,24.799438,crossing_commitment,0.9167479999999983,0.78,15,15
19,24.382813,25.799438,possible_yielding,1.4166249999999998,0.85,15,15
20,25.382813,26.299438,crossing_commitment,0.9166249999999998,0.78,15,15
21,25.882813,30.049561,possible_yielding,4.166748000000002,0.85,15,15
22,29.591187,38.049683,low_motion,8.458496,0.9,15,15
23,37.591309,39.549683,head_check,1.9583739999999992,1.0,15,15
24,39.091309,42.935181,low_motion,3.8438719999999975,0.9,15,15
