event_id,start_time,end_time,label,duration,confidence,pednyc_number,scenario_number
0,0.0,1.217041,head_check,1.217041,1.0,17,7
1,0.800293,1.717041,crossing_commitment,0.916748,0.78,17,7
2,1.300293,2.175293,acceleration,0.875,0.8,17,7
3,2.175293,3.133789,crossing_commitment,0.9584960000000002,0.78,17,7
4,2.675293,5.133789,head_check,2.4584960000000002,1.0,17,7
5,4.675537,5.633789,deceleration,0.9582519999999999,0.8,17,7
6,5.175537,6.133789,crossing_commitment,0.9582519999999999,0.78,17,7
7,5.675537,8.634033,head_check,2.9584960000000002,1.0,17,7
8,8.175537,9.134033,low_motion,0.9584960000000002,0.75,17,7
9,8.675537,10.134033,acceleration,1.4584960000000002,0.8,17,7
10,9.675781,12.134033,head_check,2.458252,1.0,17,7
11,11.675781,12.634033,acceleration,0.9582519999999999,0.8,17,7
12,12.175781,13.134033,crossing_commitment,0.9582519999999999,0.78,17,7
13,12.675781,13.634033,acceleration,0.9582519999999999,0.8,17,7
14,13.175781,15.634277,head_check,2.4584960000000002,1.0,17,7
15,15.634277,16.592529,deceleration,0.9582519999999981,0.8,17,7
16,16.134277,19.092773,head_check,2.9584960000000002,1.0,17,7
17,18.634277,19.592773,acceleration,0.9584960000000002,0.8,17,7
18,19.134277,20.092773,crossing_commitment,0.9584960000000002,0.78,17,7
19,19.634277,22.092773,head_check,2.4584960000000002,1.0,17,7
20,21.634521,22.592773,crossing_commitment,0.9582520000000017,0.78,17,7
21,22.134521,23.092773,possible_yielding,0.9582520000000017,0.85,17,7
22,22.634521,25.592773,head_check,2.9582520000000017,1.0,17,7
23,25.134521,26.593018,acceleration,1.4584970000000013,0.8,17,7
24,26.134521,27.093018,crossing_commitment,0.9584970000000013,0.78,17,7
25,26.634766,28.17627,head_check,1.5415039999999998,1.0,17,7
26,28.17627,31.260254,low_motion,3.083984000000001,0.9,17,7
