event_id,start_time,end_time,label,duration,confidence,pednyc_number,scenario_number
0,0.0,0.803711,low_motion,0.803711,0.9,8,15
1,0.803711,1.48584,acceleration,0.6821290000000001,0.8,8,15
2,1.305176,1.994141,deceleration,0.688965,0.8,8,15
3,1.810547,2.495117,low_motion,0.6845700000000001,0.9,8,15
4,2.322266,2.963379,acceleration,0.6411130000000003,0.8,8,15
5,2.963379,5.433594,possible_hesitation,2.470215,0.82,8,15
6,4.990234,5.931641,acceleration,0.9414069999999999,0.8,8,15
7,5.476074,6.937012,possible_hesitation,1.4609380000000005,0.82,8,15
8,6.478516,9.916504,low_motion,3.437988,0.9,8,15
9,9.48877,11.923828,acceleration,2.4350579999999997,0.8,8,15
10,11.489258,12.43457,crossing_commitment,0.9453120000000013,0.78,8,15
11,11.969727,12.951172,acceleration,0.981444999999999,0.8,8,15
12,12.47998,13.90918,crossing_commitment,1.4291999999999998,0.78,8,15
13,13.493164,14.418457,acceleration,0.9252929999999999,0.8,8,15
14,14.010742,15.417969,crossing_commitment,1.407226999999999,0.78,8,15
15,14.977539,15.914551,acceleration,0.9370119999999993,0.8,8,15
16,15.505371,16.946289,crossing_commitment,1.440918,0.78,8,15
17,16.495117,17.429688,deceleration,0.9345709999999983,0.8,8,15
18,16.990723,17.917969,crossing_commitment,0.9272460000000002,0.78,8,15
19,17.47168,19.424805,acceleration,1.953125,0.8,8,15
20,18.985352,19.915039,crossing_commitment,0.9296870000000013,0.78,8,15
21,19.467285,20.441895,acceleration,0.9746099999999984,0.8,8,15
22,20.004883,21.449219,crossing_commitment,1.4443359999999998,0.78,8,15
23,20.975586,21.760742,acceleration,0.7851560000000006,0.8,8,15
24,21.760742,22.639648,possible_yielding,0.8789060000000006,0.85,8,15
25,22.286621,23.628418,crossing_commitment,1.3417969999999997,0.78,8,15
26,23.28418,27.184082,possible_yielding,3.899902000000001,0.85,8,15
27,27.184082,35.175781,low_motion,7.9916990000000006,0.9,8,15
28,34.699707,36.158203,head_check,1.4584960000000038,1.0,8,15
29,35.693848,36.65918,low_motion,0.9653319999999965,0.9,8,15
30,36.203613,37.168945,acceleration,0.9653320000000036,0.8,8,15
