event_id,start_time,end_time,label,duration,confidence,pednyc_number,scenario_number
0,0.0,5.037964,low_motion,5.037964,0.9,7,12
1,4.664734,5.375061,acceleration,0.7103269999999995,0.8,7,12
2,5.375061,6.2901,deceleration,0.9150390000000002,0.8,7,12
3,5.904907,7.298767,low_motion,1.39386,0.9,7,12
4,6.895691,7.821106,acceleration,0.9254150000000001,0.8,7,12
5,7.387634,8.286377,crossing_commitment,0.8987429999999996,0.78,7,12
6,7.905762,10.783325,low_motion,2.8775629999999994,0.9,7,12
7,10.377319,11.801025,head_check,1.4237059999999992,1.0,7,12
8,11.392029,14.303162,low_motion,2.9111329999999995,0.9,7,12
9,13.888123,16.767456,acceleration,2.879332999999999,0.8,7,12
10,16.400635,20.545593,crossing_commitment,4.144957999999999,0.78,7,12
11,20.545593,21.467102,possible_yielding,0.9215090000000004,0.85,7,12
12,21.061096,21.979309,crossing_commitment,0.9182130000000015,0.78,7,12
13,21.550781,22.462769,acceleration,0.9119880000000009,0.8,7,12
14,22.079407,23.499695,crossing_commitment,1.4202879999999993,0.78,7,12
15,23.082947,23.985535,acceleration,0.902587999999998,0.8,7,12
16,23.55426,24.488403,crossing_commitment,0.9341430000000024,0.78,7,12
17,24.053101,25.475464,acceleration,1.4223629999999972,0.8,7,12
18,25.054321,28.985596,crossing_commitment,3.9312749999999994,0.78,7,12
19,28.57666,29.480713,acceleration,0.9040530000000011,0.8,7,12
20,29.086487,30.480042,crossing_commitment,1.3935549999999992,0.78,7,12
21,30.059998,31.000549,deceleration,0.9405509999999992,0.8,7,12
22,30.561096,32.482666,crossing_commitment,1.9215700000000027,0.78,7,12
23,32.058228,32.967346,acceleration,0.9091179999999994,0.8,7,12
24,32.566467,33.496521,deceleration,0.9300539999999984,0.8,7,12
25,33.049377,33.995422,acceleration,0.946044999999998,0.8,7,12
26,33.599976,34.963745,crossing_commitment,1.363769000000005,0.78,7,12
27,34.585632,35.500061,deceleration,0.9144290000000055,0.8,7,12
28,35.047302,35.982605,acceleration,0.9353029999999976,0.8,7,12
29,35.589539,36.463684,crossing_commitment,0.8741449999999986,0.78,7,12
30,36.071228,36.981201,deceleration,0.9099730000000008,0.8,7,12
31,36.554138,37.45636,acceleration,0.9022219999999948,0.8,7,12
32,37.082397,38.583801,low_motion,1.5014040000000008,0.75,7,12
