event_id,start_time,end_time,label,duration,confidence,pednyc_number,scenario_number
0,0.0,1.367798,low_motion,1.367798,0.9,11,3
1,1.025879,2.889282,head_check,1.8634030000000001,1.0,11,3
2,2.523071,7.246704,low_motion,4.723633,0.9,11,3
3,6.857422,7.737549,possible_hesitation,0.8801269999999999,0.82,11,3
4,7.343994,8.227295,acceleration,0.8833009999999994,0.8,11,3
5,7.835327,8.745728,low_motion,0.9104009999999993,0.75,11,3
6,8.368774,9.148193,head_check,0.779418999999999,1.0,11,3
7,9.148193,10.09021,deceleration,0.9420170000000017,0.8,11,3
8,9.676758,11.108887,head_check,1.4321289999999998,1.0,11,3
9,10.661743,11.616577,low_motion,0.954834,0.75,11,3
10,11.161499,12.61792,acceleration,1.4564210000000006,0.8,11,3
11,12.169922,13.12854,crossing_commitment,0.9586179999999995,0.78,11,3
12,12.659058,14.099365,acceleration,1.4403070000000007,0.8,11,3
13,13.653076,15.12085,crossing_commitment,1.4677740000000004,0.78,11,3
14,14.692139,15.606201,deceleration,0.9140620000000013,0.8,11,3
15,15.169189,18.614136,possible_yielding,3.444946999999999,0.85,11,3
16,18.160767,19.598877,crossing_commitment,1.4381100000000018,0.78,11,3
17,19.168579,19.934448,acceleration,0.7658689999999986,0.8,11,3
18,19.934448,20.889648,possible_yielding,0.9552000000000014,0.85,11,3
19,20.48645,21.894653,head_check,1.4082030000000003,1.0,11,3
20,21.456543,23.356812,acceleration,1.9002690000000015,0.8,11,3
21,22.954956,23.871582,crossing_commitment,0.9166260000000008,0.78,11,3
22,23.459961,24.388794,acceleration,0.9288330000000009,0.8,11,3
23,23.975464,32.89502,crossing_commitment,8.919556000000004,0.78,11,3
24,32.484131,33.377197,acceleration,0.8930660000000046,0.8,11,3
25,32.960938,35.885742,crossing_commitment,2.9248040000000017,0.78,11,3
26,35.473633,36.366089,deceleration,0.8924560000000028,0.8,11,3
27,35.983032,36.871216,crossing_commitment,0.8881839999999954,0.78,11,3
28,36.459106,37.282959,deceleration,0.8238529999999997,0.8,11,3
29,37.282959,38.211548,low_motion,0.9285890000000023,0.9,11,3
