event_id,start_time,end_time,label,duration,confidence,pednyc_number,scenario_number
0,0.052887,2.094574,head_check,2.041687,1.0,19,21
1,2.094574,3.011261,deceleration,0.916687,0.8,19,21
2,2.594574,3.511261,acceleration,0.916687,0.8,19,21
3,3.094604,4.011261,crossing_commitment,0.9166570000000003,0.78,19,21
4,3.594604,5.511292,low_motion,1.9166880000000002,0.75,19,21
5,5.094604,6.011292,possible_hesitation,0.9166879999999997,0.82,19,21
6,5.594604,6.511292,crossing_commitment,0.9166879999999997,0.78,19,21
7,6.094604,7.011292,acceleration,0.9166879999999997,0.8,19,21
8,6.594635,7.511292,low_motion,0.9166569999999998,0.75,19,21
9,7.094635,8.011292,deceleration,0.916656999999999,0.8,19,21
10,7.594635,8.511322,acceleration,0.9166869999999996,0.8,19,21
11,8.094635,9.011322,crossing_commitment,0.9166869999999996,0.78,19,21
12,8.594635,10.011322,acceleration,1.4166869999999996,0.8,19,21
13,9.594635,10.511322,deceleration,0.9166869999999996,0.8,19,21
14,10.094666,11.011322,low_motion,0.9166559999999997,0.75,19,21
15,10.594666,11.511322,crossing_commitment,0.9166559999999997,0.78,19,21
16,11.094666,12.011322,deceleration,0.9166559999999997,0.8,19,21
17,11.594666,12.511322,low_motion,0.9166559999999997,0.9,19,21
18,12.094666,14.011353,acceleration,1.9166869999999996,0.8,19,21
19,13.594666,14.511353,crossing_commitment,0.9166869999999996,0.78,19,21
20,14.094666,15.011353,acceleration,0.9166869999999996,0.8,19,21
21,14.594666,15.511353,crossing_commitment,0.9166869999999996,0.78,19,21
22,15.094666,18.55304,possible_yielding,3.458373999999999,0.85,19,21
23,18.136353,22.053101,crossing_commitment,3.916748000000002,0.78,19,21
24,21.636414,22.553101,acceleration,0.9166870000000031,0.8,19,21
25,22.136414,23.553101,crossing_commitment,1.4166870000000031,0.78,19,21
26,23.136414,24.053101,deceleration,0.9166870000000031,0.8,19,21
27,23.636414,25.553101,crossing_commitment,1.9166870000000031,0.78,19,21
28,25.136414,26.053101,acceleration,0.9166870000000031,0.8,19,21
29,25.636414,26.553101,deceleration,0.9166870000000031,0.8,19,21
30,26.136414,27.053101,acceleration,0.9166870000000031,0.8,19,21
31,26.636414,27.553101,crossing_commitment,0.9166870000000031,0.78,19,21
32,27.136414,28.428101,deceleration,1.2916870000000031,0.8,19,21
33,28.428101,29.886475,low_motion,1.4583739999999992,0.9,19,21
34,29.428101,30.386475,acceleration,0.9583739999999992,0.8,19,21
35,29.928101,31.386475,crossing_commitment,1.4583739999999992,0.78,19,21
36,30.928162,32.262939,low_motion,1.3347770000000025,0.75,19,21
