event_id,start_time,end_time,label,duration,confidence,pednyc_number,scenario_number
0,0.0,1.45639,head_check,1.45639,1.0,6,15
1,1.018356,13.563828,low_motion,12.545472,0.9,6,15
2,13.175186,14.072678,acceleration,0.8974919999999997,0.8,6,15
3,13.656525,14.582016,deceleration,0.9254909999999992,0.8,6,15
4,14.164413,17.063889,acceleration,2.899476,0.8,6,15
5,16.662872,20.045883,crossing_commitment,3.3830109999999998,0.78,6,15
6,19.649597,20.562637,acceleration,0.9130399999999987,0.8,6,15
7,20.134949,24.413635,crossing_commitment,4.278686,0.78,6,15
8,23.970154,24.901276,deceleration,0.9311219999999985,0.8,6,15
9,24.504166,26.393356,crossing_commitment,1.8891899999999993,0.78,6,15
10,25.986191,28.373901,possible_yielding,2.3877099999999984,0.85,6,15
11,27.997757,28.901962,acceleration,0.904205000000001,0.8,6,15
12,28.485306,29.901337,crossing_commitment,1.4160310000000003,0.78,6,15
13,29.484421,30.924988,possible_yielding,1.440566999999998,0.85,6,15
14,30.501938,31.913544,crossing_commitment,1.4116060000000026,0.78,6,15
15,31.490219,32.906708,possible_yielding,1.416489000000002,0.85,6,15
16,32.473648,34.398087,acceleration,1.9244389999999996,0.8,6,15
17,34.019196,35.404892,crossing_commitment,1.3856959999999958,0.78,6,15
18,34.985062,35.882385,acceleration,0.8973230000000001,0.8,6,15
19,35.465454,37.89624,crossing_commitment,2.4307859999999977,0.78,6,15
20,37.50528,38.86705,acceleration,1.36177,0.8,6,15
21,38.474487,46.422333,crossing_commitment,7.947845999999998,0.78,6,15
22,45.978882,47.03154,deceleration,1.052658000000001,0.8,6,15
