event_id,start_time,end_time,label,duration,confidence,pednyc_number,scenario_number
0,0.0,1.080566,head_check,1.080566,1.0,12,21
1,1.080566,13.57373,low_motion,12.493164,0.9,12,21
2,13.094727,16.533691,acceleration,3.4389640000000004,0.8,12,21
3,16.105469,17.550781,crossing_commitment,1.4453120000000013,0.78,12,21
4,17.121094,20.957031,possible_yielding,3.8359370000000013,0.85,12,21
5,20.957031,21.902344,deceleration,0.9453129999999987,0.8,12,21
6,21.476074,22.876465,head_check,1.400390999999999,1.0,12,21
7,22.476563,23.419922,deceleration,0.943359000000001,0.8,12,21
8,22.979004,23.929199,acceleration,0.9501950000000008,0.8,12,21
9,23.46582,24.890137,head_check,1.4243169999999985,1.0,12,21
10,24.475586,26.411133,acceleration,1.9355469999999997,0.8,12,21
11,25.993652,26.917969,deceleration,0.9243169999999985,0.8,12,21
12,26.45752,27.405762,acceleration,0.9482420000000005,0.8,12,21
13,26.970703,27.90625,deceleration,0.9355469999999997,0.8,12,21
14,27.48877,28.405273,crossing_commitment,0.9165030000000023,0.78,12,21
15,27.999512,28.900879,acceleration,0.9013670000000005,0.8,12,21
16,28.495605,29.393066,crossing_commitment,0.8974609999999998,0.78,12,21
17,28.992188,29.894531,deceleration,0.9023430000000019,0.8,12,21
18,29.48291,32.647461,possible_yielding,3.1645509999999994,0.85,12,21
19,32.647461,40.405762,low_motion,7.758301000000003,0.9,12,21
