event_id,start_time,end_time,label,duration,confidence,pednyc_number,scenario_number
0,0.0,0.925415,possible_hesitation,0.925415,0.82,23,3
1,0.508667,8.467407,low_motion,7.95874,0.9,23,3
2,8.467407,9.675903,acceleration,1.2084960000000002,0.8,23,3
3,9.467529,10.175903,crossing_commitment,0.7083739999999992,0.78,23,3
4,9.967529,10.675903,acceleration,0.7083739999999992,0.8,23,3
5,10.467529,10.717651,head_check,0.2501219999999993,1.0,23,3
6,10.717651,12.176025,crossing_commitment,1.4583739999999992,0.78,23,3
7,11.717651,12.676147,acceleration,0.9584960000000002,0.8,23,3
8,12.217651,14.17627,head_check,1.9586190000000006,1.0,23,3
9,13.717896,14.67627,crossing_commitment,0.958374000000001,0.78,23,3
10,14.217896,23.176758,possible_yielding,8.958862,0.85,23,3
11,22.718506,23.676758,low_motion,0.9582519999999981,0.9,23,3
12,23.218506,24.17688,possible_hesitation,0.9583739999999992,0.82,23,3
13,23.718506,24.67688,acceleration,0.9583739999999992,0.8,23,3
14,24.218506,25.260254,head_check,1.0417479999999983,1.0,23,3
15,25.260254,26.17688,acceleration,0.9166260000000008,0.8,23,3
16,25.760254,27.677002,crossing_commitment,1.916748000000002,0.78,23,3
17,27.260376,28.177002,acceleration,0.9166260000000008,0.8,23,3
18,27.760376,28.677002,deceleration,0.9166260000000008,0.8,23,3
19,28.260376,35.177124,crossing_commitment,6.916747999999998,0.78,23,3
20,34.760498,36.427124,deceleration,1.6666260000000008,0.8,23,3
21,36.427124,39.05249,low_motion,2.6253659999999996,0.9,23,3
