micro_segment_id,macro_segment_id,macro_label,start_idx,end_idx,start_time_sec,end_time_sec,duration_sec,start_frame,end_frame,ScenarioTime_start_raw,ScenarioTime_end_raw,change_score_mean,change_score_max,speed_start,speed_end,speed_mean,speed_std,speed_min,speed_max,speed_slope,accel_start,accel_end,accel_mean,accel_std,accel_min,accel_max,head_turn_rate_mean,head_turn_rate_max_abs,head_body_yaw_diff_mean_abs,head_body_yaw_diff_max_abs,distance_start,distance_end,distance_mean,distance_min,distance_slope,distance_closing_mean,distance_change_mean,car_speed_mean,car_accel_mean,avatar_vr_gap_max,displacement_xz,path_length_xz,progress_ratio,speed_delta,distance_delta,event_group,event_group_definition,plain_description,signals_used_for_boundaries
0,0,pre_movement_low_motion,0,40,0.0,1.859618999999999,1.859618999999999,356.94171142578125,358.1369934082031,214971,215090,0.3358753706838437,1.6886589094254658,0.014175804585464,0.0309787396329038,0.02554089239352456,0.02526672629343974,0.0034616818422936,0.0796091671738098,0.035211512430508664,-0.0067841499952875,-0.0547213107718661,0.015730672312273444,0.05876236016073549,-0.0953877091011723,0.1242290188508408,16.74914033581831,203.1682868892233,0.868493056878818,5.1468658447265625,72.51906119457118,72.15597050569201,72.46675953662172,72.15597050569201,-0.1295739646686752,0.009233741347644903,-0.008855870460467492,0.19996435789219838,0.5609630597853241,9.27540450432389,23.15179564690313,25.342717263533892,0.9135482752757802,0.0168029350474398,-0.3630906888791685,near_stationary,Mean VR-derived pedestrian speed is very low.,speed 0.01->0.03 m/s; mean 0.03 m/s; distance 72.52->72.16 m; head max 203.2 deg/s; progress ratio 0.91,ped_speed_xz_smooth|ped_accel_xz_smooth|head_turn_rate
1,0,pre_movement_low_motion,40,54,1.859618999999999,2.520995999999999,0.6613769999999999,358.1369934082031,358.380126953125,215090,215130,1.2976401228993728,2.0052340761754675,0.0309787396329038,0.2018771871840173,0.11098717830346108,0.07727378906110498,0.0204865774338081,0.2190835277009571,0.36336186568568773,-0.0547213107718661,-0.1317997417432529,0.16408194266803458,0.16416305686772265,-0.1317997417432529,0.3755604101068894,64.40368020270361,233.69466011217395,6.665160115559905,17.090789794921875,72.15597050569201,70.99425553753454,71.64152572368735,70.99425553753454,-1.761138791483236,0.08042430802446107,-0.08075085707383112,1.7451987323505174,2.0143079993695805,9.363569199687428,59.23730538733744,60.052775393898415,0.9864207773710351,0.1708984475511135,-1.1617149681574688,near_stationary,Mean VR-derived pedestrian speed is very low.,speed 0.03->0.20 m/s; mean 0.11 m/s; distance 72.16->70.99 m; head max 233.7 deg/s; progress ratio 0.99,ped_speed_xz_smooth|ped_accel_xz_smooth|head_turn_rate
2,0,pre_movement_low_motion,54,71,2.520995999999999,3.256347999999999,0.7353520000000002,358.380126953125,358.5249328613281,215130,215182,1.5845752595859581,2.0052340761754675,0.2018771871840173,0.2533559380398957,0.14098787714677186,0.06967007252375265,0.0427298625367044,0.2533559380398957,0.1269329946310736,-0.1317997417432529,0.1542083765612065,0.04838848243138036,0.2798470082089919,-0.3440730899339387,0.4326638674825776,131.88019815953626,279.33700308615227,10.828660753038198,17.090789794921875,70.99425553753454,68.64141633589684,69.89381213602813,68.64141633589684,-3.1746323477022425,0.13685827393006386,-0.1368185085516739,3.1601333827719236,1.9895867194592063,9.377431816286483,16.664570940150128,61.81889453915749,0.2695708337132171,0.051478750855878413,-2.352839201637707,near_stationary,Mean VR-derived pedestrian speed is very low.,speed 0.20->0.25 m/s; mean 0.14 m/s; distance 70.99->68.64 m; head max 279.3 deg/s; progress ratio 0.27,ped_speed_xz_smooth|ped_accel_xz_smooth|head_turn_rate
3,0,pre_movement_low_motion,79,166,3.6083979999999993,7.828856999999999,4.220459,358.4441223144531,357.2018127441406,215206,215466,0.3468250375587094,1.1547699586376123,0.1662220098796258,0.006420599825072,0.09255570911062634,0.050657202249666744,0.0061360604098043,0.1662220098796258,-0.036497927474067327,-0.177677123014967,0.001207641756115,-0.04125245670545556,0.061994002250388584,-0.1827425273523323,0.074996366962157,45.64535277122513,141.15348811204004,2.7712360728870764,11.087387084960938,67.15484958525748,38.005296563780185,53.99202798454965,38.005296563780185,-6.995416681530432,0.3334470721272847,-0.33356825647426863,6.971756472653866,0.9697036891364895,9.313542149957586,52.45825441746735,170.69821133083838,0.3073157826814922,-0.15980141005455378,-29.149553021477296,near_stationary,Mean VR-derived pedestrian speed is very low.,speed 0.17->0.01 m/s; mean 0.09 m/s; distance 67.15->38.01 m; head max 141.2 deg/s; progress ratio 0.31,ped_speed_xz_smooth|ped_accel_xz_smooth|head_turn_rate
4,1,acceleration,166,176,7.828856999999999,8.332030999999999,0.5031739999999996,357.2018127441406,355.317626953125,215466,215496,0.4017673118284096,0.7086702041703391,0.006420599825072,0.0797219021707771,0.024051174622553472,0.023087934081941975,0.006420599825072,0.0797219021707771,0.12487587742707643,0.001207641756115,0.4360671524718377,0.16946208381608888,0.14587113571725294,0.001207641756115,0.4360671524718377,4.845821341297343,11.166690834190566,0.48138982599432334,1.2178649902344034,38.005296563780185,33.85109303809277,35.91907417454466,33.85109303809277,-8.247609149067376,0.41362730747923276,-0.4150971810662705,8.54150528742893,-0.27741688905141504,9.053570753357102,2.0876617867719607,2.1061838402145416,0.9912058704995599,0.0733013023457051,-4.154203525687414,near_stationary,Mean VR-derived pedestrian speed is very low.,speed 0.01->0.08 m/s; mean 0.02 m/s; distance 38.01->33.85 m; head max 11.2 deg/s; progress ratio 0.99,ped_speed_xz_smooth|ped_accel_xz_smooth|head_turn_rate
5,1,acceleration,176,196,8.332030999999999,9.304442999999997,0.9724119999999985,355.317626953125,353.4986877441406,215496,215555,0.5059832548511349,0.765434620111769,0.0797219021707771,0.6367442284318892,0.36621333268053485,0.16153646942016672,0.0797219021707771,0.6367442284318892,0.5424492623516216,0.4360671524718377,0.4872817438881898,0.5219969846559686,0.03797079399668297,0.4360671524718377,0.5912270663975631,56.447637966268346,125.20179852972387,2.7976030622209835,6.11126708984375,33.85109303809277,26.748174950327265,30.10853085600103,26.748174950327265,-7.293725117601649,0.3573610554549684,-0.35751981943231703,7.6386625313199294,-1.4972684889736432,9.046463654879542,51.65208697911178,51.68075579504657,0.9994452709622033,0.557022326261112,-7.102918087765506,head_active,Head turn rate or head/body yaw difference is elevated.,speed 0.08->0.64 m/s; mean 0.37 m/s; distance 33.85->26.75 m; head max 125.2 deg/s; progress ratio 1.00,ped_speed_xz_smooth|ped_accel_xz_smooth|head_turn_rate
6,1,acceleration,196,207,9.304442999999997,9.817382999999998,0.5129400000000004,353.4986877441406,353.16864013671875,215555,215588,0.6685146746966367,1.004305819366626,0.6367442284318892,0.7945232891923159,0.7026390969806467,0.04609260108767211,0.6367442284318892,0.7945232891923159,0.2800684543851906,0.4872817438881898,0.2387439128121785,0.32964864795832155,0.06813437265732142,0.2387439128121785,0.4872817438881898,61.66013634836628,103.30664062500044,4.492089589436849,9.843666076660156,26.748174950327265,23.657968369796254,25.191462057832013,23.657968369796254,-6.0238125114675,0.28303633375501125,-0.2820502294633502,6.516648917734767,-1.4068954805765526,8.720825703877152,24.936594580597127,27.75820111801475,0.8983505261950698,0.1577790607604267,-3.09020658053101,head_active,Head turn rate or head/body yaw difference is elevated.,speed 0.64->0.79 m/s; mean 0.70 m/s; distance 26.75->23.66 m; head max 103.3 deg/s; progress ratio 0.90,ped_speed_xz_smooth|ped_accel_xz_smooth|head_turn_rate
7,1,acceleration,207,227,9.817382999999998,10.744384999999998,0.9270019999999999,353.16864013671875,353.4013671875,215588,215648,0.5495289065749636,1.004305819366626,0.7945232891923159,1.0268023810785918,0.8978447343438196,0.08814712158154625,0.7945232891923159,1.059142029927295,0.2979763618625878,0.2387439128121785,0.0880511446240442,0.2623304006024823,0.086587560706677,0.0880511446240442,0.4174587415312098,19.325713073779486,55.56477864583361,2.2217378162202395,9.716354370117188,23.657968369796254,18.66746232396692,21.071857208641738,18.66746232396692,-5.368414780523857,0.2505008919369649,-0.2507817601979126,5.607914351127117,-1.184886482413955,8.459917673442808,7.182482881963263,8.106109782390156,0.8860579334327059,0.23227909188627593,-4.990506045829335,speed_increasing,Pedestrian speed rises across the micro-segment.,speed 0.79->1.03 m/s; mean 0.90 m/s; distance 23.66->18.67 m; head max 55.6 deg/s; progress ratio 0.89,ped_speed_xz_smooth|ped_accel_xz_smooth|head_turn_rate
8,2,main_movement,228,285,10.790770999999998,13.390624999999998,2.5998540000000006,353.3659362792969,353.9946594238281,215651,215821,0.6580816836296642,1.1021784753729673,1.0296404602618412,0.8748915304490876,0.9045796969962305,0.08607610059024716,0.720602286588308,1.0574389945419724,-0.07762674317426742,-0.0067331621495619,0.6293296222649629,-0.05581526743239335,0.2357752798752907,-0.4816784472930912,0.6293296222649629,6.157519068706497,16.420377884903434,0.4665394487052143,1.3847122192382812,18.44817708368012,12.218526509197432,14.11200527338321,12.218526509197432,-2.407095383652434,0.11139719597767335,-0.11118854853050832,2.479255499981909,-1.9082816179917041,7.678870502520922,1.033025867774967,12.921406286357211,0.07994686064980909,-0.15474892981275357,-6.22965057448269,speed_steady,Pedestrian speed is relatively stable.,speed 1.03->0.87 m/s; mean 0.90 m/s; distance 18.45->12.22 m; head max 16.4 deg/s; progress ratio 0.08,ped_speed_xz_smooth|ped_accel_xz_smooth|head_turn_rate
9,2,main_movement,285,296,13.390624999999998,13.872802999999998,0.48217799999999933,353.9946594238281,355.58856201171875,215821,215854,1.27782498894283,2.303391009079609,0.8748915304490876,1.433761293435739,1.1228473805148582,0.193506486905775,0.8667998699000835,1.433761293435739,1.2104874881686771,0.6293296222649629,0.2740658959579292,0.8732186244550978,0.22315371601013953,0.2740658959579292,1.1530731045392693,64.65168789166776,228.09632148198295,5.3835868835449245,14.049453735351562,12.218526509197432,12.121891063178172,12.177166363849146,12.121891063178172,-0.20079132451462053,0.00832869566116286,-0.008414960869342108,0.00033122529946272625,-0.014373277004779807,5.35582197982427,39.932534290960234,39.94700921606275,0.9996376468379841,0.5588697629866515,-0.09663544601925977,head_active,Head turn rate or head/body yaw difference is elevated.,speed 0.87->1.43 m/s; mean 1.12 m/s; distance 12.22->12.12 m; head max 228.1 deg/s; progress ratio 1.00,ped_speed_xz_smooth|ped_accel_xz_smooth|head_turn_rate
