"pednyc","scenario","source_path","destination_path","file_size_bytes","copy_status"
"PedNYC2","105","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC2\CSV_Scenario-Ped-105_Session-temp_2024-02-22-16-37-03_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc2\scenario105\decoded_clean_PedNYC2_scenario105.csv","16323823","copied"
"PedNYC2","106","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC2\CSV_Scenario-Ped-106_Session-temp_2024-02-22-16-33-39_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc2\scenario106\decoded_clean_PedNYC2_scenario106.csv","17994909","copied"
"PedNYC2","12","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC2\CSV_Scenario-Ped-12_Session-temp_2024-02-22-16-22-26_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc2\scenario12\decoded_clean_PedNYC2_scenario12.csv","13910218","copied"
"PedNYC2","15","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC2\CSV_Scenario-Ped-15_Session-temp_2024-02-22-16-40-21_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc2\scenario15\decoded_clean_PedNYC2_scenario15.csv","13454050","copied"
"PedNYC2","16","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC2\CSV_Scenario-Ped-16_Session-temp_2024-02-22-17-03-50_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc2\scenario16\decoded_clean_PedNYC2_scenario16.csv","10488154","copied"
"PedNYC2","21","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC2\CSV_Scenario-Ped-21_Session-temp_2024-02-22-17-01-00_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc2\scenario21\decoded_clean_PedNYC2_scenario21.csv","11779280","copied"
"PedNYC2","3","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC2\CSV_Scenario-Ped-3_Session-temp_2024-02-22-16-58-19_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc2\scenario3\decoded_clean_PedNYC2_scenario3.csv","10439535","copied"
"PedNYC2","7","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC2\CSV_Scenario-Ped-7_Session-temp_2024-02-22-16-55-03_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc2\scenario7\decoded_clean_PedNYC2_scenario7.csv","19740317","copied"
"PedNYC2","Practice","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC2\CSV_Scenario-Practice_Session-temp_2024-02-22-16-16-29_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc2\scenarioPractice\CSV_Scenario-Practice_Session-temp_2024-02-22-16-16-29_decoded.csv","58955284","copied"
"PedNYC3","101","C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC3\CSV_Scenario-Ped-101_Session-temp_2024-02-23-14-29-47_decoded.csv","C:\Users\patl5\OneDrive\Desktop\BURE\pednyc_analysis\data\processed\pednyc3\scenario101\decoded_clean_PedNYC3_scenario101.csv","11195578","copied"
