recording_identifier,scenario_number,aligned_time,interpolated_speed
PedNYC10_scenario3,3,-5.0,0.0626816355489103
PedNYC10_scenario3,3,-4.9,0.05142640354844468
PedNYC10_scenario3,3,-4.800000000000001,0.05653078026061001
PedNYC10_scenario3,3,-4.700000000000001,0.07045824536738761
PedNYC10_scenario3,3,-4.600000000000001,0.09023384247826816
PedNYC10_scenario3,3,-4.500000000000002,0.1202112403211597
PedNYC10_scenario3,3,-4.400000000000002,0.13725930887641546
PedNYC10_scenario3,3,-4.3000000000000025,0.15007691792406402
PedNYC10_scenario3,3,-4.200000000000003,0.1694347254195659
PedNYC10_scenario3,3,-4.100000000000003,0.18320362232490653
PedNYC10_scenario3,3,-4.0000000000000036,0.20130304254585124
PedNYC10_scenario3,3,-3.900000000000004,0.20581834212093664
PedNYC10_scenario3,3,-3.8000000000000043,0.19442790867568752
PedNYC10_scenario3,3,-3.7000000000000046,0.18210675852493463
PedNYC10_scenario3,3,-3.600000000000005,0.15326081755116933
PedNYC10_scenario3,3,-3.5000000000000053,0.12258212197305846
PedNYC10_scenario3,3,-3.4000000000000057,0.08719225337568866
PedNYC10_scenario3,3,-3.300000000000006,0.05100505826221512
PedNYC10_scenario3,3,-3.2000000000000064,0.027761003550177698
PedNYC10_scenario3,3,-3.1000000000000068,0.017565187171045805
PedNYC10_scenario3,3,-3.000000000000007,0.017964630714695794
PedNYC10_scenario3,3,-2.9000000000000075,0.024208563399472575
PedNYC10_scenario3,3,-2.800000000000008,0.03387017552202995
PedNYC10_scenario3,3,-2.700000000000008,0.047958166875201914
PedNYC10_scenario3,3,-2.6000000000000085,0.0751739555901627
PedNYC10_scenario3,3,-2.500000000000009,0.10322667290887164
PedNYC10_scenario3,3,-2.4000000000000092,0.12502968441608414
PedNYC10_scenario3,3,-2.3000000000000096,0.14040006527981877
PedNYC10_scenario3,3,-2.20000000000001,0.13641753815243438
PedNYC10_scenario3,3,-2.1000000000000103,0.1293914709423788
PedNYC10_scenario3,3,-2.0000000000000107,0.12099080567716236
PedNYC10_scenario3,3,-1.900000000000011,0.10268138395610032
PedNYC10_scenario3,3,-1.8000000000000114,0.08178343009022841
PedNYC10_scenario3,3,-1.7000000000000117,0.06700919960874548
PedNYC10_scenario3,3,-1.600000000000012,0.06604523910508256
PedNYC10_scenario3,3,-1.5000000000000124,0.07118910680737359
PedNYC10_scenario3,3,-1.4000000000000128,0.08772560986937204
PedNYC10_scenario3,3,-1.3000000000000131,0.09872020506657189
PedNYC10_scenario3,3,-1.2000000000000135,0.09939257789050915
PedNYC10_scenario3,3,-1.1000000000000139,0.10485033880442156
PedNYC10_scenario3,3,-1.0000000000000142,0.10517624599584781
PedNYC10_scenario3,3,-0.9000000000000146,0.10340586087995347
PedNYC10_scenario3,3,-0.8000000000000149,0.09539822641167102
PedNYC10_scenario3,3,-0.7000000000000153,0.07961935936033931
PedNYC10_scenario3,3,-0.6000000000000156,0.05912149608910285
PedNYC10_scenario3,3,-0.500000000000016,0.051885743886606994
PedNYC10_scenario3,3,-0.40000000000001634,0.07049805092585004
PedNYC10_scenario3,3,-0.3000000000000167,0.11411172534159823
PedNYC10_scenario3,3,-0.20000000000001705,0.17657510001359503
PedNYC10_scenario3,3,-0.10000000000001741,0.25199065720960045
PedNYC10_scenario3,3,-1.7763568394002505e-14,0.30693481864673305
PedNYC10_scenario3,3,0.09999999999998188,0.39218667872453794
PedNYC10_scenario3,3,0.19999999999998153,0.4818093418203266
PedNYC10_scenario3,3,0.29999999999998117,0.5713119782374833
PedNYC10_scenario3,3,0.3999999999999808,0.6863330779660252
PedNYC10_scenario3,3,0.49999999999998046,0.7356264651287084
PedNYC10_scenario3,3,0.5999999999999801,0.7804668837112008
PedNYC10_scenario3,3,0.6999999999999797,0.7928496192713401
PedNYC10_scenario3,3,0.7999999999999794,0.7821113291562327
PedNYC10_scenario3,3,0.899999999999979,0.8108917864036258
PedNYC10_scenario3,3,0.9999999999999787,0.8426941632519453
PedNYC10_scenario3,3,1.0999999999999783,0.8964346782244942
PedNYC10_scenario3,3,1.199999999999978,0.9562246180542843
PedNYC10_scenario3,3,1.2999999999999776,0.9821208821466633
PedNYC10_scenario3,3,1.3999999999999773,0.9980977312966541
PedNYC10_scenario3,3,1.499999999999977,0.9132465840518064
PedNYC10_scenario3,3,1.5999999999999766,0.9242191045234971
PedNYC10_scenario3,3,1.6999999999999762,0.9310987057023887
PedNYC10_scenario3,3,1.7999999999999758,0.8584742321720289
