scenario_number,aligned_time,median_speed,q1_speed,q3_speed,contributing_recordings
3,-5.0,0.0671604888213554,0.04299057443417971,0.08168492117492107,19
3,-4.9,0.0639507637573696,0.02982642598999457,0.08964094837265404,19
3,-4.800000000000001,0.06276846872834649,0.02452607589328206,0.09406068406566037,19
3,-4.700000000000001,0.07045824536738761,0.02949307402235255,0.09892302189437226,19
3,-4.600000000000001,0.06429262887426529,0.024084300257184065,0.1116814747485538,19
3,-4.500000000000002,0.060592671197003956,0.028095469402598307,0.11782152085997898,19
3,-4.400000000000002,0.060284129085006674,0.03174322706531045,0.12164904283638842,19
3,-4.3000000000000025,0.059525565359637385,0.028030556494289486,0.11591531565602489,19
3,-4.200000000000003,0.06152592500115182,0.02461183461228858,0.11692963917116246,19
3,-4.100000000000003,0.061221421521188694,0.028775845013440472,0.11725756935712522,19
3,-4.0000000000000036,0.05541512164263669,0.02719664329061789,0.11418846182674564,19
3,-3.900000000000004,0.05326402140184484,0.026477916083247045,0.09908597751348813,19
3,-3.8000000000000043,0.052787974720251145,0.025947627582377376,0.08872479785657676,19
3,-3.7000000000000046,0.046706658462030634,0.02686458018556616,0.08039560293820791,19
3,-3.600000000000005,0.040201621345093565,0.0271738520971206,0.06981310283473766,19
3,-3.5000000000000053,0.03445734544166137,0.02664561069049122,0.06185876131652997,19
3,-3.4000000000000057,0.03848620417881437,0.02287179926784707,0.05340655100753812,19
3,-3.300000000000006,0.033536075141733276,0.01865156967780255,0.04958009448422428,19
3,-3.2000000000000064,0.032513842268331865,0.019459123140731442,0.044840416128295466,20
3,-3.1000000000000068,0.03472408751855312,0.016638468265354554,0.05408628295307051,20
3,-3.000000000000007,0.032981351405069484,0.015315036345624679,0.07110826946243833,20
3,-2.9000000000000075,0.03746873994662572,0.017671919353776197,0.08290975791975871,20
3,-2.800000000000008,0.05237834282992651,0.021853122338028982,0.09026934330514193,21
3,-2.700000000000008,0.05805073410387539,0.026931611042873217,0.09061399733327323,21
3,-2.6000000000000085,0.0751739555901627,0.030934958751800207,0.08904640856637654,21
3,-2.500000000000009,0.0682146275090668,0.0341443642107167,0.10322667290887164,21
3,-2.4000000000000092,0.06007659814715898,0.03208375425547917,0.12502968441608414,21
3,-2.3000000000000096,0.05147230371924093,0.03308949438988118,0.1083905775105787,21
3,-2.20000000000001,0.05034041281610814,0.03427990104222368,0.07790401114793043,21
3,-2.1000000000000103,0.05104095153398841,0.03773376604059929,0.0842568091869389,21
3,-2.0000000000000107,0.05575554441481833,0.03994982377945931,0.10072992314946867,21
3,-1.900000000000011,0.06258945828990395,0.031018198888133966,0.12138476727622888,21
3,-1.8000000000000114,0.07143926168514357,0.032918790146778315,0.1262387355895133,21
3,-1.7000000000000117,0.06814283839247497,0.04081096934035213,0.13980432658288838,21
3,-1.600000000000012,0.06604523910508256,0.04404101561487369,0.14324767080085893,23
3,-1.5000000000000124,0.07118910680737359,0.042648119451200894,0.13790321828894395,23
3,-1.4000000000000128,0.08538772923988011,0.030881955770795434,0.14193057847997995,23
3,-1.3000000000000131,0.08052174194194175,0.03573790029081403,0.1144258974216257,23
3,-1.2000000000000135,0.08107642418785982,0.03960756922496324,0.10991240438169683,24
3,-1.1000000000000139,0.08118608025955815,0.045316641077288056,0.11597529822847945,24
3,-1.0000000000000142,0.0823621072908723,0.05305575790674391,0.12206268808379665,24
